text,emoji,discovered
Alpha Soda,🥤,False
Rich Man,💸,False
Bumbleboard,🐝🛹,False
Blackcation,🏖️,False
Jesus Mario,🎮,False
Duck Goose,🦆,False
Sand Cannon,🌵,False
Werebotnarwhal,🦄🤖🐳,False
Chicken Pineapple Express,🐔🍍🚂,False
Flying Paint,🎨✈️,False
Space Naiad,🧜‍♀️🚀,False
Diamond Island,💎🏝️,False
Flying Carpenter,🛠️✈️,False
Space Alchemist,👽,False
Chia Zeppelin,🌱,False
Space Dictator,👑,False
Teleskimmer,🔭,False
Steampunk Zombie Pirate Ship,🚢⚙️🧟,False
Dill Weed,🌿,False
Ammonite Shark,🦈,False
Cyber Ness,🤖,False
Hot Planet,🌋,False
Taco Cart,🌮,False
Chili Tarzan,🌶️,False
Flyweed,🌿,False
Surfing Phoenix,🏄,False
Scotch Phoenix,🥃,False
Rainbow Steam,🌈,False
Marsquarnold,🤖,False
The Muddy Colossus Of Rhodes,🗿,False
Turtle Werewolf,🐢🐺,False
Ent Dog,🌳🐶,False
Fairy Maple,🧚‍♀️,False
Vape Master,💨,False
Balsamic Flip Flop,🤔,True
Duckstrich,🦆,False
Leif Ericson,⚔️🛡️,False
Wonderbread,🍞,False
Dustican,🤖,False
Ant Nimbus,🐜,True
Poison Yacht,🚢☠️,False
Delta Wasabi,🔼🍣,False
Space Train Pirate,🚂,False
JD,🍺,False
Surfing Captain Everest,🏄‍♂️,False
Rainbow Orca,🐳,False
Dollygeist,👻,False
Pickle Feast,🥒🍴,False
Flying Space Truck,🚀🚚,False
Entwine,🌀,False
Robocactaur,🤖🌵,False
Werefrigerator,🧟‍♂️,False
Google Shark,🦈,False
Zombie Prince,🧟‍♂️,False
Jet Yoga,🧘‍♀️✈️,False
Jewel Train Wreck,💎🚂💥,False
Cinnamon Roll,🍦,False
Triple Axel,⛸️,False
Sushi Jet,🍣,False
Tea Clock,🍵⏰,False
Sea Ski,🏄‍♂️,False
Sword of the Dead,⚔️💀,False
Apocaradish,🤔,True
Amazon Trap,🌴,False
Muddy New Mexico,🏜️,False
Surfing Taxi,🏄‍♂️,False
Coconut Salad,🥥,False
Zephyr Stadium,🏟️,True
Spanish Train,🚂,False
Dinohydrogen,🦖,False
Mooncraft,🌙,False
Sushi Town,🍣,False
Ostrich Train,🦩🚂,False
Droid,🤖,False
Fruit Soup,🍲,False
Clockwork Lily,🌺,False
Salmon Archangel,🐟👼,False
Space Budweiser,🚀🍺,True
Cat Cake,🐱🎂,False
Ice Groot,🌲,False
Deltasword,⚔️,False
Rainbow Wind Farm,🌈,False
Nerdasaurus,🤓,False
Lunar Sauce,🌕🍲,False
Stinky Planet,🌎,False
Barbecar Trap,🍖,False
Time Mirage,🕰️,False
Sandwipers,🐍,False
Mountain Dew Dark Side,🌑🍹,False
Witch Tower,🏰,False
Driftfish,🐟,False
Dew Nemo,🐠,True
Yellow Sea,🌊,False
Dragonmaid,🐉,False
Vape Church,💨,False
Yoshi Tractor,🚜,False
Crack Sauce,🔥🌶️,False
Cyberflower,🌸,False
Counterspy,🕵️,False
Caramel Truck,🍬🚚,False
Mosaic Wind Farm,🌬️,False
Tea Flat,🍵,False
Don Surf,🏄‍♂️,False
Monkey Rock,🐒,False
Mount Evergator,🏔️🐊,False
Were-lost,🐺🗺️,False
Iron Tardis,🚆,False
Captain Vaporwave,🕹️,False
Sermon Dandelion,🌼,True
Sober Batman,🦇🚫🍺,False
Steampunk Fair,🎩🔧🎡,False
Naboo Inquisition,🌌,True
911 Software,🚨,False
Time Cactrain,⏰🚂🌵,False
Super Creation,💥,False
Piggyback Fanboy,🐷👤,False
Old Fish,🐟,False
Helicowpter,🚁🐄,False
Hairbrandy,💇‍♀️,False
Burning Tank,🔥🚛,False
Steampunk Smoke Detector,🔥🔍🚂,False
Tea Towel,🧺,False
Chili Fish,🌶️,False
Corkscrew Mountain,🏔️,False
OMG,😱,False
Gnocchimus Prime,🤖,False
Super Sharkplane,🦈🛩️,False
Clean Brush,🧹,False
Sweet Rice,🍡,False
Scavenger,🔍,False
Cheese Radio,🧀📻,False
Mr. Mime,🤫,False
Retriever,🐕,False
Taco Cleaner,🌮,False
Love Shark,🦈,False
Surf Potato,🏄,False
Crack Swamp Thing,🌿,False
Dressing Gown,👚,False
Surf Ness Monster,🏄‍♂️,False
Cholera Bowl,🤢,False
Crush Wave,🌊,True
Space Killer,👽🔫,False
Formula Rum,🥃,False
Holy Wreck,🔥,False
Amnesty,🌎,False
Dust Poem,🌬️📜,False
Mud Pony,🐴,False
Frosé Rover,🍧,True
Hack-planet,🌍,False
Cool Potato,🥔,False
Jetea Soda,🥤,False
Maple Wasabi,🍁,False
Choppo,🔪,False
Muddy Fort,🏰🌧️🌊,False
Iron Rave,🎧🔥,False
Mudbee,🐝,False
Kangaroo on Mars,🦘🚀🪐,False
Smelly Cat,🐈💨,False
Shrimpasabi,🦐,False
Flying Art,🎨,False
Muddy Seatrain,🚂🌊🌧️,False
Raisin Bran Crunch,🥣,False
Aztec Statue,🗿,False
Sand Warrior,🏜️,False
Steam Powered Car,🚂,False
Zombie Yeti,🧟‍♂️,False
Time Master,⏰,False
Umeboshi,🍶,False
Super Corkscrew,🌀,False
Flying Drunken Flower,🌸,False
Suck Dandelion,🌼,True
Station Wagon,🚙,False
Penguin Devil,🐧,False
Swan Zeppelin,🦢🎈,False
VR,👓,False
Grand Wolf Canyon,🐺🏞️,False
Drowning in Steam Rings,🌬️,True
Smoky Mountain Dragon Roll,🍣,True
Slammed,🤜🏼🤛,False
Chocolate Sandals,🍫👡,False
Smoked Broccoli,🥦,True
Vampire Weekend,🌌,False
Silicon Beach,🏖️,False
Mudluck,💩,False
Were-stage,🐺🌕,False
Baconator Soup,🍲,False
Rain Boot,🌧️,False
Holy Kamikaze,🙏🏼💥,False
Gobi Soup,🍲,False
Zombie Subtank,🧟‍♂️,False
Space Sultana,👑🚀👽,False
Snapware,📦,False
Hot Fondue,🧀🔥,False
Glasserodactyl,🦖,False
Miao,🐱,False
Googley Eyes,👀👀,False
