text,emoji,discovered
Water,💧,False
Fire,🔥,False
Wind,🌬️,False
Earth,🌍,False
Volcano,🌋,False
Eruption,🌋,False
Lava,🌋,False
Stone,🪨,False
Wave,🌊,False
Lake,🌊,False
Steam,💨,False
Tornado,🌪️,False
Swamp,🐊,False
Tsunami,🌊,False
Cloud,☁️,False
Ocean,🌊,False
Engine,🚗,False
Steamroller,🚂,False
Rain,🌧️,False
Rainbow,🌈,False
Statue,🗽,False
Island,🏝️,False
Continent,🌎,False
Pompeii,🌋,False
Surf,🏄,False
Archipelago,🏝️,False
Geysir,🌋,False
Hawaii,🌺,False
Land,🌄,False
Rainbow Rock,🌈,False
Atlantis,🌊,False
Desert,🏜️,False
Flat,🌄,False
Tiki,🌴,False
Oasis,🏜️,False
Flood,🌊,False
Sphinx,🐫,False
Poseidon,🌊,False
Surfer,🏄,False
Train,🚂,False
Sky,🌌,False
Mud,💩,False
Unicorn,🦄,False
Mirage,🌵,False
Iceland,🇮🇸,False
Dragon,🐉,False
Hot Spring,♨️,False
Vesuvius,🌋,False
Marsh,🌿,False
Surfing,🏄,False
Dragoncorn,🐲,False
Submarine,🚤,False
Dust Bowl,🌪️,False
Pancake,🥞,False
Obsidian,🔪,False
Beach,🏖️,False
Plant,🌱,False
Boulder,🪨,False
Fossil,🦴,False
Dinosaur,🦖,False
Fountain,⛲,False
David,🐉,False
Subway,🚇,False
Goliath,🐘,False
Titanic,🚢,False
Covenant,👽,False
Baptism,💦,False
Clay,🏺,False
Zeus,⚡️,False
Flat Baptist,🏛️,False
Zephyr,💨,False
Illusion,🔮,False
Jet,✈️,False
Glass,🥃,False
Angel,👼,False
Thunder,⛈️,False
Noah,🐘,False
Aquarium,🐠,False
Sailboat,⛵️,False
Storm,⛈️,False
Jesus,😇,False
Ice,❄️,False
Blade,🗡️,False
Ark,🐘,False
Surfboard,🏄,False
Tornadocorn,🌪️,False
Lightning,⚡️,False
Mountain,🏔️,False
Shark,🦈,False
T-Rex,🦖,False
Slingshot,🏹,False
Mermaid,🧜‍♀️,False
Hurricane,🌀,False
Dragon Slayer,🐉,False
Lei,🌺,False
Flat Earth,🌎,False
Luau,🌴,False
Wine,🍷,False
Neptune,🌊,False
Tiki Man,🏝️,False
Destruction,💥,False
Iceberg,🌊,False
Sand,🏖️,False
Plane,✈️,False
Lava Cake,🍮,False
Archangel,👼,False
Dust,🌫️,False
Pirate,🏴‍☠️,False
Pyramid,🗿,False
America,🇺🇸,False
Pterodactyl,🦖,False
Cleopatra,👑,False
Tree,🌳,False
Tunnel,🚇,False
Dust Devil,🌪️,False
Narwhal,🐳,False
Sun,☀️,False
Fish,🐟,False
Bird,🐦,False
Tiki Torch,🕯️,False
Phoenix,🔥,False
Devil,😈,False
Pegasus,🦄,False
Cave,🕳️,False
Pancakes,🥞,False
Breakfast,🍳,False
Steamboat,🛳️,False
Steampunk,🕯️,False
Ceramic,🏺,False
Fishbowl,🐠,False
Yellowstone,🌋,False
Viking,🛡️,False
Sunken,🌊,False
Treasure,💎,False
Easter Island,🗿,False
Airplane,✈️,False
Cave Painting,🎨,False
Super Volcano,🌋,False
Bullet Train,🚅,False
Snow,❄️,False
Moses,🐫,False
Waterfall,🌊,False
Sea Monster,🐙,False
Ariel,🧜‍♀️,False
Grass,🌱,False
Rock,🪨,False
Old Faithful,🌋,False
Hawaiian,🌺,False
Tiki Bar,🍹,False
Seahorse,🐠,False
Board,🎲,False
Pizza,🍕,False
