first,second,result
Edelstein,Eigenhitler,Eigenstein
Eichehuber,Eisel,Nothing
Aubstein,Alpenreich,Alpenstein
Money Train,Sieg,Siegfried
Eichelstein,Aubelgold,Aubelgoldstein
Cedelreich,Flying Money,Cedelreich
Faunmark,Money Flower,Faunmoney
Garkwein,Dankenreich,Dankenwein
Black Money,Eichler,Black Eichler
Goehl,Money Pit,Goehl Pit
Siegward,Money Bong,Siegward of Catarina
Goehmans,Sieg,Siegfried
Klumpen,Sieg Dolingo,Nothing
Biebershake,Eichhei,Justin Bieber
Aedelreichbuschkoehler,Alpenflun Eichfelf,Nothing
Eichhuber,Garkstein,Eichhuber
Fugzlich,Aeichland,Germany
Escherich,Edelwasser,Escherich
Eigerpanzer,Goehnerd,Eigerpanzer
Goehmans,Eigerworf,Eigerworf
Garkstein,Money Mushroom,Garkstein
Eigenmitt,Alpenhutt,Alpenhutt
Glydeon,Eudelweiss,Eudelweiss
Fisch,Koehlerhosen,Fischkopf
Bieberchill,Dui,Bieberchill
Eichheim,Eufluchenstein,Eichheim-Eufluchenstein
Eichpac,Eichpa,Eichpac
Eichfluch,Eimlich,Eichfluch
Eustein,Eufluchsen,Eufluchsenstein
Eichweiss,Dankenreich,Dankenweiss
Parking Money,Dedelstatt,Parking Lot
Eichfelfler,Eichwurst,Eichfelflerwurst
Eichkronen,Edel Kir,Edelkronen
Dsk,Klumpens,Dsklumpens
Chocolate Money,Edel Eichwalder,Chocolate Money
Eichkönigin,Eichefoehn,Eichekönigin
Borscht,Danktron,Soup
Eichpa,Eigerkiro,Eichpa
Eichkush,Eichler,Eichkushler
Depstein,Eigerkrone,Nothing
Fiegmeyer,Eigerfueg,Eigerfuegmeyer
Goehlerdrun,Edelkronen,Edelkronen
Money Flower,Edelfratzen,Money Tree
Schwein,Invisible Money,Piggy Bank
Edelgrey,Kirschroo,Edelroo
Dankchill,Dankstein,Dankstein
Edel Eichler,Eichpa,Edel Eichpa
Eigerfueg,Worfreich,Nothing
Danklerbot,Dank Tartle,Danklerbot
Dankor Weiner,Edelpike,Dankorpike
Dedreich,Dank Geyser,Dankreich
Danktopus,Eichland,Danktopia
Dank Fugz,Edel,Dank Fugz
Dankhal,Dank Dedelstein,Dankhalstein
Money Laundering,Worfelum,Worfelaundering
Dankelhuber,Eichkartoffel,Dankelhuber
Kierfelfburg,Edelkoehler,Edelkierfelfburg
