first,second,result
Pig Iron,Pineapple,Pig
Peep Show,Peep,Peep Show
Speed,Gollum,Hobbit
Electric Fence,Sinkstone,Sink
Smurf,Splash,Smurfette
Gecko,Megalopolis,Godzilla
Zoo,Dust Weed,Dust Bunny
Duck Sauce,Air Jordan,Quack
Condor,Icicle,Nothing
Typhoon,Cybernetic,Cyclone
Spaceship,Jetea,Jetpack
Steak,Sink,Dinner
Brick Wash,Monsoon,Nothing
Flying Wasabi,Muddy Pig,Nothing
Ice Cream Sandwich,Carrot Cake,Nothing
Mud Puddle,Shiva,Nothing
Satellite,Frat Boy,Nothing
Zephyr Vacuum,Terrorist,Nothing
Alligator,Holy Dandelion,Nothing
Demon,Flying Frog,Bat
Astronaut,Eskimo,Ice Cream
Audrey Iii,Motocross,Audrey Iii
Piranha,Mount Fuji,Mt. Piranha
Doctor,Heat,Fever
Tablet,Yellow Car,Taxi
Kite,Longship,Viking
Swamp Venus Flytrap,Flying Frog,Flying Venus Flytrap
Cheech,Giant Mushroom Soup,Nothing
Rebirth,Snow Whale,Narwhal
Abominable Plant,Beef Bourguignon,Nothing
Road,Phoenix Palm,Phoenix
Trash,Lego,Robot
Fish Soup,Ice T,Ice T
Skeleton,Jet Car,Ghost Rider
Skydiving,Iron Surf,Iron Man
Fire Lotus,Tunnel,Fire
Kraken,Mark Twain,Captain Ahab
Samurai,Wizard,Ninja
Gosling,Shrubbery,Ryan
Bjork,Skurf,Bjork
Cellphone,Wall,Prison
Fire Rocket,Honey,Bee
Speed,Wereplant,Werewolf
Dyson,Confetti,Vacuum
Tea Bag,Space Shuttle,Space Tea
Pine,Conch,Nothing
Sandnado,Super Car,Sandstorm
Disney,Jane,Tarzan
Asia,V8,Toyota
Clay,Geothermal Power Plant,Golem
Trainwreck,Pigsty,Pig
Firefly,Anemone,Lamp
Krabby Patty,Mickey Mouse,Spongebob
Midas,Spice,Gold
Ice Tornado,Swan,Swan Lake
Steamboat,Mario,Steamboat Willie
Fault,Milky Way,Black Hole
Golem,Sandmobile,Sandman
Lichen,Mermaid,Coral
Lion,Slave Ship,Slave
Kettle,Flying Trap,Teapot
Star Trek,Camera,Photon Torpedo
Phoenix,Quetzalcoatl,Firebird
Iceberg,Skiing,Penguin
Sinking,Sandalstorm,Titanic
Scroll,Swamp Fire,Dragon
Dagger,Spore,Nothing
Netherite,Graffiti,Nothing
Ice Cream Sundae,Trash,Garbage
Dune,Souped-up,Sandstorm
Cult,Kaleidoscope,Cult
Lily Pad,Navigation,Frog
Amphicar,Anchor,Boat
Plesiosaurus,Tank Truck,Tank
Glowworm,Enlightenment,Buddha
Alcoholism,Ra,Drunk
Dustnami,Titanic 2,Titanic 3
Pawn,Tidal Wave,Tsunami
Divorce,Garbage Truck,Splitsville
Hot,Titanado,Titanic
Mistletoe,Dragon Train Station,Dragon
Brick,Photonado,Bricknado
Fish Soup,Flying Saucer,Alien
Shattered,Bjork,Glass
Shampoo,Cook,Chef
Igloo,Space Train,Space Igloo
