first,second,result
Oil Rig,Plantation,Oil
Oil Rig,Power,Oil
Pluto,Oil Rig,Oil
Oil Rig,Pope,Excommunication
Oil Rig,Prince,Oil Sheik
Oil Rig,Observatory,Telescope
Oil Rig,Piranha Plant,Pirate
Oil Rig,Race,Formula 1
Oil Rig,Pterodactyl,Pterodactyl
Oil Rig,Railroad,Train
Pudding,Oil Rig,Oil
Oil Rig,Reflection,Oil Spill
Oil Rig,Raisin,Sultana
Raft,Oil Rig,Oil Tanker
Oil Rig,Rainbow Trout,Oil Slick
Quasar,Oil Rig,Black Hole
Oil Rig,Rally,Protest
Oil Rig,Prison,Jail
Oil Rig,Pufferfish,Oil Spill
Oil Rig,Radio,Pirate
Prism,Oil Rig,Rainbow
Oil Rig,Romance,Love
Oil Rig,Salad,Oil
Oil Rig,Sailor,Pirate
Ruins,Oil Rig,Oil
Rubber,Oil Rig,Condom
Oil Rig,Rice Field,Sushi
Oil Rig,Roast Duck,Oil
Ruby,Oil Rig,Diamond
Oil Rig,Rust,Oil
Oil Rig,Salmon,Fish
Oil Rig,Refrigerator,Ice Cream
Saint,Oil Rig,Patron
Oil Rig,Sacrifice,Oil
Oil Rig,Rings,Nothing
Oil Rig,Sharkicane,Shark
Sandal,Oil Rig,Pirate
Oil Rig,Sand Dragon,Sand
Sandstone,Oil Rig,Oil
Oil Rig,Plesiosaur,Loch Ness Monster
Oil Rig,Santa,Oil
Oil Rig,Salt Lick,Oil
Sandwich,Oil Rig,Sub
Sculpture,Oil Rig,Statue of Liberty
Oil Rig,Shrub,Oil
Sea Dragon,Oil Rig,Oil
Shaman,Oil Rig,Witch
Sea Star,Oil Rig,Oil Spill
Oil Rig,Sea Dandelion,Oil Spill
Snowboard,Oil Rig,Snowmobile
Oil Rig,Singularity,Black Hole
Siren,Oil Rig,Mermaid
Smoking,Oil Rig,Oil Spill
Sink,Oil Rig,Oil Spill
Smoke Signal,Oil Rig,Oil
Oil Rig,Sky Castle,Oil Rig
Oil Rig,Smurf,Smurfette
Oil Rig,Sand Dunes,Oil
Oil Rig,Snowflake,Snowman
Oil Rig,Snake,Ouroboros
Snowplow,Oil Rig,Snowman
Oil Rig,Sinking,Oil Spill
Oil Rig,Smoke Detector,Fire Extinguisher
Oil Rig,Squid,Kraken
Oil Rig,Steam Robot,Steam Engine
Speed,Oil Rig,Oil Tanker
Oil Rig,Space Flower,Alien
Oil Rig,Sodium,Sodium
Station,Oil Rig,Platform
Oil Rig,Solar Dust,Solar Panel
Oil Rig,Spaceship,UFO
Oil Rig,Sperm,Whale
Oil Rig,Space Weed,Space Oil
Snowpocalypse,Oil Rig,Oil Spill
Oil Rig,Space Farm,Space Oil Rig
Oil Rig,Statue of Liberty,Exxon
Soda,Oil Rig,Oil Slick
Oil Rig,Surge,Oil Spill
Oil Rig,Tadpole,Snake
Oil Rig,Swamp Venus,Swamp Venus
Oil Rig,Sunrise,Oil
Oil Rig,Space Shuttle,Space Station
Oil Rig,Stoned,Oil
Oil Rig,Stonehenge,Druid
Oil Rig,Supercontinent,Pangaea
Tarzan,Oil Rig,King Kong
Steam Train,Oil Rig,Steam Engine
Sweat,Oil Rig,Grease
Oil Rig,Sundae,Oil Spill
Oil Rig,Swamp Fire,Oil
Oil Rig,Sunami,Oil Spill
Oil Rig,Tatooine,Jabba
Titan,Oil Rig,Titanic
Tidal Wave,Oil Rig,Oil Spill
Oil Rig,Swan,Ugly Duckling
Tomato,Oil Rig,Ketchup
Tempest,Oil Rig,Oil Spill
Thunderbird,Oil Rig,Phoenix
Time Travel,Oil Rig,Dinosaur
Titanado,Oil Rig,Oil Titan
Tornado Fish,Oil Rig,Oil Spill
Oil Rig,Toast,Popcorn
Oil Rig,Thor,Thorium
Oil Rig,Tiamat,Oil
Oil Rig,Torch,Fire
Oil Rig,Triton,Poseidon
Unicorn,Oil Rig,Narwhal
Treasure Map,Oil Rig,Pirate
Valkyrie,Oil Rig,Thor
Oil Rig,Vape,Vape Pen
Oil Rig,Turtle,Turtle
Oil Rig,Twister,Tornado
Oil Rig,Tutankhamun,Mummy
Tsunamic,Oil Rig,Oil Spill
Time Ship,Oil Rig,Time Machine
Oil Rig,Treehouse,Oil Platform
Vesuvius,Oil Rig,Volcano
Vapor,Oil Rig,Smog
Oil Rig,Treasure,Pirate
Oil Rig,Windshield,Rain
Oil Rig,Whistle,Blowout
Yacht,Oil Rig,Oil Tanker
Oil Rig,Wheel,Car
Oil Rig,Wormhole,Black Hole
Zeppelin,Oil Rig,Airship
Zephyr Train,Oil Rig,Oil Tanker
Whiskey,Oil Rig,Fireball
Windsurfing,Oil Rig,Oil Spill
Oil Rig,Whirlpool,Tornado
Oil Rig,Wet,Oil
Oil Rig,Wolf Pack,Werewolf
Oil Rig,Virus,Oil Spill
Witch,Oil Rig,Wizard
Accident,Oil Rig,Oil Spill
Aircraft Carrier,Oil Rig,Oil Tanker
Aeon,Oil Rig,Oil
Zeus,Oil Rig,Poseidon
Oil Rig,Albatross,Oil Spill
Oil Rig,Air,Windmill
Oil Rig,Wish Upon A Star,Genie
Adam,Oil Rig,Oil
Oil Rig,840,Oil Platform
Zombie,Oil Rig,Oil Zombie
Oil Rig,Ale,Beer
Air Conditioner,Oil Rig,Oil Spill
Oil Rig,Airport,Plane
Oil Rig,Air Dragon,Nothing
Alphabet,Oil Rig,Drill
Aloe,Oil Rig,Sunblock
Ammonia,Oil Rig,Explosion
Oil Rig,Ammolite,Oil
Oil Rig,Ant Hill,Oil
Absinthe,Oil Rig,Green Fairy
Oil Rig,Altar,Oil
Oil Rig,Amphibian,Frog
Oil Rig,Alpha,Omega
Oil Rig,Amphibious Car,Oil Spill
Oil Rig,Allergies,Sneeze
Oil Rig,Alice,Mad Hatter
Oil Rig,Animal,Whale
Oil Rig,Anemone,Offshore
Oil Rig,Ark,Noah
Apple Orchard,Oil Rig,Apple Pie
Oil Rig,Ash Ketchum,Pokemon
Antelope,Oil Rig,Gasoline
Oil Rig,Arrowhead,Oil
Archangel,Oil Rig,Oil Spill
Ares,Oil Rig,Titan
Oil Rig,Arrow,Oil
Anchor,Oil Rig,Oil
Apocalypse,Oil Rig,Oil Spill
Oil Rig,Antimatter,Black Hole
Apple Juice,Oil Rig,Apple Pie
Oil Rig,Apollo,Zeus
Ape,Oil Rig,Monkey
Oil Rig,Atlas,Oil
Oil Rig,Audrey Iii,Little Shop Of Horrors
Oil Rig,Ashes,Volcano
Oil Rig,Bahamut,Oil Spill
Oil Rig,Baby,Oil
Oil Rig,Autumn,Oil
Oil Rig,Asteroid,Meteor
Oil Rig,B-52,Exxon Valdez
Baconator,Oil Rig,Baconator
Oil Rig,Aurora,Oil Spill
Oil Rig,Astronomer,Telescope
Baby Dinosaur,Oil Rig,Dinosaur
Baked,Oil Rig,Cake
Oil Rig,BBQ,Fire
Oil Rig,Batter,Battery
Oil Rig,Banana,Monkey
Oil Rig,Battlefield,Oil
Beanstalk,Oil Rig,Jack
Battery,Oil Rig,Oil
Oil Rig,Biofuel,Oil
Bigfoot,Oil Rig,Sasquatch
Oil Rig,Bathtub,Oil Spill
Oil Rig,Barrel,Oil
Oil Rig,Battle,War
Oil Rig,Barbecue Sauce,Nothing
Oil Rig,Balsamic Glaze,Vinegar
Battle Axe,Oil Rig,Viking
Bjork,Oil Rig,Volcano
Oil Rig,Blimp,Titanic
Oil Rig,Bodhi,Buddha
Oil Rig,Black Lily,Black Gold
Oil Rig,Blowtorch,Fire
Oil Rig,Blowhole,Whale
Oil Rig,Blueprint,Oil
Oil Rig,Black Sand,Oil
Bone,Oil Rig,Drill
Blowgun,Oil Rig,Oil Spill
Oil Rig,Boom,Oil
Blowfish,Oil Rig,Oil Spill
Blood Moon,Oil Rig,Nothing
Oil Rig,Balsamic Vinegar of Modena,Oil And Vinegar
Oil Rig,Blow,Nothing
Oil Rig,Cactea,Oil
Oil Rig,Burnt Toast,Fire
Boston Tea Party,Oil Rig,Tea Party
Oil Rig,Burning Monster Truck,Fire Truck
