first,second,result
Chai Tea,Whistle,Tea Kettle
Sandstone,Big Dipper,Sphinx
Pigasaurus,Draft,Pigasaurus
Martini,Scroll,Drunk
Crops,Chia Pet,Plant
Incense,Muddy Coconut,Muddy Incense
Dew Duck,Space Captain,Duck Dodgers
Cloud Trap,Yard,Rain
Anvil,Pea Shooter,Slingshot
Goldfish,Sea Serpent,Mermaid
Teacup,Moon Dew,Tea
Bone,Multiverse,Skeleton
Samwise,Flowers,Hobbit
Astronaut,Potassium Nitrate,Gunpowder
Firewood,Jetpack,Fireman
Stewpidstew,Stone,Rock
Diamond Block,Sandblaster,Sand
Skid,Carboat,Car
Banknote,Space Invader,Alien
Mountain Tractor,Grand Canyon,Bulldozer
Snoop,Seal,Dogg
Pencil,Cowboy,Draw
Grave,Hula,Hula-Hoop
Snow Boat,Steam Turbine,Snowmobile
Fire Hoop,Minecart with TNT,Minecart With Tnt
Carnivore,Everglades,Alligator
Surf,Barn,Surfboard
Divorce,Popeye,Spinach
Flashlight,Hitchhiker,Ghost
Ice Castle,Sarcophagus,Mummy
Surf Party,Popsicle,Surfing
Judge,Electric Engine,Judge Dredd
Stink,Tree of Life,Fruit
Space Alien,Photon,Alien
Green Tea,Orca,Whale
Chai-mummy,Painting,Mona Lisa
Slave Ship,Headache,Titanic
Moet,Time Boat,Time Machine
Obsession,Balsamic Vinegar of Moderation,Balsamic Vinegar Of Obsession
Poseidon,Cruise,Titanic
Crack,Flying Burger,UFO
Fire Monkey,Sharkcano,Nothing
Wine,Wet Dandelion Patch,Dandelion Wine
Dill,Fuel,Pickle
Darth Vader,Snow Plow,Snow Trooper
Fruit,Monet,Art
Steam Dragon,Lily Flytrap,Steam Lily
Milky Way,Gryphon,Pegasus
Sunbather,Moon Mountain,Moon
Seafood,Mushroom,Sushi
Chai-tini,Jetea,Chai-tini
Peacock,Vampire Dandelion,Peacock
Space Titanic,Rubber Ducky,Rubber Ducky
Poltergeist,Pasta,Spaghetti
Mouse,Date Palm,Palm Tree
Hot Sauce,Jupiter,Hot Jupiter
Steamclunk,New York,Steampunk
Sty,Steam Station,Steam Engine
Potter,Slick,Harry Potter
Mist,Catsup,Fog
Coke,Steam Locomotive,Train
Electricity,Mug,Coffee
Pork Chop Express,Monkey Island,Big Trouble in Little China
Peacock,Mortar,Feather
Vaccination,Windsurfer,Sailor
Drunken Flower,Aeolus,Wind
Dandragon,Paddy Field,Rice
Smoke,Trashcan,Fire
Train Surfing,Flying Racecar,Flying Train
Ark,Tea Train,Tea Party
Mummy,Were-log,Were-mummy
Labrador,Repair,Labrador
Porky Pig,Peeping Tom,Peeping Pig
Car Wash,Dragon Train Station,Dragon
Balsamic Vinegar,Dandeliontopus,Dandeliontopus
Poltergeist,Big Trouble in Little China,Big Trouble In Little China
iPad,Transistor,Computer
Honey Bee,Nymph,Cupid
Gorge,Baked Fish,Fisherman
Frisbee,Marlboro,Frisbee
Tides,Ganges,Ocean
Tarzan,Pikachu,Pokemon
Fireboard,Fountain,Fire Fountain
Baby Dinosaur,Poke,Pikachu
Were-seaweed,Dirtini,Dirtini
Rocky,Carmummy,Rocky
Fireplane,Kingfisher,Firebird
Swiss,Emperor,Cheese
Booger,Space Submarine,Alien
Alps,B-52,Rock Lobster
Tesla,Steam Tide,Tesla Coil
Vacuum,Space Village,Black Hole
Odor,Sinkstone,Stinkstone
Chili Pepper,Champagne Mountains,Volcano
Mountain Range,Mountain Champ,Mountain Range
Muddy Train,Fertile Land,Mud
Sparkling Vampire,Kiln,Twilight
Teabag,Switzerland,Swiss Tea
Double Axe,Seaweed,Sushi
Hydrophobia,Fondue,Cheese
Tea Pot,Pea,Pea Soup
Tornado Clock,Steamfrog,Steamfrog
Land Sailor,Cruise Ship,Pirate
Sandstone,Urn,Mummy
Werebear,Sapphire,Werebear
Were-dust,Seaweed,Were-seaweed
Count Kelp,Space Windflower,Seaweed
Tea Car,Ice T,Ice Tea
Gouda,Cemetery,Cheese
Were-tree,Surfer,Tree-surfer
Cybertron,Pirate Ship,Piratebot
Wiccan,Yakiniku,Witch
Capsaicin,Moai,Chili
Ashes,Mud Volcano,Nothing
Sparkling Vampire,Tea Train,Twilight
Electric Teapot,Wookie,Chewbacca
Observatory,Red Bull,Telescope
Christianity,Flying Fish Roe,Sushi
Doctor,Rusty,Nothing
Nose,Crash,Sneeze
Muddy Piggy Bank,Carp,Goldfish
Cryptid,Time Farm,Bigfoot
Tractor Beam,Tankini,Tank
Quagmire,Religion,Quagmire
Skytrain,Potions,Witch
Teashark,Hubble,Nothing
Alpha,Steam Planet,Nothing
Sunbather,Piranha Shark,Shark
Brine,Sharktopus,Sharktopus
Firetornado,Combine,Firetornado
Ammonium,Antihistamine,Sneeze
Robomummy,Firework,Robo-firework
Campfire,Metropolis,City
Toaster Strudel,Super Train,Super Toaster Strudel
Green Tea,SpongeTank,SpongeBob
Black Metal,420tsunami,420tsunami
Abominable,Party,Snowman
Suez,Spaceman,Sputnik
Wheel,Ammonite,Chariot
UFO,Chloroplast,Alien
Sea Dragon Egg,Sauna,Sea Dragon
Moon Mountain,Jet,Moon
Nascar,Emperor,Crash
Mountain Dew,Valentine,Mountain Doe
Doom,Star Whale,Star Whale
Baked Apple,Mega Mushroom,Apple Pie
Potato,Kush,French Fries
Dragon Shark,Astronomer,Dragon
Iron Rocket,Snowfish,Snowman
Kingdom,Fjordfish,Norway
Mudboarding,Gorilla,Mud
Dragon Tornado,Chia Pet,Dragon
Executioner,Coral Reef,Pirate
Coughboard,Brine,Salt
Lego,Mud Castle,Mud
Red Sea,Choo Choo,Moses
Table Salt,Cyborg,Cyborg
Bob Ross,Crumb,Cake
Icarus,Sun Rocket,Sun
Smoke,Immortality,Vampire
R2d2,Flying Pizza,Pizza The Hut
Flying Wasabi,Peat,Peat Moss
Statue Of Liberty,Steamclunk,Nothing
Ultramarathon,B-52,B-52
Tire Tea,Dyson,Vacuum
Safari,Hot Spring,Oasis
Sandstorm,Honey Pot,Sandcastle
Squid,Haunted Mansion,Cthulhu
America,Popcorn Storm,Popcorn
Solar Flare,Muddy Train,Muddy Train
Jail,Skid,Skid Row
Pigpen,Amphibious Submarine,Pigboat
Snakeboard,Tea Flower,Tea
Mortar,Dining Car,Dinner
Holy Plant,Paper Boat,Noah’s Ark
Communion,Kalevala,Kalevala
Water Pipe,Flying Car,Flying Carpet
Shark Bait,Carrot,Fishing Rod
Hadrian,Headache,Wall
Jacket,Ice Lily,Snowman
Hula Hoop Girl,Beehive,Bee
Stink,Acid Rain,Stench
Railroad,Sauce,Gravy Train
Kale,Repair,Salad
Tornado Kong,Werepig,Tornado Kong
Teavillage,Amphibious Helicopter,Tea
Tokyo,Titanic,Godzilla
Flying Salmon,Field,Flying Fish
Beach Titanic,Airport,Nothing
Hammerhead,Tinkerbell,Shark
Squidward,Snowmageddon,Squidmageddon
Trees,Cottonwood,Forest
Sky Castle,Coraline,Coraline
Fire Tsunami,Tornadon,Fire Tornadon
Ice Tea,Green Tea,Matcha
Flamethrower,War Pig,Warthog
Underground,Planet,Cave
Green Tea,Newspaper,Tea Party
Antlantis,Super Train,Super Train
Hack,Godzilla,Hackzilla
Graveyard,Were-lily,Zombie
Steam Bunny,Moonfish,Moon
Pencil Tree,Ursa Major,Big Dipper
Triathlon,Rebirth,Ironman
KKK,Cloud Castle,Kkk Castle
Fire Crayon,Angel of Death,Fire Angel
Saguaro,Space Tractor,Cactus
Windmill,Snowkite,Wind
Airplane,Windflower,Airplane
Ocean,Eyjafjallajökull,Tsunami
Coconut Car,Incense,Coconut Car
Saki,Censer,Incense
Tilting,Obsidian,Sword
Stink,Fishing Village,Fishing Village
Sand Dragon,Rainbow Rock,Sandstone
Vacuum,Cowboy,Dust
Greece,Breakup,Grexit
Lava,Captain High,Volcano
Moonwine,Ice Castle,Ice Wine
Appalachian Mountains,Meteor Shower,Meteor Crater
Fire Tree,Doctor Who,Tardis
Peasoup,Hay Fever,Sneeze
Chalet,Stonefish,Stonefish
Kratom,Inquisition,Kratom
Ogre,Jadeite,Jade
Yellow Racecar,Monster Truck,Monster Truck
Sand Castle,Holy Smoke,Sand Castle
Date,Soupstone,Stone Soup
Flambé,Van Gogh,Starry Night
Parkway,Winter,Snow
Crescent,Muddy Coconut,Moon
Tealight,Space Sandwitch,Space Sandwitch
Vine,Crucifix,Wine
Battery,Space Tank,Spaceship
Rice Paddy,Dinotrain,Dinotrain
B-52,Supertrain,Airplane
Squidward,Dead Fjord,Squidward Tentacles
Varnish,Gecko,Lizard
Quadruple Axe,Alcoholic,Lumberjack
Castle In The Sky,Iphone,Selfie
Delta Venus,Purity,Virgin
Jamaica,Ewok Village,Jamaica
Burning Monster Truck,Solar Panel,Solar Car
Noah,Jet Train,Ark
Baby,Rosé,Wine
Hot Fudge Sundae,Jelly,Jelly Sundae
Pencil Sharpener,Wyvern,Dragon
Street Art,Hike,Graffiti
Origami,Parking Lot,Paper Jam
Muddy Helicopter,Cactus Flytrap,Cactus
Hindenburg,Maple,Syrup
Mud Dragon,Green,Swamp Dragon
Hoover,Space Shark,Vacuum
Sand People,Moon Mountain,Moon
Money,Sisyphus,Rock
Newfie,Wax,Candle
Apple Tree,Steam Turbine,Apple
Triple Axe,Eskimo,Viking
Julie Andrews,Bug,Ladybug
Mudway Station,Balsamic Vinegar of Moderation,The Balsamic Vinegar Of Moderation
Haunted Farm,Transformer,Haunted House
Minecart,Palm Stone,Minecart
Flying,Millennium Falcon,Han Solo
College,Duckweed,Duck
Berserker,Dinner,Thanksgiving
Surfing Buddha,Newton,Surfing Newton
Glacier,Weather,Snow
Water Trap,Hole,Sinkhole
Noodle,Mount Vesuvius,Spaghetti
Map,Music,Treasure
Space Squid,Duckweed,Duckweed
Wiper,Snowtrap,Snowplow
Ski,Lawn,Snow
Wreckage,Alcoholism,Car
Iron Rocket,Space Tornado,Black Hole
Traffic Ticket,Cnidaria,Jellyfish
Barrel,Cigar,Pirate
Mt. Doom,Piggy,Bacon
Heat,Sunship,Sun
Swimming Pool,Tardis,Swimming Pool
Genghis Khan,Salt Water,Genghis Khan
Glass,Fire Weed,Bong
Netherite Flame Sword,Racer,Flame Racer
Dolly Parton,Mosquito,Dolittle
Dustin,Deodorant,Dustin
Amphibious Car,Tsunobbit,Tsunobbit
Lava Lamp,Stench,Volcano
Ice Dragon Egg,Sodom and Gomorrah,Ice Dragon
Space Coral,Flying Pop Tart,Space Pop Tart
Worm,Tornado Robot,Tornado
Haunted House,Flood,Ghost
Matcha,Lawnboat,Lawnmower
Ice Queen,Steamella,Ice Cream
T-rex,Poison Ivy,Poisonous T-rex
Iron Rocket,Space Fish,Space Whale
Stoned,Skydiver,High
Rebirth,Smile,Laughter
Flying Truck,Black Hole,Flying Truck
Factory,Tractorboard,Tractor
Cancer,Kali,Crab
Norway Maple,Sandal,Birkenstock
Amphibious Jet,Zephyr Tree,Zephyr
Hipster,Unicron,Hipstercron
Bog,Time Tunnel,Swamp
Flying,Chia,Chia Pet
Firefly,Bricknado,Firefly
Fire Whirl,Dusty,Dust Devil
Candy Venus,Steamverse,Candy Venus
Muddy,Bike,Dirt Bike
Coal Mine,Maple,Maple Syrup
Fire Swamp,Hidden,Fire Swamp
Grand Canyon,Discovery,Tourist
Chai,Sand Surfing,Sand Castle
Feed,USA,Food
Mosquito,Kingdom,Malaria
Mirror,Catacomb,Vampire
Cactus Cookie,Solar Engine,Solar Panel
Apple Tornado,Canyon,Grand Canyon
Shark,Tiki,Nothing
Yellow,Seagull,Sun
Zoo,Super Dandelion,Super Lion
Smoking Monkey,Trash,Fire
Smokefly,Christmas Pyramid,Santa Claus
Drunker,Snail,Slug
Sandman,Event Horizon,Dream
Engine,Space Car,Rocket
Icelandic Venus Flytrap,Snowami,Snowami
Boots,Turtle Soup,Turtle
Throw,Siren,Harpoon
Lava Ski,Lentil,Lava Lentil
Were-Sponge,Sunship,Sun
Holy Hand Grenade,Will-o-the-wisp,Holy Will-o-the-wisp
Steamvac,Carrot,Vacuum
Windhorse,Woodcutter,Paper
Prince Charming,Scarecrow,Strawberry
Space Cake,Trash,Black Hole
Roast Duck,Cemetery,Peking Duck
Steamlandslide,Dale Earnhardt Jr.,Victory
Sushi Roll,Fungi,Mushroom
Pasta,Mud Quixote,Spaghetti
Smokefish,Life,Sushi
Kaleidoscope,Firetron,Rainbow
Space Elevator,Village,City
Smoking,Drunken Batman,Vampire
Birthday Cake,S’mores,Birthday S’mores
Bouquet,Flying Newfie,Flower
Vine,Seafood,Wine
Sulfur,Spudnik,Potassium
Longboat,Arrow,Viking
Tomatoes,Batcave,Ketchup
Clockpunk,Cheeseburger,Clockwork Cheeseburger
Steel,Snowtrap,Trap
Eskimo,Glasses,Inuit
Little Shop Of Horrors,Steam Trap,Steam Trap
Sandstorm Robot,Firefie,Firefie
Sprinkler,Steamnado,Rain
Portal,Lily Shark,Lily Shark
Diatom,Raisin,Raisin Bran
Kale,Mt. Krakken,Kaleidococcus
Flying Bong,Hangover II,Flying Bong
Witch Hut,Spa,Witch
Carpet,Thunderbird,Flying Carpet
Honey,Wizard Tower,Beekeeper
Salad Dressing,Seed,Sunflower
Zoo,Snow Train,Polar Bear
Flying Salmon,Ghost,Flying Fish
Drug,Pinocchio,Lies
Gecko,Chili Pepper,Salamander
Loch Ness,Pint,Monster
Walk,Crop Circle,Alien
Duck,Teleporter,Alien
Global Warming,Chocolate Milkshake,Melted Chocolate Milkshake
Greenland,Clockpunk,Clockland
Witch,Muddy Paper Plane,Broom
Ocean,Cherub,Mermaid
Cartoon,Steam Dragon,Steamboat Willie
Dusty,Cosmos,Universe
Spark,Tsunami,Lightning
Air Monster,Air Dragon,Air Dragon
Shield,Tinkerbell,Peter Pan
Candy Floss,Voting,Democracy
Tractor Beam,Muddy House,UFO
Ewok Village,Twilight,Ewok Village
Moose,Wishing Well,Genie
Drunken Batman,Roman,Dionysus
CB,Plum,Prune
Cervantes,Steam Tide,Steam Tide
Oil Drum,Lance,Oil Rig
Skyscraper,Fairy Tale,Rapunzel
Robocloud,Bullet Train,Bullet Train
Dirty Martini,Goose,Dirty Goose
Farewell,Honda,Nothing
Surfer,Rainbow Shark,Rainbow Surfer
Mountain Dew Game Fuel,Mistletoe,Christmas
Nimbus,Mountain Dew Vine,Cloud
Holy Smoke,Clean Teapot,Tea
Tea Party,Vandalism,Tea Bagging
Candy Cane,Selene,Moon
Starry Night,Fireworks,Fireworks
Skurf,Tractor Cannon,Skurf Cannon
Steam Train,Pride,Steam Punk
Stone Dinosaur,Ronin,Gargoyle
Wind,Cardboard,Kite
Snowlily,Wind Turbine,Windmill
Holy Water,Canoe,Baptism
Storm,Steamwine,Rain
Starry Night,Lake,Moon
Sugar,Animation,Candy
Slice,Rabbit,Sandwich
Paper Airplane,Abduction,Origami
Moo-Swa,Space Barbecue,Moo-swa
Caterpillar,Breath,Butterfly
Dustfish,Landship,Nothing
Jail,Aladdin,Genie
Time Farm,Space Tree,Time Tree
Burnt Pop Tart,Steam Tsunami,Pop Tart Tsunami
Mountain Tea,Mountains,Tea
Root,Pizza Hut,Pizza
Saturn V,Steam Power,Steam Engine
Sleeping Beauty,Tesla Tower,Princess
Meteorite,Crabapple,Meteor
Pollen,Calendar,Bee
Fire,Tombstone,Ghost
Dill Pickle,Snow Tire,Snowmobile
Steam,Werecar,Train
Meat Train,Wheat,Meatloaf
Coconut Palm,Snowpocalypse,Snowman
Muddy Kite,Tea Car,Muddy Car
Flypaper,Mud Truck,Stuck
Pesticide,Tennessee,Monsanto
Snowdrop,Mountain Dude,Yeti
Penguinado,Robin Hood,Penguin Hood
Crop Circle,Blowout,Alien
Discovery,Energy,Eureka
Chardonnay,Tesla Tower,Wine
Hangtsunami,Fishing Frog,Tsunami
Sunburn,Jaws,Shark
Steamboard,Captain Hook,Steamboat
Zephyr Station,Paper Mache,Nothing
TARDIS,King Tut,Doctor Who
Flower,Ice Cream Land,Ice Cream
Tea Party,Genghis Khan,Genghis Khan
Time Tree,Loch Ness Monster,Nessie
Yogi,Dry Erase,Yoga
Industrial Revolution,Compass,GPS
Drunken,Wet Paint,Art
Adam,Pea Shooter,Peashooter
Woodchips,Skateboard,Skateboard
