first,second,result
Tea Pot,Noah,Ark
Noah,System,Ark
Mt. Fuji,Zoo,Panda
Firework,Hawk,Phoenix
Mud Castle,Sandwich,Sand Castle
Swordfish,Sand Shark,Shark
Roll,Track,Roller Coaster
Flying,Catnip,Cat
Big Trouble in Little China,Cider,Jack Burton
Freedom,Jetstream,Airplane
Beehive,Hair,Beard
President,Sandalwood,Sandal
City,Space Monkey,Astronaut
Solar Car,Crescent,Moon Car
Mountain Trap,Alphabet,Nothing
Vatican,Irrigation,Nothing
Africa,Steam Lizard,Stegosaurus
Adobe,Iron,Brick
Uranus,Steam Castle,Steam Engine
Fountain of Youth,Hanglider,Old Man
Snowmobile,Ewok,Tauntaun
CB,Weed,Nothing
Orca,Pot of Gold,Leprechaun
Sugar,Race,Racer
Elon Musk,Wolf,Dogecoin
Milkshake,Oasis,Mud
Birthday,Pasta Factory,Spaghetti
Breeze,Sea Dragon Egg,Sea Dragon
Wig,Pencil Sharpener,Nothing
Rainbow Rock,Bow,Rainbow
Europe,Pumice,Pompeii
Crayonami,Flambé,Nothing
Wet,Old Faithful,Geyser
Diamond Block,Potash,Salt
Grapevine,Andes,Wine
Paper Canyon,Moon Lake,Nothing
Bee,Space Flower,Honey
Steam Power,Swamp Venus,Steam Punk
Super Avalanche,Blood,Nothing
Energy,Milky Way,Black Hole
Chariot,Church,Pope
Polar Express,Dragonfly,Dragon
Firefly,Home,Lamp
Steampunk,Carpet,Flying Carpet
Steamwolf,Factory,Steamwolf
Continents,Table,Nothing
Seed,Spongbob,Sponge
Chaos,Sasquatch,Bigfoot
Sacrifice,Salt,Tears
Avalanche,Amethyst,Diamond
Atlantis,Glue,Atlantis
Snowden,Golem,Snowman
Jetpack,Snowball,Snowman
Dump,Blunt,Dumpster
Laurel,Horizon,Nothing
Avalanche,Bookshelf,Library
Snowmobile,Banksy,Snowbanksy
Poison,Flying Saucer,Alien
Lunar Rover,Cloth,Flag
Ice Cream Sandwich,Rose,Ice Cream Rose
Solar Dust,Muddy Wasabi,Nothing
Voltron,Milestone,Nothing
Europe,Mudpot,Iceland
Sand Dollar,Cider,Sand
Rain,Mooncake,Moon
Smile,Pompeii,Vesuvius
Crystal,Saturn V,Moon
Geode,Ivy,Cave
Cognac,Steam Surf,Nothing
Goldfish,Art,Painting
Future,Crash,Cyberpunk
Lord of the Rings,Ariel,Legolas
Sea Lettuce,Signal,Nothing
Mist,Vandal,Graffiti
Honeycomb,Winery,Mead
Steamboat Willie,Pop Tart,Mickey Mouse
Surgery,Polly,Parrot
Mustard,Bird,Condiment
Earthquake,Octopus,Kraken
Potion,Teacup,Tea
Werebear,Jailbreak,Werewolf
Drawing,Blowjob,Nothing
Steam Phoenix,Demon,Dragon
Mop,Pineapple Tree,Pina Colada
Dart,Castle In The Sky,Dragon
Sinking,Star Wars,Titanic
High,Spaghetti,Noodle
Alpha,Evolution,Human
Steam Egg,Raincoat,Chicken
Skier,Accident,Skid
Music,Cardinal,Pope
Duck and Cover,Terrorist,Osama Bin Laden
Blowout,China,China Syndrome
Orca,Moon Landing,Whale
Ant,Paper,Antique
Steampunk,Steam Lizard,Steam Lizard
Mickey Mouse,Double Axe,Donald Duck
Clockwork,Moon,Clock
Freezer,Fireworks,Ice
Island,Matterhorn,Switzerland
River,Excalibur,Swordfish
Gold,Sandstone,Pyramid
Sandal,Tealight,Nothing
Moat,Swale,Castle
Vine,Bullet Train,Grape
Cathedral,Match,Fire
Beer Goggles,Fire Dance,Fire Breathing
Greenhouse,Resort,Spa
Garage,Hot Tub,Car Wash
Space Junk,Curiosity,Black Hole
Mirror,Steam Rocket,Time Machine
Dating,Kratom,Marriage
Train Station,TARDIS,Time Train
Amoeba,Bobsled,Nothing
Snow,Asphalt,Ice
Spring,Spaghetti,SpaghettiOs
Steam Phoenix,Ashes,Nothing
Stage,Lunar Dust,Moon
Pilot,Wiper,Windshield
Smokefly,Clockwork,Nothing
Tipsy,Quagmire,Quagmire
Robocloud,Faucet,Nothing
Cave,Axolotl,Golem
Wine Bottle,Bow,Nothing
S’mores Sundae,Pond,Pond Sundae
Moses,Steam Lizard,Godzilla
Helicopter,Typhoon,Tornado
DNA,Transformer,Mutant
Steam Tractor,Mudslide,Mud
S’more,Miracle,Smore
Miracle,Train,Magic
Tektite,Hangover,Headache
Chest,Gravity,Black Hole
Slushie,Dam,Slush
Lily,Mustang,Lily
Tank,Sandalwood,Tanker
Mirage,Waterfall,Oasis
Flying Dutchman,Steam Engine,Steamboat
Scarecrow,Snow Tank,Snowman
Future,Smurf Village,Nothing
Hydroplane,Alcohol,Hydroplane
Prickly Margarita,Monkey,Drunk Monkey
Harbor,Groom,Ship
Straw,Sherwood,Robin Hood
Shrine,Sea Goat,Poseidon
Ice Cream,Puffin,Penguin
Stoneware,Amphibious Car,Amphibious Car
Mansion,Odin,Valhalla
Hot Springs,Oslo,Norway
Kelp,Phoenix Palm,Seaweed
Swark,Gravity,Nothing
Discus,Bush,Frisbee
Burning Zeppelin,China,Great Wall
Mordor,Snowstorm,Frodo
Sea Dandelion,Seadragon,Seaweed
Spaceship,Shadow,UFO
Crop Duster,Satyr,Pan
Fish Trap,Malaria,Mosquito
Saturn V,Spring,Moon
Meade,Street Lamp,Drunk
Sailboat,Dragon Slayer,Pirate
Swimming,Teapot,Tea
Skier,Pigpen,Mud
Moonwalk,Komodo Dragon,Michael Jackson
Table Salt,Tractor Nemo,Nothing
Sink,Champagne,Fizz
Marshmallow,V8,V9
Spongecar,Railroad,Train
Parrotfish,Cigar,Pirate
Monkey,Damn,Damnkey
Shaman,Flying Sperm,Nothing
Crocodile,Mark Twain,Alligator
Gollum,Wind Farm,Wind Turbine
S’more,Mud Puddle,Nothing
Piranha,Sandal,Croc
Pina Colada,Compost,Pineapple
Telescope,Aeon,Universe
Flying Sand,Teleporter,Sandstorm
Solar Car,Ewok,Nothing
Coin,Uranus,Pluto
Sandwich,Reincarnation,Reincarnation
Coco Taxi,Baptism,Coco Taxi
Tibet,Winery,Yak
Nautilus,Lake,Loch Ness Monster
Chuck Norris,Ramses,Pharaoh
Cook,Fridge,Chef
Ozymandias,Batman,Rorschach
Gangster,Firework,Fireman
Audrey Iii,Whale Trap,Little Shop Of Horrors
Geode,Lotus Flower,Buddha
Rings,Log,Tree
Bookshelf,Volcano,Library
Nether,Shatter,Nothing
Tidal Power,Light,Lighthouse
Rubber Ducky,Lava Cake,Volcano
Salad,Yin Yang,Nothing
Beehive,Tornado Dragon,Bee
Mine,Sandbox,Sand Mine
Hippie,Chip,Hacker
Steam Tsunami,Minecraft,Minecraft
Van Gogh,Explosion,Starry Night
Ruin,March,Rome
Hangar,Drunk,Drunkard
Rainbow,Rebirth,Phoenix
Worship,Sandpiper,Nothing
Microscope,Ghost Ship,Virus
Sculpture,Prickly,Cactus
Bottle Rocket,Wizard,Fireball
Station,Venus,Space Station
Crumb,Flying Pizza,Pizza Man
Coconut Water,Watermelon,Pina Colada
Chai-tini,Mountain High,Hangover
Flying Fjord,Honey Bee,Nothing
Asphalt,Wolf,Werewolf
Raft,Tar,Boat
Sasquatch,Dragon,Yeti
Sail,Motorcycle,Boat
Carrot,Mead,Carrot Juice
Blow,Sulfur,Nothing
Space Station,Wedding,Marriage
Fire,Carpet,Rug
Hot Spring,Ketchup,Hot Dog
Potter,Sandcastle,Sandman
Space Junk,Beehive,Alien
Sperm Whale,Sushi Roll,Moby Dick
Snow Cone,Treant,Yeti
Flying Cow,Lantern,UFO
Mop,Piece of Cake,Nothing
Cheese,Sos,Cheeseburger
Yellow Submarine,Megalodon,Sharknado
Sand Art,Aspirin,Sand Art
Marathon,Holy Grail,Runner
Jacket,Tutankhamun,Mummy
Polar Bear,Poltergeist,Polterbear
Fire Engine,Solar Panel,Fire Truck
Flying Shark,Snow Rocket,Yeti
Moredon,Smoker,Nothing
Moby Dick,Knife,Whale
Sunglasses,Space Shuttle,Astronaut
Fire Breathing Dragon,Altar,Sacrifice
Tractor Beam,Skyscraper,UFO
Fire Trap,Norway Maple,Fire Maple
Salad,Landfill,Garbage
Wax,Alcatraz,Candle
Shield,Thunderbird,Thor
Jupiter,Bogland,Swamp
Castle in the Sky,Jet Pack,Cloud City
Holy Lake,Street Art,Nothing
Duckweed,Steam Trap,Steam
Dust Bowl,Monorail,Dust
Solar Storm,Moonflower,Nothing
Rich,Mountaintop,Rich Mountain
Snow,Buddha,Snowman
Potato,Leda,Swan
Tank,Landship,Battleship
Geothermal,Ambergris,Whale
Art,Iron Surf,Iron Man
Driving,Necklace,Chain
Tatooine,Fog Machine,Star Wars
Steamboat,Cough Honey,Nothing
Blade,Obama,Assassin
Pepper,Stewish,Spicy
Saltwater,Sunfish,Sushi
Rocky Mountains,Soup,Stone Soup
Hydra,Flying Sushi,Sushi Dragon
Souped-up,Titanic,Titanic 2
Space Titanic,Steam Workshop,Space Titanic
Roll,Rings,Onion
Rice Paddy,Sour Grapes,Wine
Bjork,Mead,Viking
Mountain Dew Ocean Blast,Snowpiercer,Snowpiercer
Steam Breath,Trawler,Steamboat
Food Truck,Eraser,Taco Truck
Winnie the Pooh,Crabgrass,Tigger
Elon Musk,Horse,Centaur
Slush,Boiling Frog,Frozen Frog
Muddy Pig,Coconut,Pig
Palm,Cologne,Palmolive
Mopping,Phoenix,Ash
Rum,Crayfish,Lobster
Smoked Duck,Lightning,Smoked Duck
Engineer,Compost,Fertilizer
Sea Dandelion,Cologne,Seaweed
Humpback,Fire Dance,Fire Whale
Tombstone,Pop Tart,Sarcophagus
Sunset,Skate,Sunrise
Vulcan,Africa,Volcano
Pineapple,Jesus,Nothing
Electric Teapot,Venus,Vulcan
Troll 2,Car,Troll 3
Swan Boat,Jungle,Tarzan
Ant,Leprechaun,Ant-Man
House,Rosin,Nothing
Train Station,Ark,Noah
Loch Ness,Fishbowl,Monster
Steamboat,Beehive,Honey
Apple Pie,Flytrap,Apple Pie
Abominable Snowman,Mountain Dew Ocean Blast,Yeti
Jetea,Katrina,Nothing
Tornado Dragon,Bong,Tornado
Slush,Polly,Popsicle
Toadstool,Toast,Mushroom
Pig Iron,Tea Set,Nothing
Tea Plant,Steam Surf Punk,Nothing
Flame,Hell,Fire
Fall,Black,Autumn
Statue Of Liberty,Leviathan,Cthulhu
Lightning Bug,Steamwine,Steamwine
Aquarius,Vineyard,Wine
Mothman,Bacon,Baconman
Poison Ivy,Boiling Frog,Toad
Smoker,Crack,Crackhead
Crocodile,Tea Station,Crocodile Tea
Flying Shark,Toxic Waste,Mutant Shark
Skydiver,Metropolis,Superman
Cherry Blossom,Geyser,Sakura
Dandylion,Balsamic Vinegar,Salad
Eclipse,Pasta Factory,Pasta
Hobbit,Black,Gollum
Sunglasses,Nautilus,Captain Nemo
Venom,Crawfish,Crawfish
Drunken Dragon,Cough,Hiccup
Metropolis,Bomb,Superman
Cactus,Waterfall,Oasis
Dawn,Cleaning,Dish
Barbecue,Sword,Skewer
Software,Whirlpool,Nothing
Laser Cannon,Pteranodon,Nothing
Surfboard,Necklace,Mermaid
Smoked Duck,Mud Pie,Mud Pie
Wax,Flying Starfish,Candle
Painting,Amazon,Mona Lisa
Yard,High,Sky
Snowmageddon,Bullet Train,Snowpocalypse
Mecha Dragon,Necklace,Medusa
Brick,Dragon Ball,Goku
Pine,Spongecar,Pineapple
Flood,Pineapple Tree,Pineapple
Steam Monster,Moon Dust,Moon Monster
Souped-up,Hindenburg,Nothing
Global Warming,Pyramid,Melt
Gargoyle,Geode,Stone
Slushie,Tornadate,Nothing
Periscope,DeLorean,Submarine
Meteor,Treant,Meteorite
Mudkip,Evil,Mudkip
Rescue,Eden,Garden
Prince Venus,Garlic,Nothing
Yellowstone,Supertree,Supervolcano
Aeon,Curtain,Time
Spark,Adam,Frankenstein
Luxury,Parking Lot,Valet
Stewpid,Pencil,Stupid
Treasure Map,Pond,Pirate
Combine Harvester,Sticky,Sticky Rice
Swamp,Steampunk Tsunami,Steampunk Swamp
Sinking,Lemon,Lemonade
Optimus Prime,Race,Transformers
Marsquake,Allergy,Sneeze
Wine,Alcohol,Drunk
Hobo,Everest,Yeti
Tektite,Flying,Dragon
Solar Car,Landslide,Solar Panel
Yacht,Lake Monster,Nothing
Tractor Beam,Dragon Fruit,Fruit Ninja
Boom,Baptism,Explosion
Tea Party,Tarzan,Jane
Katana,Art,Samurai
Rescue,Aquarium,Fish
Confetti,Rapunzel,Hair
Smore,Lung,Campfire
Europe,Frost,Russia
Battle,Peapod,Nothing
Tornado Dragon,Help,Nothing
Steam Breath,Postcard,Dragon
Cottage,Sauron,Hobbit
Antimatter,Car Wash,Black Hole
Dust Storm,Houseboat,Sand Castle
Garage,Carbonara,Nothing
Reed,Drawing,Paper
Vodka,Blood Moon,Bloody Mary
Soggy Toast,Prism,Rainbow
Frankenstein,Ark,Noah
Pumpkin,Vodka,Pumpkin Spice Latte
Beehive,Casper,Ghost
Chariot,Punch,Boxing
Window,USA,America
Peak,Guillotine,Nothing
Blade,Runner,Ninja
Windflower,Terracotta,Nothing
Lichen,Honeymoon,Love
Hack,Fire Dragon,Hack Dragon
Sleep,Skid,Bed
Wine,Table,Dinner
Lotus Flower,Hot Monkey,Monkey King
Winery,Kingdom,Wine
Solar Car,Cinder,Solar Panel
Sand Dragon,Blowgun,Nothing
Spaceship,Drawbridge,Castle
Seaplane,Sauron,Seaplane
Condor,Shrimp,Shrimp
Pandora,Snowblower,Box
Tunnel of Fudge,Space Weed,Space Cake
Iceberg,Blowout,Titanic
Mud Castle,Signal,Nothing
Tractor Nemo,Tomb of Atlantis,Tomb Of Atlantis
Hurricodile,Flying Plant,Tornado
Ore,Mordor,Mordor
Fertilizer,Steel,Tractor
Pumpkin,Mountain Buggy,Jack-o-Lantern
Ugly Duckling,Human,Swan
Grape,Giant Venus Flytrap,Wine
Chicken,Antihistamine,Chicken Pox
Eclipse,Whirlpool,Black Hole
Marsquake,Hookah,Mars
Mudslide,Sea Turtle,Tsunami
President,Eel,Trump
Mudweed,Batter,Nothing
Phlegm,Artist,Snot
Ice Queen,Luxury,Ice Cream
Central Park,Sand,Desert
Sperm Whale,Storm,Moby Dick
Supervolcano,Space Pig,Nothing
Wood,Kingdom,Castle
Barrel,Stool,Bar
Sandy,Coconut Milk,Sandy
Steam Dragon,Racetrack,Steamroller
Sermon,Sinkstone,Nothing
Rocky Mountain Range,Piranha,Piranhaconda
Sprinter,Pane,Nothing
Wind Weed,Hula Hoop,Nothing
Narcissism,Terrorist,Trump
Eternal Life,Explosion,Big Bang
Lava,Firewater,Volcano
Spy,Krill,Squid
Tire,Duck Hunt,Rubber Duck
Muddy Sushi,Drunk Fish,Sake
Ruin,Hail,Hailstorm
Pegasus,Pillow,Pillow Fight
Dusty,Flame,Fire
Jordan,Snow Globe,Snow Jordan
Stoned,Lunar,Moon
Steam Lizard,Aurora,Dragon
Butterfly,Chicken Noodle Soup,Sick
Biofuel,Jetpack,Rocket
Cornfield,March,Corn March
Dandelion Wine,Flying Spaghetti Monster,Flying Dandelion Wine
Flying Dust,Hot Dog,Flying Hot Dog
Pyramid,Lemon,Sphinx
Coral,Breakfast,Cereal
Battle,Pine,Pineapple
Melt,Loch,Nessie
Moat,Space Junk,Satellite
Pokemon,High,Pikachu
Jet Ski,Moonlight,Moon Ski
Divorce,Dam,Damn
Hail,Sodium Chloride,Salt
King Arthur,Skateboard,Skateboarder
Park,Chocolate Milk,Chocolate Park
Bubble,Refrigerator,Ice
Cure,Bed,Sleep
Flying Squirrel,Wind,Glider
Hookah,Longsword,Pirate
Space Tank,French Fries,Tank
Jetpack,Seaweed,Mermaid
Salad Dressing,Foggy Dandelion Wine,Nothing
Punch,Seahorse,Punchline
Pineapple Express,Titanado,Sharknado
Ice Age,CB,Nothing
Land Shark,Hot Monkey,Hot Shark
Iceland,Ambergris,Whale
Canal,Christmas Tree,Santa Claus
Dino,Tumbleweed,Dinosaur
Cloud Station,Queen,Cloud
Empire State Building,Paint,Statue of Liberty
Van Gogh,Roast,Painting
Cleaner,James Bond,007
Dynamite,Meteor Shower,Asteroid
Sweat,Seymour,Sweater
Mudweed,Pot,Mud
Mountain Surf,Sunburn,Volcano
Archaeologist,Potamus,Nothing
Swamp,Flying Racecar,Flying Car
Fertilizer,Rave,Party
Castle in the Sky,Tourist,King
Software,Lion,Simba
Starfish,Flower,Coral
Pottery,Herd,Ceramics
Dune Buggy,Space Station,Moon Buggy
Color,Rice Pudding,Rainbow
Skydiving,Excalibur,King Arthur
Bear,Space Shuttle,Astronaut
Daffy,Frost,Duck
Dandelion,Chocolate,Dandelion
Red Planet,Algae,Mars
Space Storm,Roast,Meteor
Soggy,Apple Tree,Apple
Science,Flying Ghost,Nothing
Plow,Los Angeles,Traffic
