first,second,result
Catholic Church,Storm,Pope
Eraser,Shrimp,Prawn
Sword,Cigarette,Pirate
Bottle,Soggy Pop Tart,Soggy Bottle
Batman,Frog,Batman
Tumbleweed,Disaster,Dust Bowl
Angel,Steam Planet,Heaven
Vineyard,Ice Dragon,Wine
Pineapple Tree,Space,Pineapple
Shards,Galileo,Telescope
Crayon,Olympus Mons,Mars
Supervolcano,Fishing Pole,Fish
Campfire,Flying Fish Sushi,Fisherman
Tesla,Ski,Skates
Fire Engine,Brandy,Fire Water
Treant,Fridge,Tree
Smoker,Wave,Surfer
Knight,Landslide,Avalanche
Tarzan,Eruption,Volcano
Subway,Tire,Flat
Hops,Muddy Water,Nothing
Were-tree,Santa Claus,Were-santa
Witch,Enlightenment,Wizard
Werepuddle,Canoe,Werecanoe
Mirror,Ferry,Vampire
Piggy Bank,Cleaner,Money
Sand Monster,Bullet,Sandman
Clouds,Disaster,Storm
Airplane,Solar Eclipse,Eclipse
Snowboarder,Tsunamic,Surfer
Leaf,Greenhouse,Plant
Firewood,Sandboard,Sandboarding
Parting,Curiosity,Schism
Tequila,Land,Margarita
Bouquet,Glacier,Ice Flower
Iceland,Dragonfruit,Dragon
Apocalypse,Moonshine,Apocalypshine
Hay Fever,Thunderbird,Thunderbird
Steampunk Pirate,Engine,Steampunk Pirate Ship
Moses,Dust Devil,Tornado
Heart,Light,Love
Cinder,Princess,Cinderella
Black Hole,Bread,Toast
Plantation,Mirror,Plant
Jesus,Zombie,Nothing
Pelicant,Salad,Salmon
Snowstorm,Speed,Blizzard
Swamp,Microscope,Bacteria
Tobacco,Eyjafjallajökull,Volcano
Whirlpool,Log,Sawmill
Sharknado,Mudnado,Sharknado
Goat,Bonfire,Satyr
Hot Fudge,Tidal,Sundae
Pencil,Solar,Solar Panel
Black Hole,Oil Drum,Black Gold
Shard,House,Glass
Cinder,Soil,Ash
Fossil,Grape,Wine
Submarine,Palm,Palm Sub
Lamp,Global Warming,Light Bulb
Zeppelin,Pencil Sharpener,Blimp
Amoeba,Seaweed,Algae
Burn,Tornado,Fire Tornado
Castle,Prince,Princess
Fountain,Flying Pig,Pigasus
Lotus Flower,Soap,Soap Bubble
Brine,Pane,Bread
Titanado,Fire Station,Fire Titan
Scent,Salad Bowl,Salad
Destruction,Burn,Fire
Sandcastle,Slush,Sand
