first,second,result
Blind,Tiamat,Tiamat
Blood,Tiamat,Dragon
Blowout,Tiamat,Tiamat
Boiling Frog,Tiamat,Tiamat
Bonsai,Tiamat,Tree
Bookshelf,Tiamat,Library
Tiamat,Breeze,Tornado
Bonfire,Tiamat,Dragon
Brine,Tiamat,Salt
Broomstick,Tiamat,Witch
Broken Window,Tiamat,Terror
Bubble,Tiamat,Soap
Tiamat,Cake,Nothing
Tiamat,Canal,Babylon
Tiamat,Camera,Photographer
Cannonball,Tiamat,Tiamat
Tiamat,Bullet,Tiamat
Carbon,Tiamat,Diamond
Cheese,Tiamat,Cheesecake
Tiamat,Charcoal,Dragon
Chia,Tiamat,Chiapet
Tiamat,Chili,Chiliad
Tiamat,Choo Choo,Train
Christmas,Tiamat,Santa
Cider,Tiamat,Apple
Tiamat,Cigar Box,Cthulhu
Clockwork,Tiamat,Nothing
Clouds,Tiamat,Rain
Cloud Station,Tiamat,Rainbow
Tiamat,Clock,Time
Cleaner,Tiamat,Cleaner
Color,Tiamat,Rainbow
Colored Pencil,Tiamat,Rainbow
Compass,Tiamat,Map
Coconut Milk,Tiamat,Cthulhu
Computer,Tiamat,Hackerman
Confetti,Tiamat,Party
Crown,Tiamat,Bahamut
Curiosity,Tiamat,Tiamat
Crab,Tiamat,Cthulhu
Dead Sea,Tiamat,Salt
Dandelion Tea,Tiamat,Dandelion
Dog,Tiamat,Cerberus
Cyborg,Tiamat,Cthulhu
Doom,Tiamat,Cthulhu
Double Axe,Tiamat,Marduk
Dracula,Tiamat,Vampire
Drink,Tiamat,Alcohol
Dryad,Tiamat,Tree
Dough,Tiamat,Pizza
Duck and Cover,Tiamat,Tiamat
Duckling,Tiamat,Dragon
Dust Trap,Tiamat,Dust Trap
Dust Bunny,Tiamat,Dust Bunny
Tiamat,Eagle,Phoenix
Egypt,Tiamat,Ra
Elf,Tiamat,Dragon
Tiamat,Dutch,Dutchman
Dynamite,Tiamat,Explosion
Engagement,Tiamat,Wedding
Tiamat,Emulsion,Cthulhu
Everest,Tiamat,Mountain
Tiamat,Enlightenment,Bahamut
Exhaust,Tiamat,Smog
Farmer,Tiamat,Tiamat
Fart,Tiamat,Dragon
Fanboy,Tiamat,Fanboy
Tiamat,Eyjafjallajökull,Tiamat
Fertilizer,Tiamat,Plant
Fire Balloon,Tiamat,Dragon
Fire Venus,Tiamat,Dragon
Firefighter,Tiamat,Tiamat
Fire Swamp,Tiamat,Fire Swamp
Firewater,Tiamat,Tiamat
Flying Car,Tiamat,Dragon
Firefly,Tiamat,Dragon
Flint,Tiamat,Tiamat
Fish Tank,Tiamat,Aquarium
Flying Starfish,Tiamat,Cthulhu
Flying Sushi,Tiamat,Dragon
Foggy Ghost,Tiamat,Cthulhu
Flying Shark,Tiamat,Leviathan
Frosty,Tiamat,Abominable Snowman
Food,Tiamat,Feast
Fragrance,Tiamat,Perfume
Fountain,Tiamat,Water
Fortress,Tiamat,Bahamut
Fungus,Tiamat,Mushroom
Galileo,Tiamat,Universe
Tiamat,Funnel Cake,Tiamat
Garage,Tiamat,Nothing
Garlic,Tiamat,Vampire
Geothermal Plant,Tiamat,Tiamat
Google,Tiamat,Nothing
Gnome,Tiamat,Gnomat
Goat,Tiamat,Chimera
Grapevine,Tiamat,Wine
Greenhouse,Tiamat,Plant
Tiamat,Greenland,Green Tiamat
Tiamat,Great Wall of China,Dragon
Goose,Tiamat,Dragon
Head,Tiamat,Cthulhu
Himalayas,Tiamat,Mt. Fuji
Hive,Tiamat,Bee
Hay,Tiamat,Dragon
Hermit,Tiamat,Tiamat
Hobbit,Tiamat,Smaug
Hole,Tiamat,Black Hole
Inquisition,Tiamat,Dragon
Hydroelectric,Tiamat,Tiamat
Jonah,Tiamat,Leviathan
Jupiter,Tiamat,Titan
Jet Ski,Tiamat,Tiamat
Joint,Tiamat,Marijuana
Kale,Tiamat,Salad
Ketchup,Tiamat,Tomato
Kaleidoscope,Tiamat,Rainbow
Lagoon,Tiamat,Leviathan
Tiamat,Kraken,Leviathan
Knight,Tiamat,Bahamut
Lamp,Tiamat,Genie
Landing,Tiamat,Bahamut
Lawnmower,Tiamat,Lawnmower
Landfill,Tiamat,Trash
Library,Tiamat,Book
Tiamat,Longboat,Tiamat
Lily Flytrap,Tiamat,Plant
Light,Tiamat,Sun
Tiamat,Loch Ness,Leviathan
Love,Tiamat,Tiamat
Lung,Tiamat,Tiamat
Longsword,Tiamat,Bahamut
Mangrove Forest,Tiamat,Swamp
Mad Hatter,Tiamat,Cthulhu
Tiamat,Matcha,Tea
Meteor Shower,Tiamat,Tiamat
Meteorite,Tiamat,Tiamat
Megalodon,Tiamat,Leviathan
Monkey,Tiamat,Cthulhu
Metro,Tiamat,Tiamat
Moon Mountain,Tiamat,Moon
Tiamat,Monk,Buddha
Moses,Tiamat,Leviathan
Tiamat,Mountain Tornado,Tornado
Muddy Teapot,Tiamat,Tiamat
Muddy Wind Farm,Tiamat,Muddy Wind Farm
Mountain Tea,Tiamat,Tea
Mountain Wine,Tiamat,Dwarf
Muddy Wine,Tiamat,Muddy Wine
Tiamat,Narwhal,Leviathan
Tiamat,Narcissus,Ego
Nautilus,Tiamat,Kraken
Olympus,Tiamat,Zeus
Olympus Mons,Tiamat,Mars
Tiamat,Ninja,Tiamat
Old Faithful,Tiamat,Geyser
Oil Drum,Tiamat,Oil
Tiamat,Papyrus,Paper
Pasta,Tiamat,Spaghetti
Oxygen,Tiamat,Tiamat
Oven,Tiamat,Pizza
Tiamat,Painting,Mona Lisa
Pelican,Tiamat,Pteranodon
