first,second,result
Steamstorm,Periscope,Nothing
Battle,Steampunk,Steam Battle
Blizzard,Cottage,Snowman
Pallet,Road,Street
Groom,Mirage,Wedding
Cloudy Rice,Knife,Nothing
Cleaning,Cloud,Rain
Shatter,Resin,Dab
Time Travel,Direction,Time Machine
Nimbus,Bubble Tea,Cloud
Dead Sea,Tea Leaf,Tea
Burnt,Pirate,Ash
Confession,Dandelion Patch,Wish
Biofuel,Mistletoe,Christmas
Vineyard,Fire Ski,Wine
Broken,Fire Submarine,Fire Submarine
Flying Pizza,Dwarf,Superman
Pasta Factory,Unicorn,Pasta Unicorn
Sun Rocket,Sweat,Sunburn
Dragon Shark,Edelweiss,Nothing
Lava Leviathan,Snowplow,Nothing
Potpourri,Street Lamp,Street Light
Mountain Wine,Ammon,Nothing
Wine Bottle,Giant Mushroom,Nothing
Waiter,Hot Vinegar,Hot Sauce
Super Eruption,Zephyr Tractor,Volcano
Agent,Fire Train,Spy
Scotland,Ash,Tartan
Cornfield,London,Big Ben
Megalodon,Antarctica,Penguin
Tide,Wizard,Mermaid
Baconator,Winter,Baconator
Jellyfish,Cygnus,Medusa
Gargoyle,Temple,Statue
Future,Space Flower,Alien
Tea Cup,Duck,Tea Pot
Wind Tunnel,Bat,Batman
Wise,Love,Philosopher
Amethyst,Ruins,Tomb
Tilting,Vampire Weed,Dandelion
Farmer,Garbage,Compost
Narwhal,Crispy,Bacon
Cake,Snail,Nothing
Mechanic,Grape Wave,Nothing
Cheese,Anemone,Cream
Marshmallow,Pterodactyl,Pterodactyl
Sandboard,Reggae,Sandboarding
Snapfish,Daddy,Nothing
Healing,Turpentine,Nothing
Pie,Dining Car,Pie Car
Water,Rubber Ducky,Bath
Mudsword,Table,Nothing
Swampnado,Leak,Swamp
Obama,Fridge,Michelle
Tears,Sun,Rainbow
Wakeboarding,Salt,Wake Salting
Aquarius,Mummy,Tutankhamun
Windmill,Message,Wind
Everest,Aurora,Sunrise
Logging,Cigar Box,Cigar
Monocle,Cleanest,Judge
Snow Helicopter,Dragon Trap,Dragon
Bloody Mary,Flying Dust,Nothing
Sinkhole,Seahorse,Seahorse
Tadpole,Life,Frog
Tire,Train Surfing,Death
Vodka,Chocolate Milkshake,Chocolate Milkshake
Splash,Paperback,Book
Discovery,Africa,America
Swiss,Dough,Cheese
Plesiosaur,Samurai,Ninja Turtle
Worship,Transcontinental Railroad,Church
Breakup,Coal,Diamond
Eruption,Migraine,Volcano
Muddy Pig,Bull,Nothing
Smooch,Beach,Kiss
Carriage,Dorothy,Wizard
Flying Spaghetti Monster,Dracula,Vampire
Virgin Mary,Treasure,Jesus
Church,CB,Cathedral
Monster Truck,Hay,Straw
Paper Plane,Allergies,Sneeze
Super Steam,Rice Field,Super Rice
Hot Fudge Sundae,Fart,Explosion
Dragonfruit,Protest,Riot
Mega Mushroom,Land,Mega Land
Iced Tea,Forest,Pineapple
Solaris,Pane,PaneSolaris
Bubble,Library,Book
Caspian,Steamboat,Narnia
Ruby,Time Paradox,Time Travel
Cygnus,Garlic,Vampire
SwampShop,Hops,Nothing
Airplane,Camel,Caravan
Tsunami,Muddy Wasabi,Muddy Wasabi
Hamburger,Sandstone,Mummy
Dating,Dandelion,Dandelion
Ugly Duckling,Bob Saget,Nothing
Apple Tree,Yak,Yak-Apple
Space Piggy Bank,Piglet,Piggy Bank
Ocean,Potamus,Hippopotamus
Seafood,Hair,Mermaid
Alligator,King Kong,Godzilla
Vacuum,Blowgun,Dustbuster
Factory,Apple Tornado,Apple Pie
Albatross,Hashish,Albatross
Consommé,Teacher,Soup
Muddy Teacup,Treasure Map,Pirate
Multiverse,Bogland,Swamp
Relax,Loch Ness Monster,Nessie
Mountain Dude,Netherite Knife,Mountain Man
Super Plant,Fanboy,Nothing
Superhero,Train,Supertrain
Stew,Stewpid,Stewpidstew
Ceramic,Discus,Frisbee
Sand Dollar,Shard,Glass
Time Train,Kraken,Cthulhu
Teapot,Vaporware,Teasmade
Lichen,Sea Serpent,Mermaid
Fireboat,Delta Venus,Delta Venus
Fort,Star Fish,Castle
Turtle Flytrap,Tomato,Turtle
Tiger Lily,Mountain Range,Tiger
Milestone,Peapod,Peas
Dark Phoenix,Duckweed,Nothing
Black Rose,Sun,Black Hole
Oil Spill,Time,Oil
Photographer,Space Train,Space Train
Diamond Block,Herd,Herd of Diamonds
Protestant Reformation,Trainwreck,Nothing
Plantigator,Peapod,Peapodigator
Peanut,Solar,Sunflower
Metal,Sneeze,Tin
Flying Car,Jade,Green Lantern
Mothman,Race,Mothra
Steam Tornado,Cyclone,Nothing
Souped-up,Fire Train,Fire Train
Smoke,Rivendell,Misty Mountains
Apple Tornado,Steampunk,Steam Tornado
Gear,Steampunk Pirate,Steampunk Pirate
Steam Engine,Flying Lawnmower,Steamroller
Hoover Dam,Lava,Volcano
Damn,Moat,Dam
Dustover,Formula 1,Nothing
Fireflower,Uranus,Nothing
God,Trip,Fall
Sour,Super Volcano,Sour Volcano
Tempest,Cigar Box,Tornado
Balloon,Zombie,Nothing
Iron,Mashed Potato,Iron Man
Steampunk Pirate,Sculpture,Steampunk Statue
Sandbox,Mermaid,Sandcastle
Ketchup,Puddle,Tomato
Tea House,Bee,Honey
Roll,Fireplace,Sushi
Rosary,Temple,Prayer
Tornado Train,Solar System,Black Hole
Cannonball,Lightsaber,Darth Vader
Tea Coral,Anemone,Tea
Candy Floss,Frank Herbert,Dune
Yeti,Robin Hood,Bigfoot
Flamethrower,Great Wall of China,Firewall
Chip,Rainbow,Pot of Gold
Iron Man,Parrotfish,Iron Fish
Amsterdam,Locomotive,Train
Picnic,Mountain Doo,Ants
Netherite Sword,Earthquake,Netherite
Baby Dinosaur,Teacher,Student
Vape,Hydroelectric,Vaporizer
Dust Wolf,Snow Dragon,Ice Wolf
Sandstone,Flying Sashimi,Sphinx
Lotus Flower,Cattail,Water Lily
Prickly,Sword of Fire,Nothing
Kratom,Holy Engine,Nothing
Drain,Cut,Surgery
Rings,Whine,Wedding
Diamond Sword,Marathon,Nothing
Steam Car,Soda,Steam Car
Plankton,Mountain Dew Vine,Nothing
Djinn,Kelp,Genie
Mountain Range,Gingerbread Man,Gingerbread Mountain
Batmobile,Batter,Batman
Flowerpot,Genghis Khan,Nothing
Lawrence,Confession,Nothing
Car,Burglar,Thief
Steam Jetpack,Jetstream,Steam
Cork,Wall-E,Walle
Pressure,Earthquake,Volcano
Satyr,Dutch,Clog
Ramses,Toxic,Mummy
Punch Bowl,Relationship,Nothing
Wine Bottle,Stone Soup,Wine
Harbor,Pelican,Fish
Fjord Flytrap,Gnomish,Nothing
Hair,Enlightenment,Buddha
Water Mill,Tom Sawyer,Nothing
Were-seaweed,Steampunk,Steamweed
Ant Hill,Pop Tart,Ant Pop
Carrot Juice,Grave,Vampire
Uranus,Feng Shui,Feng Shui
Peapod,Religion,Buddhism
Satyr,Superhero,Pan
Cook,Nuclear Explosion,Hiroshima
Djinn,Flying Sushi,Genie
Pixie,Rubbish,Fairy
Cholera,Wish,Cholera
Time Train,Saguaro,Nothing
Moonflower,Mud Devil,Moon Devil
Toad,Town Hall,Mayor
Jaws,Mountain Dew Code Red,Shark
Rainbow Trout,Dustbuster,Vacuum Cleaner
Flip Flop,Flower Shop,Florist
Country Music,Inquisition,Nothing
Brew,Bone,Beer
God,Pumpkin,Jack-o-Lantern
Garden,Blind,Flower
Lava Monster,Tank,Volcano
Potassium Nitrate,Groot,Gunpowder
Helitank,Lotus,Tank
Crayon,Dustover,Dustbin
Ice Trap,Dust Devil,Snowman
Murder,Steam Solar System,Universe
Tux,Sirius,Dog
Fire Boat,Chip,Pirate
