first,second,result
Slingshot,Steamnado,Nothing
Meteor,Jurassic Park,Dinosaurs
Music,Rainbow Trout,Salmon
Apple Tree,Iron Surf,Nothing
Cheshire Cat,Grog,Nothing
Chariot,Christ,Santa
Snowblade,Batter,Nothing
Solar Storm,Steam Car,Nothing
Venus Fly Trap,Dust Dragon,Dust Trap
Longsword,Cinderbot,Nothing
Blood Moon,Lava Cake,Nothing
Amphora,Mountain Dew Ocean Blast,Mountain Dew
Flying Starfish,Muddy Coconut,Muddy Starfish
Lightning Bug,Carriage,Chariot
Jupiter,Iron Man,Thor
Photograph,Chili,Selfie
Wheel,Shrub,Car
Space,Dustbuster,Vacuum
Dynamite,Ore,Gold
Time Machine,Blow,Future
Mountain Bush,Mudboard,Nothing
Satellite,Resin,Space Junk
Corkscrew,Sour Grapes,Wine
Dandelion Island,Carnivore,T-Rex
Dustbin,Rainbow Trout,Fish and Chips
Illusion,Gobi,Mirage
Bog,Landship,Swamp
Varnish,Flying Saucer,UFO
Racism,Hot Fudge,Nothing
Fragrance,Stegosaurus,Perfume
Dust Weed,Stew,Dust Bunny
Pope,Slick,Oil
Pea,Tesla Tower,Laser
Steam Surfing,Rave,Nothing
Vaccine,Venus,Vaccine
Frosty,Vulture,Snowman
Seadragon,Jelly,Jellyfish
Cut,Geysers,Nothing
Zeppelin,Hoover Dam,Titanic
Present,Arch,Gift
Monsoon,Snowtrain,Snow
Gargoyle,Axe,Statue
Venice,Shrub,Gondola
Choo Choo,Stick,Train
Daisy,Kite,Flower
Starship,Nuclear,Death Star
Venus of Urbino,Sneeze,Nothing
Flying Mud,Mess,Flying Mud
Combustion,Ruby,Nothing
Earl Grey,Pottery,Teapot
Sandboard,Virus,Sand
Potato,Seed,Potato
Sandwich,Medusa,Gorgonzola
Muddy Pig,Teahouse,Nothing
Christmas,Christ,Santa
Priest,Star Wars,Jedi
Dusty,Cell,Cough
Tugboat,Ivy,Tugboat
Prickle,Atlas,Cactus
Wheat,Cannabis,Bread
Hot Chocolate,Space Captain,Space Captain
Human,Stench,Zombie
Toad,Surfing Plant,Venus Flytrap
Surfing,Damn,Nothing
Truck,Venus Flyweed,Venus Flytrap
Steampunk Pirate Ship,Boat,Steampunk Pirate Ship
Rabbit,Smogger,Nothing
Starbucks,Lung,Coffee
Time Machine,Flying Plant,Dinosaur
Acid Rain,Titanicpunk,Titanic
Lot’s Wife,Salt,Statue
Ice Cream Cake,Shatter,Ice Cream
Tea Party,Firewater,Tea Party
Windy,Edelweiss,Nothing
Taxi,Gnome,Gnomobile
Smoke Signal,Jello,Nothing
Singularity,Grill,Black Hole
Venom,Typhoon,Poison
Dark Side,Crescent,Moon
Flying Fish,Mountain Dew Tornado,Nothing
Steamclunk,Town,Steampunk
Solar Power,Teapot,Sun
Apollo,Moby Dick,Whale
Steam Tornado,Oz,Tornado
Smurf,Flat Train,Nothing
Ruin,Prayer,Church
Sinkstone,Surfing the Solar System,Nothing
Mountain Tea,Nuclear,Chernobyl
Battleship,Mummy,Titanic
Lunar Eclipse,Donald Duck,Duckula
Kelp,Werejet,Seaweed
Obsidian Ring,Helitank,Nothing
Sword,Rootbeer,Nothing
Canada,Ice Cream Sundae,Poutine
Human,Christmas Tree,Santa Claus
Fire Coral,Cerberus,Fire Hydrant
Batmobile,Rainforest,Batman
Mountain Vine,Rainbow Dandelion,Nothing
Tears,Giant Mushroom,Mario
Sasquatch,Dust Wolf,Bigfoot
Steam Planet,Meteorite,Earth
Mud Castle,Liberty Dragon,Nothing
Sweeper,House,Broom
Sand Lizard,Iron Surf,Nothing
Humpback,Turtle,Whale
Aladdin,Chocolate Milk,Genie
Dust Truck,Skateboard,Dustbin
Condor,Breeze,Wind
Eraser,March,Ruler
Cathedral,Steam Robot,Steam Punk
Flying Ghost,Colored Pencil,Nothing
Cardboard,Mud Geyser,Nothing
Super Eruption,Sponge,Volcano
Firetornado,Apple,Nothing
Power,Wave,Tsunami
Bear,Taxi,Nothing
Iceland,Dust Bunny,Bjork
Jet Pack,Cough Syrup,Superman
Avalanche,Refrigerator,Snowman
Snowpocalypse,Norway Spruce,Christmas Tree
Surfing Buddha,Mountain Thing,Mountain Thing
Norway Spruce,Fire Venus,Christmas Tree
Loch,Mountain Don’t,Nessie
Clockwork,Cigarette,Time
Tannenbaum,Pot,Christmas
Periscope,Fighter,Submarine
Sisyphus,Table,Nothing
Answer,Orc,Troll
Ant-eater,Hot Spring,Nothing
Titanic,Hot Pocket,Hot Titanic
Steamplane,Sleep,Dreamliner
Holy Dandelion Wine,Toxic Waste,Nothing
Chocolate,Sandboarding,Nothing
Time,Satellite,GPS
Map,Breakup,Broken Map
Village,Iron,Blacksmith
Eternity,Sunship,Sun
Dead Sea,Sea Anemone,Coral
Thunder,Stewpid,Zeus
Bookshelf,Asia,Library
