first,second,result
Family,Battlefield,War
Flying Lawnmower,Swamp Venus,Swamp Thing
Nessie,Time Travel,Loch Ness Monster
Truck,Pigcasso,Pigcasso
Combine,Lava Lamp,Lava
Supertree,Foggy,Nothing
Airport,Shark,Jaws
Transistor,Carbon,Computer
Candy Cane,Coffee Grounds,Coffee
Foggy,Future,Nothing
Ammonia,Holy Weed,Nothing
Fertile,Glasser,Glass
Eye,Electric Engine,Robot
Yellow Submarine,Photosynthesis,Sunshine
Lighthouse,Mole Station,Mole Station
Smurfette,Dust Allergy,Sneezy
Communion,Ivy,Poison
Graffiti,Cocaine,Banksy
Dragon,Liberty,Freedom
Wisdom,Alps,Yoda
Signal,Guns,Silencer
Appalachian Mountains,Lollipop,Nothing
Teatime,Sea Star,Nothing
Dandelion Stew,Slate,Nothing
Duckweed,Daddy,Duck
Tornado Clock,Tea Bag,Nothing
Sticky,Clock,Glue
Greenland,Honey Dust,Mead
Mud Ski,Snowplow,Snowmobile
Space Cruise,Expensive,Titanic
Paradise,Ant,Adam
Fortress,Moon Rover,Moon Base
Djinn,Wreckage,Genie
Firetruck,Valentine,Fire
Lunar Lander,Slushy,Nothing
Krill,Spaceship,Alien
Contact,Bubble,Lens
Sandboarding,Icewine,Winter
Mountain Vine,Card,Nothing
Mediterranean,Relationship,Nothing
Gold,Holy Dinner,Communion
Peak,Feng Shui,Mountain
Eraser,Asteroid,Meteor
Dam,Fire Stew,Soup
Patrick,Bacchus,St. Patrick
Tea Pot,Adobe,Tea
Pollution,Mosquito,Malaria
Fishing Frog,Tea Tempest,Nothing
War Pig,Vampire,Vampire Pig
Crop Tank,Comet,Meteor
Shark Island,Steam,Steam Ship
Black Sand,Prison,Pirate
Tower,Mole Station,Mole Tower
Pickleback,Blowgun,Nothing
Homework,Plantea,Plant
Night,Lego,Lego Batman
Tempest,Ice Cream Sundae,Sundae Storm
Dragon Roll,Headache,Hangover
Steamboy,Coral,Steamboy
Teacup,Tea Leaves,Tea
Fenrir,Ink,Tattoo
Kiss,Seeds,Plant
Foggy Goggles,Paddy,Nothing
Battercake,Maple,Pancake
Terrarium,Hydroelectricity,Plant
Dragon Tornado,Battleaxe,Nothing
Big Trouble in Little China,Cloudy With a Chance of Meatballs,Nothing
Snow Phoenix,Silver Bullet,Silver Phoenix
Chess,Captain Jack Sparrow,Checkmate
Hot Chocolate,Fireplane,Hot Air Balloon
Iron Tractor,Pineapple Tree,Pineapple Tractor
Firetruck,Beer Goggles,Fireman
Steampunk Pirate,Mud Bath,Muddy Pirate
Steam Phoenix,Sand Surfing,Sand Phoenix
Pane,Blizzard,Window
Winner,Fireworks,Victory
Apple Tree,Autumn,Apple
Coral Reef,Restaurant,Sushi
Jordan,Cyclone,Michael
Sandcastle,Mud Bath,Sand
Teatime,Snowboarding,Nothing
Ghost,Smario,Luigi
Bread,Dustpan,Sandwich
Eye,Crayon Shin-chan,Nothing
Jack-o-Lantern,Headache,Halloween
Popsicle,Smurf Village,Smurf
Hula,Meteorite,Moon
Ashtray,Aloe,Plant
Moo-tain,Garden,Cow
Landship,Clay,Golem
Freezer,Green Tea,Ice Tea
Muddy Wind Farm,Cyborg,Muddy Wind Farm
Vinegar,Flame,Pickle
Tease,Waste,Nothing
Fire Blossom,Pearl,Nothing
Whale Sushi,Snow Bush,Nothing
Kelp,Shower,Seaweed
Thunderstorm,Flip-Flop,Rain
Smoking Tiger,Aeolus,Smoking Aeolus
Moonburger,Pop Tart,Moon Pop Tart
Snoop Lion,Revolution,Reggae
Snowboarding,Yoda,Snow Yoda
Pork,Gin,Porky
Aladdin,Fire Shark,Genie
Vase,Snow Fish,Snow Globe
