first,second,result
Siren,Golem,Mermaid
Cyclone,Ice Cream,Ice Cream Cone
Boulder,Teabag,Stonehenge
Planet,Leviathan,Earth
Match,Robot,Fire
Scent,Tea Time,Perfume
Lunar Eclipse,Thunder,Thor
Terror Tea,Sky,Terror Tea
Fanboy,Ice Cream Sandwich,Fanboy
Stoneware,Mummy,Sarcophagus
Twister,Flat Rock,Tornado
Vase,Fulgurite,Lightning
Dustpan,Bottle,Broom
Farmer,Octopus,Tentacles
Subway,Rocket,Train
Toadstool,Delta,Mushroom
Magma,Eruption,Lava
Viking,Destruction,Ragnarok
Plant,Plane,Tree
Mammoth,Zeus,Nothing
Island,Wood,Raft
Clay,Alcohol,Pottery
Stink,Window,Skunk
Shark,Pterodactyl,Pterodactyl
Iced Tea,Sulfur,Ice
Sunset,Surfer,Sunburn
Mississippi,Prince,River
Surfing,Explosion,Wave
Fishing,Continent,Nothing
Rain,Monkey,Monsoon
Emerald,Marathon,Race
Jack Sparrow,Coral,Pirate
Moon,Wolfsbane,Werewolf
Leviathan,Lotus,Poseidon
Egypt,Nessie,Sphinx
Genie,Crash,Wish
Vacuum,Wind,Dust
Iced Tea,Pork Chop,Pork Chop
Mist,Pot,Soup
Star,Tornado,Black Hole
Thunderstorm,Fuel,Lightning
Smores,Muddy,S’mores
Aquaman,Luau,Aquaman
Dust Storm,Windshield,Sandblasting
Pork,Steam,Pig
Mummy,Electric Eel,Frankenstein
Garden,Pirate,Treasure
Lego,Mississippi,Nothing
Windmill,Planet,Wind
Frosting,Moon,Cake
Tea Bag,Abominable Snowman,Yeti
Lightning,Valkyrie,Thor
Fenghuang,Apollo,Phoenix
Coral,Beach,Reef
Snowglobe,Phoenix,Snow Phoenix
Continent,Saturn,Titan
Vampire,Bait,Fish
Mistletoe,Ash,Kiss
Ice Cream Tornado,Poseidon,Ice Cream Tornado
Nessie,Racecar,Monster Truck
Fishing,Energy,Fishing Rod
Avalanche,Aquaman,Snowman
Holy Water,Lawn,Grass
Kettle,Steam,Whistle
Field,Africa,Serengeti
Windmill,Mirage,Don Quixote
Bonsai,Puddle,Tree
Mirage,Skunk,Oasis
Vapor,Statue,Stone
Flying Pig,Hot Air Balloon,Pigasus
Breeze,Emerald,Wind
Coconut Milk,Sandstorm,Dessert
Avalanche,Engine,Snowmobile
Plant,Dust Devil,Tumbleweed
Ice,Milkshake,Slushie
Kettle,Geothermal,Tea
Island,Lily,Lotus
Paper,Norway,Money
Ariel,Black Hole,Black Hole
Prince,Emerald,Jade
Golem,Alligator,Crocodile
Pompeii,Unicorn,Pegasus
Curtain,Surf,Wave
Tractor,Electricity,Combine
Nile,Fishing,Egypt
Dust Devil,Biker,Dust Biker
Pork Chop,Fart,Pork Fart
Tsunami,Norway,Norway
Crop Circle,Solar System,Alien
Earth,Magma,Lava
Tomb,Smog,Mummy
Geysir,Diamond,Volcano
Land,Fisherman,Farmer
Chest,Bulb,Lamp
Salad,Jonah,Salmon
Desert,Flying Ghost,Genie
Sunflower,Flying Saucer,Crop Circle
Boat,Hula,Luau
Glass,Race Car,Mirror
Racecar,Terror Tea,Terrorist
Nessie,Nile,Crocodile
Jack Sparrow,Skateboard,Pirate
Rust,Eruption,Iron
Plant,Coral Reef,Coral
Lily Pad,Vapor,Frog
Pirate,Sinking,Treasure
Pterodactyl,Heaven,Angel
Pottery,Refrigerator,Vase
Aquaman,Goldfish,Aquaman
Meteor,Archipelago,Moon
Mud,Time,Clay
Firebird,Prickly Pear,Phoenix
Tree,Scent,Pine
Fuel,Tornado,Fire
Tasmania,Greenhouse,Devil
Fart,Godzilla,Toxic
Tux,Nether,Dracula
Skipping Stone,Mist,Nothing
Mountain,Kettle,Volcano
Meteorite,Land,Moon
Coconut Water,Squid,Calamari
Phoenix,Banana,Monkey
Volcano,Siren,Vulcan
Cake,Snowman,Snowcake
Robot,Flower,Cyborg
Hurricane,Amber,Resin
Tornado,Sunrise,Rainbow
Steamboat,Snow,Iceberg
Hawaii,Coconut Milk,Pina Colada
Fire,Firebird,Phoenix
Locomotive,Fire,Steam Engine
Plant,Incense,Smoke
Wall,Engine,Tank
Sunset,Captain Hook,Peter Pan
Snowmobile,Coconut Milk,Coconut Milkshake
Vampire,Flying Horse,Pegasus
Garden,Star,Sunflower
Angel,Kelp,Mermaid
Surfboard,Earthquake,Surfer
Frog,Europe,Euro
Marathon,Prayer,Marathon
Hippopotamus,Farm,Hippopotamus
Rain,Nessie,Loch Ness Monster
Jack,Kelp,Jack-in-the-Kelp
Spore,Lava Cake,Mushroom
Pepper,Hot Fudge,Chocolate
Fog,Mothership,UFO
Bait,Flying Ice Cream Cone,Fish
Field,Hot Fudge,Sundae
Hot Tea,Space Shuttle,Tea Shuttle
Vase,Geysunflower,Geyser
Lawn,Sword,Lawnmower
Park,Sunrise,Sunset
Lava Cake,Mummy,Volcano
Perfume,Skunk,Stink
Smoke,Toast,Smoke
Castle,Gasoline,Fire
Mississippi,Dragon,Mud
Dust,Coconut Tree,Sand
Subway,Sunset,Sunrise
Cloud,Clean,Rain
Lizard,Barbecue,Dragon
Coconut Cream Pie,Luau,Hula Pie
Steampunk,Christmas,Steam Christmas
Soggy,Ice Tea,Iceberg
Black Sand,Aquaman,Black Manta
Fish,Ice,Fishstick
Excalibur,Plane,Jet
Fan,Sunflower,Sun
Rally,Electricity,Protest
Date,Tar,Carbon
Earthquake,Coconut Milk,Tsunami
Lunar Eclipse,Sail,Pirate
Shipwreck,Vampire,Dracula
Barbecue,Garden,Grill
Tsunamas Tree,Magma,Volcano
Bird,Hell,Phoenix
Tea Monster,Castle,Tea Party
Atlantis,Time,Atlantis
Holy Water,Incense,Priest
Oil,Piranha,Sushi
Zeus,Sunflower,Sun
Sushi,Sharknado,Shark
Time,Engine,Clock
Wall,Palm,Palm Tree
Lake,Sphinx,Oasis
Devil,Teacup,Teapot
Rock,Tea Party,Stonewall
Ash,Pot,Potash
Steamy Yoga,Blade,Ninja
Racer,Castle,Chariot
Wakeboarding,Lava Cake,Volcano
Bog,Ceramic,Vase
Tiki Bar,Thor,Tiki Bar
Jonah,Mountain,Whale
Lily,Map,Treasure
Igloo,Mudnado,Tornado
Crescent,Steam,Cloud
Incense,Valkyrie,Odin
Stoneware,Date,Pottery
Thunder,Kettle,Tea
Seaweed,Emerald,Mermaid
Thor,Nessie,Loch Ness Monster
Axe,Emerald,Minecraft
Blade,Apocalypse,Sword
Wind,Eagle,Storm
Mudslide,Geyser,Volcano
Destruction,Venus,Aphrodite
Pancake,March,Pancake Day
Blizzard,North Pole,Santa
Aquarium,Dust Devil,Fish
Refrigerator,Fog,Ice
Vapor,Star,Nebula
Triton,Glacier,Iceberg
Ship,Time,Clock
Coconut,Mirage,Oasis
Rainbow Sword,Don Quixote,Rainbow Knight
Mountain,Palm Tree,Volcano
Saguaro,Delta,Cactus
Seed,Mower,Lawn
Boston Tea Party,Olympus,Tea Party
Rainbow,Vampire,Dracula
Egg,Lava,Omelette
Reef,Ark,Coral
Luau,Chaos,Volcano
Nymph,Devil,Succubus
Wave,Fire Dance,Fire
Coral,Ocean,Reef
Chaos,Sky,Tornado
Iceberg,Kettle,Tea
Airplane,Hurricane,Tornado
Soup,Eclipse,Moon
Reef,Water,Coral
Egg,Rock,Geode
Seaweed,Energy,Algae
Zeus,Yeti,Abominable Snowman
Tea,Mangrove,Swamp
Emperor,Water,Titanic
Sky,Snowman,Yeti
Ice,Ice Cream Sandwich,Ice Cream
Perfume,Dirt Bike,Dirt
Statue,Tar,Mummy
Pottery,Salad,Vase
Steam Engine,Geyser,Steam Power
Stone,Milkshake,Statue
Firefighter,Scent,Smoke
Steam,Sun,Rainbow
Mississippi,Tea Storm,Mist
Penguin,Sphinx,Nothing
Periscope,Steam Engine,Submarine
Seed,Flower,Plant
Werewolf,Fish,Werefish
Continent,Foghorn,Europe
Toad,Muddy,Prince
Magma,Soil,Rock
Pudding,Fishing Rod,Fish
Condor,Dust Bowl,Dust Devil
Snowflake,Lake,Ice
Nose,Smoke,Cigar
Kali,Piranha,Shark
Hawaii,Mirror,Hawaii
Sea Horse,Tea Loch Ness Monster,Nothing
Marsh,Tree,Swamp
Fire Dance,Chocolate,S’mores
Cyclone,Ramses,Sphinx
Chaos,Car,Crash
Pork,Rock Tea,Bacon
Lava,Lava,Volcano
Teabag,Eclipse,Moon
Golem,Fireworks,Dragon
Cheese,Saguaro,Cactus
Avalanche,Egypt,Pyramid
Mississippi,Island,Delta
Ice,Swordfish,Sword
Axe,Pencil,Pencil Sharpener
Fishstick,Ocean,Fishstick
Flint,Pig,Bacon
Unicorn,Car,Unicar
Castle,Steampunk,Nothing
Sunken,Geothermal,Atlantis
Yeti,Lava Cake,Volcano
Pangaea,Turtle,Turtle Island
Brick,Galaxy,Planet
Beach,Tiki,Luau
Seed,Dust,Plant
Jack Sparrow,Tornado,Pirate Ship
Ariel,Boom,Explosion
Earthquake,Aquaman,Tsunami
Firebird,Golem,Phoenix
Muddy,Dracula,Vampire
Resin,Fishbowl,Aquarium
Emerald,Phoenix,Dragon
Sunset,Steampunk,Sunset
Smoke,Fishstick,Fishstick
Farmer,Black Hole,Tractor Beam
Dune,Brick,Pyramid
Everest,Ice Cream,Mount Everest
Pudding,Sea Monster,Kraken
Breeze,Stone,Statue
Earth,Captain,Land
Atlas,Mud,Earth
Fanboy,Wave,Surfer
Wakesurfer,Sarcophagus,Mummy
Speed,Eclipse,Light
Everest,Coconut,Snowman
Tractor,Swordfish,Tractor
Sea,Salad,Salmon
Magma,Fanboy,Lava
Flying Ice Cream Cone,Ghost,Ghostbuster
Salamander,Salamander,Lizard
Sweat,Solar Flare,Sunburn
Surfer,Egypt,Cleopatra
Water,Magic,Witch
Flower,Truck,Delivery
Electric Eel,Mosquito,Electric Mosquito
Tractor,Jet,Tank
Geysir,Pencil,Volcano
Vampire,Steam,Dracula
Moses,Swamp,Mosquito
Wheel,Aquarium,Car
Africa,Ice,Penguin
Dust Storm,Sandstorm,Dust Bowl
Sauna,Village,Sweat Lodge
Lunar,Firebird,Phoenix
Lizard,Lava,Dragon
Field,Seaweed,Kelp
Magma,Thunder,Volcano
Piggy Bank,Rally,Protest
Hot Fudge,Goat,Sundae
Smores,Coconut Milk,Coconut Smores
Zeus,Cook,Chef
Robot,Beach,Sand
Lost,Perfume,Smell
Iceberg,Thor,Thunder
Mud,Surfer,Muddy
Thunder,Mermaid,Poseidon
Cave,Solar System,Black Hole
Tasmania,Nokia,Nokia
Sunami,Berserker,Tsunami
Lightning,Wolfsbane,Werewolf
Smoke Signal,Seed,Weed
