first,second,result
Blue Whale,Tea Coral,Blue Coral
Oak,Jamaica,Rum
Astronaut,Junk,Space Junk
Smoke,Ash Ketchum,Pokemon
Drunken Master,Barrel,Drunk
Cactosaurus,Haystack,Cactus
Checkmate,Smurf Con Carne,Chess
Checkmate,Diamond Block,Chess
Werewolf Train,Safe,Werewolf Train
Frosty,Steampunk Box,Steampunk Snowman
Drought,Skydiver,Parachute
Drawbridge,Ticket,Toll
Holy Grail,Pickle Juice,Pickle
Bilbo,The Colossus of Rhodes,The Hobbit
Rainbow Whale,Choo-Choo,Rainbow Train
Honey,Fire Surfing,Fire Honey
Tent,Tealight,Campfire
Sake,Fruit Ninja,Samurai
Sweet,Sulfur,Candy
Flying Horse,Ice King,Pegasus
Bong,Prize,Trophy
Yin,Mr. Potato Car,Mr. Potato Car
Corkscrew,Mug,Beer
Miami,Snowball Fight,No
Cb,Muddy Wine Glass,Clean Wine Glass
Werepot,Steam Monster Truck,Steam Monster Truck
Baked,Ammonia,Nothing
Golf,Ariel,Golf
Treasure Map,Peacock,Pirate
Cognac,Dragonfish,Nothing
Sandworm,Tea House,Dune
Cybertron,Trip,Optimus Prime
Space Flower,Snowjet,Snowflake
Punch,Steam Jet,Steam Punch
Tiber,Cyclone,Tornado
Cool Tea,Juice,Ice Tea
Mountain Tea,Werehouse,Werehouse
Steamstorm,Flamenco,Flamenco Storm
Air Jordan,Paddy Field,Rice
Captain Hook,Helicar,Hook
Cactaur,Yeti,Snowman
Ice Skate,Dog,Ice Dog
Beef,Water Bottle Rocket,Cow
Cannonball,Sake Bomb,Sake Bomb
Woodchips,Bottle,Whiskey
Snow Bush,Cayenne,Chili
Steampunk Box,Coconut Car,Steampunk Car
Steam Garage,Kiln,Car
Drone,Teahouse,Teapot
Landscape,Meteor,Meteorite
Star Fish,Stone Dinosaur,Fossil
Santa,Meth,Christmas
Spanish Inquisition,Pencil Sharpener,Tortilla
Moon Tree,Dustbin,Moon
Mountain Car,Mountain Surf,Mountain Surf
Mucus,Steam Cloud,Rain
Prism,Abduction,Rainbow
Dust Tea Devil,Explosion,Dust Tea Devil
Picnic,Arnold Schwarzenegger,Barbecue
Space Car,Wrapper,Nothing
Snow Storm,Surfweed,Snowman
Painter,Ruin,Art
Hobo,Peach,Cobbler
Ash,Stone Dinosaur,Fossil
Muddy Crop Circle,Potamus,Hippopotamus
Love,Escape,Prison
Drunken Monk,Blog,Blog Monk
Jewel,Appalachian Trail,Appalachian Jewel
Moat,Headache,Castle
Broken,Monocle,Pirate
Monkey,Cobra,Snake Charmer
Hot Mess,Statue,Medusa
Mudweed,Stoned,Mud
Flying Mountain,Mosquito,Dragon
Poison Apple,Bog Shark,Poison Shark
Pepsi,Gin,Gin and Pepsi
Sea Tea,Sink,Tea
Tablet,Gene,DNA
Fire Tank,Kaleid,Fire Tank
Cough Honey,Dust Tea Devil,Cough Syrup
Aurora Borealis,Tea Table,Tea Party
Pendulum,Surfing the Solar System,Pendulum Surfing The Solf System
Quadruple Axe,Lake,Loch Ness Monster
Ceramic,Swamp Juice,Mud
Steam Whale,Rubble,Steam Whale
Charcoal,Steamwine,Whiskey
Crypt,Harvest,Cryptocurrency
Tortilla,Shattered Glass,Taco
Carcharodon,Landslide,Sharknado
Rain Dance,Rice,Rice Paddy
Higher,Flying Carrot,Superman
Abduction,Robo-Fish,Robo-fish
Paradise,Crop,Garden
Snow Tire,Virus,Snowflake
Growl,Lava Monster,Volcano
Wind Tree,Wiccan,Witch
Market,Lawnmower,Nothing
Oxygen,Amtrak,Train
Loch,Frankenstorm,Nessie
Fairy Dust,Glasses,Wizard
Crab,Polar Express,Crab Rangoon
Alien,Antelope,Alien
Mudpot,Tree Hugger,Tree
Farmville,Pressure Cooker,Instant Pot
Pharaoh,Hipster,Tutankhamun
Don Quixote,Fridge,Sancho Panza
Ocean,Dandelion Milk,Seaweed
Pop,Vehicle,Car
Latke,Limestone,Lime
Ice Bear,Steampunk Dragonfly,Steampunk Ice Bear
Oil Slick,Eiffel Tower,Paris
Witch,Alcohol,Drunk
Sponge,Kombucha,SpongeBob
Icebox,Money Tree,Bank
Neverland,Seaweed,Mermaid
Glass,Counting,Mirror
Swamp Tsunami,Poker,Poker Tsunami
Mount Twain,Volcano,Mount St. Helens
Wine Glass,Swiss,Cheese
Seagull,Flying Ice Cream Cone,Poop
Surfing Train,Flying Dust,Flying Train
Luna,Mooncake,Moon
Sea Turtle,Mudway,Mudway
Pie,Waterfall,Waterfall
Wind Farm,Muddy Train Station,Muddy Wind Farm
Gladiator,Launch,Catapult
Pizza,Swamp Vapor,Pizza
Snow White,Steam Dragon,Snow Dragon
Laser Cannon,Coin,Bitcoin
Baby Dinosaur,Christmas,Santa
Lotus,Neptune,Nymph
Smoking Monkey,Snowbird,Smoking Snowbird
Clearing,4th of July,Fireworks
Space Geothermal,Dinner,Volcano
Pelican,Creeper,Explosion
Fire Golem,Eyjafjallajökull,Volcano
Cloud Surf,Sleep,Dream
Silver Tsunami,Mousse,Silver Mousse
Choopper,Snowpiercer,Snowpiercer
Coin,Eel,Electric Eel
Steam Trap,Highway,Steamroller
Sparks,Picasso,Art
Quagmire,Muddy Helicopter,Swamp Helicopter
Cuba,Cart,Taxi
Abominable Plant,Jail,Venus Flytrap
Dragonborn,Currant,Dovahkiin
Prince,Eel,Electric Eel
Vape,Bahamut,Vapamut
Waste,House,Garbage
Smoked Duck,Quetzalcoatl,Quackzalcoatl
Prickly,Poison Pop,Cactus
Cultivator,Odysseus,Ulysses
Energy,Slice,Laser
Hops,Irish Tea,Guinness
Monocle,Wreckage,Titanic
Eden,Firefly,Light
Red Bull,Blunt,Party
Snowbee,Seeds,Snowman
Drought,Flying Pigpen,Dust
Super Storm,Bramble,Hurricane
Ice King,Seraph,Ice Seraph
Snow White,Were-tree-wolf,Were-tree-wolf
Mountain Surfing,Surfing,Mountain Surfing
Fairy,Avalanchup,Snowman
Stadium,Flying Venus Flytrap,Flying Venus Flytrap
Teatown,Oyster,Pearl
Flower,Stewpid,Stupid
Sandmobile,Priest,Pope
Flock,Ontario,Canada
Flock,Obelisk,Sheep
S’more,Steam Server,Minecraft
Medusa,Sancho Panza,Gorgonzola
Irish Tea,Balsamic Vinegar,Balsamic Tea
Tea Car,Rainbow Train,Rainbow Train
Sharkicane,Marsboarding,Nothing
Alcohol,Beer Storm,Hurricane
Ganga,Flying Bull,Nandi
Referee,Tea Tractor,Tractor
Smile,Vape Monster,Vape Monster
Rosebud,Space Sandwitch,Citizen Kane
Sand Castle,Wheeze,Sandman
Sparky,Cigarette,Fire
Tornado Clock,Booze,Time
Mountain Dragon,Spark,Volcano
Cooking,Ink,Tattoo
Chicken of the Sea,Bruce Wayne,Tuna
Mushroom Soup,V8,V9
Surf Station,Tire,Surfboard
Ambergris,Floatplane,Whale
Maple,Newfie,Maple Leaf
Goatman,Hanglider,Goatman
Oasis Station,Minecart With Tnt,Minecart With Tnt
Doom,Apple Juice,Apple Doom
Crayonado,Flying Dog,Flying Crayon
Ditch,Monorail,Subway
Space Monkey,Lunar Eclipse,Moon Monkey
Station,Basket,Airport
Red,Shelley Duvall,The Shining
Crane,Temple,Buddha
Steamlandslide,Narcissus,Narcissus
Flying,Surfing Train,Zephyr
Werepuddle,Steamverse,Steamverse
Spongecar,Farewell,Spongebob
Island,Air Force One,Gilligan’s Island
Narcissus,Minecraft,Minecraft
Fire Island,Winemaker,Fire Wine
Stonedami,Mower,Lawnmower
Mud House,Bucks Fizz,Mud House
Surf Station,Skunk,Stink
Orc,Super Mario Bros.,Donkey Kong
Knowledge,Statue of Liberty,Liberty
Frozen,Theater,Ice
Queen,Geothermal Power Plant,Geothermal Power Queen
Gravel,Hot Pocket,Road
Trashicane,Parrot,Trashicane
Rice Paddy,Rake,Farmer
Luigi,Fairy Dust,Mario
Frat Party,Merman,Mermaid
Mountain Car,Beer Storm,Beer Truck
Surf Station,Wormwood,Surfboard
Duckbush,Cyborg,Duckbush
Accord,Lunar Eclipse,Moon
Ichthyosaurus,Saturn,Plesiosaurus
Dynamite,Sea Horse,Seahorse
Feather,Oil,Pen
Mountain Dew Code Red,Cure,Code Red
Hydroelectricity,Soot,Smog
Valentine,Sphinx,Sphinx
Thong,Snowstorm,Snowbunny
Mountain Nymph,Cleopatra,Sphinx
Lily Pad,Flying Cow,Flying Lily Pad
Oil Drum,Radio Wave,Microwave
Moon Buggy,Katrina,Moon
Mudway Station,Io,Mudway Station
Claymore,Seadragon,Poseidon
Avalanching,Steam Solar System,Big Bang
Mead,Tasmanian Devil,Party
Boat Race,Snow Leopard,Snowmobile
Superplant,Baked Fish,Superfish
Protest,Muddy Spaghetti,Nothing
Muddy Brick,Squidward,Spongebob
Hangry,Honeydew,Melon
Discus,Time Wall,Discus Throw
Red,KKK,Ketchup
Torture,Coal Mine,Nothing
Recycle,Firefie,Phoenix
Burnt Food,Whistle,Fire Alarm
Choochoo,Laser,Train
Nessie Express,Stegosaurus,Nessie
Flat,Frozen,Pizza
Space Bee,Dionysus,Space Wine
Christianity,Fire Train,Hell
Tank Truck,Tree Thing,Tree
Thanos,Tractor Fly,Tractor
Viking,Abode,Valhalla
Carnivorous Plant,St. George,Dragon
Compass,iMac,Apple
