first,second,result
Tremor,Ice Bear,Nothing
Sun Rocket,Jet Engine,Sun Rocket
Highway,Fire Flower,Traffic Jam
Dustbin,Smoking Monkey,Monkey
Steamboat,Tornadroll,Tornadroll
Gear,Crabgrass,Lawnmower
Carbonara,Black Hole,Spaghettification
Star Wars,Burning Zeppelin,Death Star
Salmon Run,Venice,Gondola
Hailstorm,Pollution,Acid Rain
Religion,Interstellar,Star Wars
Mermaid Flytrap,Funnel Cake,Mermaid
Little Red Riding Hood,Volcano,Little Red Riding Hood
Tea Car,Witch Hut,Witch
Mistral,Gas,Wind
Dinotrain,Tsunamic,Dinotrain
Chauffeur,Rings,Valet
Ent,Niagara Falls,Ent Falls
Smoky Mountains,Krill,Nothing
Swimming Pool,Shrub,Bush
Fisherman,Swing,Fishing Rod
Lumberjack,Igloo,Eskimo
Brick House,Mt. Fuji,Japan
Snow Dragon,Metro,Snow Metro
Mermaid,Peach,Aphrodite
Hula Hoop,Mud Ski,Hula Hoop
Ice Queen,Paddy,Snowman
Flying Bong,Ice Fish,Nothing
Rockstar,Chili Mushroom,Nothing
Onyx,Ape,Monkey
Dust Trap,Hay Fever,Sneeze
Train Station,Future,Time Machine
Delta Blues,Dump Truck,Muddy Waters
Clean,Ghost Pepper,Ghost
Snow Rocket,Niagara Falls,Ice Cream
Mire,Fire Fish,Dragon
Shrine,Surf Station,Surf Shrine
Family,Eden,Adam
Triceratops,Vapor,Dinosaur
Chalk,Bulb,Light
Alcoholism,Cyclone,Tornado
Table,Teahouse,Tea
Reed,Crop,Paper
Seahorse,Wheel,Chariot
Christmas Island,Fisheye,Crab
Cloud,Sandtitanic,Cloudtitanic
Hot Vinegar,Hotel,Nothing
Bomb,Lonely,Nothing
Cholera,Chest,Treasure
Sea Dragon Egg,Car Wash,Sea Dragon
Farmer,Norway Maple,Maple Syrup
Idea,Spaceship,Alien
Trawler,Tunnel of Fudge,Trawler Of Fudge
Dynamite,Space Bread,Moon
Pendant,Seatrain,Nothing
Tornado Siren,Country Music,Tornado Siren
Seed,Mass,Plant
Dragon Fruit,Skyscraper,Dragon
Frisbee,Spongebob Squarepants,Patrick
Steam Surf,Fjord Flytrap,Steam Surf
Pelicant,Eyjafjallajökull,Eyjafjallajökull
Blow,Art,Fart
Moon Rock,Prince of Persia,Moon Prince
Tiamat,Confession,Tiamat
Vodka,Car,DUI
Seaplane,Omelette,Airplane
Windmill,Rich,Money
Driver,Cigarette,Smoke
Werebear,Spain,Werebull
Firebird,Fabric,Phoenix
Raisin Bran,Satyr,Satyricon
Highway,Seadragon,Sea
Noodle,Pickle Rick,Pickle Noodle
Weather,Music,Rain
Mountain Zinfandel,Witch Hut,Nothing
Fridge,Dank,Meme
Naboo,Mount Rushmore,Mount Naboo
Water Ski,Burning Monster Truck,Water Skiing Monster Truck
Plankton,Potato,Potato
Teavillage,Space Tank,Nothing
Funnel Fjord,Humpback,Nothing
Space Village,Virgin Mary,Jesus
Direction,Fire Chief,Arrow
Liberty Bell,Archipelago,Statue of Liberty
Cake,Twister,Tornado
Ice Lily,Cleaner,Snow White
Mudpocalypse,Mess,Mud
Appalachian Mountains,Longsword,Excalibur
Nuclear Submarine,Time Ufo,Time Machine
Mountain Goat,Fence,Mountain Climber
Hot Chocolate,Herd,Cocoa
Rubble,Bat,Vampire
Desk,Orchid,Flower
Crop Circle,Steam Titan,Crop Titan
Solar Dust,Napa Valley,Wine
Shark Engine,Hangstoner,Sharknado
Plane,Bull,Zeus
Thunderstorm,Whirlpool,Tornado
Space Locomotive,Salad,Nothing
Space Sandwich,Walk,Nothing
Banana Split,Sinkstone,Nothing
March,Koi,Carp
Flat Earth,Snow Bush,Nothing
Drunken Dragon,Dandelion Patch,Dandelion Wine
Burger,Fire Alarm,Fire
Raisin,Moonshine,Raisin Bran
Snow Angel,Robocloud,Snowbot
Tractor Fly,Krill,Tractor
Field,Surf Station,Surfboard
Alcohol,Glitter,Party
"Snap, Crackle, Pop",Vortex,Rice Krispies
Trainspotter,SOS,Nothing
Duck,Time Ufo,Nothing
Varnish,Bong,Paint
Software,Smell,Noseware
Moonosaur,Alien,Moonosaur
Landship,Lunar Dust,Moon
Ostrich,Avalanche,Snowball
Exhaust,Fire Extinguisher,Fire
Rainbow Trout,Shield,Fish
Drawbridge,Space Wine,Space Castle
Sea Dragon Egg,Carnival,Sea Dragon
Ham,Chia Pet,Chia Pig
Apollo,Transistor,Radio
Venus,Aloe Vera,Plant
Fjord Flytrap,Resort,Fjord Flytrap
Steam Engine,Sand Golem,Sand Golem
Steampunk Pirate,Salmon Run,Steampunk Salmon Run
Solar Tea,Dust Trap,Solar Panel
Skateboard,Steam Sword,Steam Skateboard
Ice Cream Cake,Everest,Mount Everest
Photo,Jet,Selfie
