first,second,result
Smoke Signal,Mount Everest,SOS
Observatory,Super Mario,Telescope
Crawfish,Super Geyser,Lobster
Fire Venus Flytrap,Magic Kingdom,Fire Venus Flytrap
Bacon Ice Cream,Muddy Swamp,Pig
Frank Herbert,Sandship,Dune
Steam Engine,Aeolus,Train
Gnome,Tea Tree,Gnomish Tea
Mole,Electric Eel,Electric Mole
Holy Lake,Ultra,Holy Water
Hammerhead,Server,Shark
Helicopter,Peter Pan,Tinkerbell
Newfie,Soil,Garden
Fungi,Pint,Beer
Cocktail,Tractor Beam,Star Trek
Surf and Turf,Vroom,Vroom
Carnival,Rainforest,Amazon
Dandelion Weed,Sneeze,Allergy
Sperm Whale,Rock Tea,Ambergris
Steam Surfing,Naboo,Star Wars
Marlboro,Litter,Cigarette
Baptism,Parking Lot,Parking Lot
Wine Glass,Australia,Wine
Tinkerbell,Were-tree,Tinker-tree
Fire Coral,Dust Devil,Fire Devil
Discovery,Spaceship,Alien
King Kong,Dirt,Monkey
Magic,Starfish,Mermaid
Plateau,Fireman,Volcano
Pteranodon,Erupting Santa,Santa Claus
Crabgrass,Headlight,Crab
Re-phoenix,Firefighter,Firefighter
Chauffeur,Pottery Boat,Noah
Bermuda Triangle,Crayonado,Crayon
Telespy,Steel,Telescope
Disney,Mount Fuji,Tokyo Disneyland
Nessie,Spectacles,Nerd
Pothead,Sand Castle,Sandcastle
Mr. Potato Head,Narcissism,Donald Trump
Coughing,Space Car,Asthma
Space Tree,Elf,Ent
Rainbow Energy,Shard,Prism
Slush,Roman,Caesar
Skimming,Hula Girl,Hula Hoop
Crash Landing,Clean Train,Clean Train
Zephyr Station,Cigar,Zephyr Station
Seaweed,Dandelion Goose,Sea Goose
Flying Pop Tart,Vapecano,Pop Tart Volcano
Fountain,Direction,Compass
Crop,Bat,Vampire
Pollution,Fire Ship,Global Warming
Steam Castle,Iced Tea,Ice Castle
Machu Picchu,Opera House,Sydney Opera House
Chocolate Lava Cake,Pine,Chocolate Pine Cake
Vapor,Town Hall,Steam
Methane,Crypt,Cryptonite
Galactus,Flying Pig,Pigasus
Tea Rex,Smognado,Tea Rex
Dill,Submarine,Pickle
Eternity,Orange Juice,Sun
Vampire Dandelion,Mountain Genie,Mountain Genie
Jack-in-the-box,Mud Castle,Muddy Jack-in-the-box
Firebird,Seaweed Milk,Phoenix
Hippie,Pencil Sharpener,Pencil
Barrel,Foggy Christmas,Santa
Tanker,Coffee,Nothing
Muddy Wine,Jamaica,Rum
Earthworm,Metropolis,Superman
Yakuzas,Farm,Mafia
Rotten Egg,Teotihuacan,Aztec
Mech,Soil,Tractor
Snow Plow,Gandalf,Snowman
Moredon,Chicken,Chicken
Dutch Oven,Tractor Cannon,Tractor Beam
Sodium Chloride,Holy Smoke,Bacon
Mudboard,Cell,Brick
Archipelago,North America,Hawaii
Werepig,Dune,Werepig
Balsamic Vinegar of Modena,Saguaro,Saguaro
Continent,Survivor,Atlantis
Cemetery,Firewood,Fire
Combine Harvester,Lake,Crop Circle
Engine,Silver Surfer,Iron Man
Alien,Chocolate Sword,Chocolate Alien
Radish,Kryptonite,Superman
Dandelion Patch,Gnometea,Gnome
Software,Cacti,Prickly Pear
Rose,Fire Zeppelin,Fire Flower
Crumbs,Port,Crumpled
Cabbage,Sunrise,Salad
Pollen,Pigasus,Pig
Telescope,Woodcutter,Lumberjack
Sinking,Kangaroo,Kangaroo
Lake Champlain,Fish Trap,Champ
Lightsaber,Moon Mountain,Darth Vader
Hay,Fault,Haystack
Pop Tart,Hula,Hula Hoop
Shade,Tesla,Shadow
Cookie,Muddy Crayon,Dirt
Superman,Drain,Batman
Dragon Egg,Swamp Thing,Swamp Dragon
Mountain Dew Tornado,Drain,Mountain Dew
Maya,Amulet,Aztec
Snow Train,Cloud Tank,Snow Tank
Amazon,Yoga,Yogi
Bouquet,Holy Weed,Jesus
Sandtrap,Electric Train,Sandworm
Blood,Escape,Vampire
Scroll,Mist,Magic
Tealight,Zeppelin,Hindenburg
Flat Earth,Skydiving,Flatline
Snowdrop,Moses Flytrap,Snowdrop
Toxic,Rusty Train,Pollution
Olympus,Muddy Crop Circle,Zeus
Turpentine,Gold Bar,Gold Paint
Marsquake,Snow Bush,Snowman
Champagne Mountains,Muddy Wine Glass,Muddy Mountains
Netherite Sword,Racetrack,Formula 1
Lunar Dust,Pork,Moon
Poop,Compost,Fertilizer
Venus,Thunder Egg,Volcano
Soggy Toast,Rabbit,Soggy Rabbit
Cigar Box,Bride,Wedding
Tractor Nemo,Pisces,Fish
Mushroom Soup,Pizza Hut,Mushroom Pizza
Eagle,National Park,Bald Eagle
Smell,Fanosaur,Dinosaur
Halo,Mud Castle,Mud Castle
Cornfield,Laser,Crop Circle
Bottle,Greek,Wine
Diamond Pearl,Zeus,Poseidon
iMac,Gold Dust,Apple
Chameleon,Steampunk,Nothing
Eiffel Tower,Gnomish,Tourist
Mud Volcano,Caduceus,Mud
Dust Wolf,Sand Dunes,Sandstorm
Colony,Crayon,Coloring
Fireplace,Salmon,Smoked Salmon
Crumb,Bong,Stoner
Pangaea,Cactus,Desert
Chimney,Tundra,Santa
Pasta,Gorge,Spaghetti
T,Lake,Titanic
Wind,Roof,Kite
Snapshot,Music,Album
Steam Drunk,Dirtini,Dirtini
Sunami,Spaceman,Surfer
Paddle Steamer,Swamp Shark,Paddle Shark
Woodchipper,Carpathian,Splinter
Sword of Fire,Super Volcano,Sword Of Fire
Sphinx,Cloud Train,Zeus
Surf Tractor,Offering,Surfboard
Pottery,Pipe,Smoke
Nautilus,Swing,Pendulum
Pizza,Hobbit,Hobbit
Missile,Limo,Tank
Michael,Appalachian Trail,Michael
Space Sandwich,Spaceship,Astronaut
Greatsword,Mud Volcano,Lava
Straw,Snowroller,Snowman
Space Debris,Trump,Trump Tower
Green Dragon,Steam Dragon,Red Dragon
Alpha,Field,Omega
Paper Airplane,Snapper,Origami
Mud Wall,Paper Flower,Lotus
Observatory,Electric Tea,Universe
Tornado Venus Flytrap,Fountain of Youth,Plant
Horizon,Polar Express,Train
Megalopolis,Pasta Factory,Spaghetti
Doughnut,Sand,Donut
Grave,Volcanic,Lava
Quetzalcoatl,Were-tree,Were-quetzal
Ammon,Tom Sawyer,Mark Twain
Honeycomb,Hourglass,Bee
Luna,Combine,Moon
Flying Piranha,Chip,Nothing
Pencil Tree,Fulgurite,Lightning
Snake,Re-Tea,Re-tea-snake
Car Reef,Appalachian Mountains,Appalachian Reef
Sponge,Pineapple Tree,Pineapple
Kitesurfing,Caviar,Rich
Rime,Lava,Stone
Mark Twain,Trailer Park,Mobile Home
Mop,Robo-Fish,Robo-mop
Cookie,Beta,Google
Swimming Pool,Rocky Mountain Tea,Hot Tub
Solar System,Firework,Big Bang
Snowtrain,Cell,Snowman
Tea House,Flying Tractor,Tea Bag
Foggy Christmas,Hotel,Santa
Hare,Groot,Rabbit
Bridge,Finding Nemo,Pixar
Snowzilla,Ninja,Snow Ninja
Sandpiper,Locomotive,Train
Steam Breath,Aztec,Quetzalcoatl
Bone,Macintosh,IPhone
Axe,Sandboard,Sandboard
Rat,Fire Tank,Ratatouille
Steamnado,Windmill,Wind
Lagoon,Fire Rocket,Volcano
Crops,Ghost Train,Scarecrow
Surfweed,Steak,Sushi
Cross,Sneeze,Bless You
Pump,Lava,Volcano
Freedom,Liberty Bell,America
Sake,Rice Cake,Mochi
Mangrove Forest,Mud,Swamp
Track,Power,Train
Steam Breath,Tractor Beam,Black Hole
Pitchfork,King,Farmer
Drunk,Curry,Vindaloo
Ring of Fire,Moon Ship,Saturn
Fresh,Planet,Earth
Hot Spring,Ice Bear,Polar Bear
Sparkler,Mud Monster Truck,Mud Monster Truck
Space Titanic,Winemaker,Wine
Norway,Cornhole,Cornhole
Snowkite,Spirit,Yeti
B-52,Fire Train,Fire Plane
Tomato,Headache,Bloody Mary
Big Dipper,Orca,Whale
Tractor Beam,Sun Wukong,Monkey King
Luxury,Steam Tree,Steamboat
Battle,Asphalt,Tank
Eyjafjallajökull,Blowgun,Volcano
Riddle,Confession,Confusion
Avalanche,Superweed,Snow
Ramses,Rosebud,Sphinx
Lunar Pop,Cigar Box,Moon
Pillow,Poland,Pillowcase
Birthday,Vacuum,Party
Weed Killer,Honeymoon,Divorce
Surfing Station,City,Surfing City
Ice Wine,Smog,Smoke
Mole,Mud Dragon,Mole Dragon
Werewindmill,Narcissus,Windmill
Mole Station,Delivery,Pizza
Muddy Teacup,Lagoon,Swamp
Bookshelf,Firework,Fire
Spider-Man,Tower,Empire State Building
Penguin Devil,Houseboat,Penguin
Mars Coral,Sharkplane,Shark
Smurf Village,Hill Climb,Smurf Village
Shadow,Flat Train,Shadow Train
Ironman,Snow Tank,Iron Tank
System,Cologne,Perfume
Soap,Flying Shark,Shark
Spare,Idol,Parts
Hermes,Skate,Skateboard
Stone Dinosaur,Fossil,Fossil
Compass,Fireball,Magnet
Roll,Flood,Sushi
Skywalker,Guns,Han Solo
WereTitan,Steam Tsunami,Titanic
Piranha Shark,Denial,Piranha Shark
Mass,Drunken Master,Kung Fu
Pot Plant,Bullet,Weed
Jonah and the Whale,Tractor Cannon,Jonah And The Whale
Clog,Fanboy,Fan
Absinthe,Boiled Fish,Sushi
Ruby,Obelisk,Pyramid
Rhea,Cloud Station,Zeus
Yakiniku,Terminator,T-1000
Birthday Cake,Mangrove Flytrap,Birthday Cake
Laugh,Boots,Clown
Sky Castle,Hot Air,Trump
Terracotta,Space Shuttle,Terracotta Shuttle
Absinthe,Tasmanian Fog,Green Fairy
Ferryman,Agriculture,Charon
Meade,Booger,Booger
Sodium Chloride,Vader,Darth Vader
Swamp Shake,Banjo,Swamp Thing
Fertile,Sword,Excalibur
Piston,Recycle,Engine
Carnival,Lily of the Valley,Mardi Gras
Jupiter,Signal,Radio
Muddy Helicopter,Toad,Frog
Prince,Sneezeweed,Prince of Wales
Smoking Leopard,Tequila Sunrise,Smoking Leopard
Fire Tea,Destruction,Fire Tea
Nap,Parrot,Pirate
Skateboarder,Pint,Skater
Throwing Knife,Whiskey,Ninja
Laser Cannon,Wind Chime,Windmill
Toaster Strudel,Dough,Pastry
Super Cloud,Mud Bath,Super Mud
Cleanest,Fertilizer,Nothing
Iron,Refrigerator,Iron Man
Apocalypse,Jack Burton,Big Trouble in Little China
New York,Viking Ship,Vikings
Great Wall,Flying Fjord,Dragon
Pencil Sharpener,Mountain Fairy,Pencil
Mom,Snowflake,Snowman
Dead Sea,Jadeite,Jade
Komodo Dragon,Racetrack,Komodo Dragon
Ice Cube,Kingdom,Arendelle
Ice Flower,Moai,Snowman
Fire Surfing,Mountain Tea,Volcano
Sunstroke,Confused,Delirious
Cornfield,Barbecue Sauce,Corn on the Cob
Fire Stone,Malachite,Lava
Muddy Berserker,Windmill,Don Quixote
Tennessee,Cactea,Memphis
Dill,Ark,Pickle
Boulder,Migraine,Headache
Duck And Cover,Track,Duck
Goblet,Ark,Holy Grail
Antfly,Alps,Antelope
Museum,Sacrifice,Mummy
Paper Plane,Iceberg,Titanic
Lemur,Amphibious Helicopter,King Julien
Horizon,Curiosity,Exploration
Pop Rocks,Icewine,Explosion
Land,Swamp Fire,Volcano
Crop Circle,Sauron,Mordor
Flamenco,Toad,Frog
Nimbus,Opera House,Sydney
Mountain Dewshine,Rum,Mountain Dewshine
Tsunami,Pickle,Nothing
Bouquet,Swimsuit,Mermaid
Aspen,Illusion,Tree
Battle,Scalpel,Surgery
Horizon,Forest Fire,Sunset
Pteranodon,Tornadroll,Tornadodon
Wedding Ring,Tektite,Tetris
Mountain Dew Tsunami,Gobi,Gobi Tsunami
Fish Tank,Legend,Mermaid
Swamp Nessie,Space Squid,Cthulhu
Warmth,Mountain Car,Volcano
Shroom,Spongepunk,Mushroom
Mud Geyser,Wine Cellar,Wine
Periscope,Tidal,Tsunami
Fire Breath,Swamp Juice,Dragon
Geckoton,Fireball,Lava
Twister,Toxic Waste,Tornado
Holy Plant,Mycelium,Mushroom
Park,Android,Robot
Poison Ivy,Destruction,Harley Quinn
Balsamic Vinegar,Oven,Balsamic Chicken
Seatrain,Sauron,Sauron
Jet Fuel,Hot Soup,Explosion
Tankini,Focus,Tank
Soup-er Venus,Statue,Venus de Milo
Spy,Antimatter,Antimatter
Parrot,Tea Bagging,Pirate
Camp,Painting,Art
Ape,Hoover Dam,King Kong
Tea Plantation,Airship,Tea
Sodium,S’mores Sundae,Nothing
Magnet,Tomb,Mummy
Revolution,Angel,Rebellion
Galileo,Sodaweed,Soda
Rainbow Roll,Ice Road Truckers,Sushi
Warrior,Smoked Duck,Duck Tales
Netherite Longsword,Origami,Paper Sword
Frosty,Smoke Monster,Abominable Snowman
Fireboard,Cigarette,Smoke
Photograph,Transformers,Optimus Prime
Cornfield,Ring of Fire,Johnny Cash
Tealight,Statue,Buddha
Steam Surfing Dragon,Train,Steam Train
Teahouse,Lost,Alice
Amphibious Car,Dwarf,Dwarf Car
T-rex,Antihistamine,Dinosaur
Baby Polar Bear,Mermaid,Baby Mermaid
Muddy Water,Simba,Hakuna Matata
Zephyr Station,French Fries,Zephyr Fries
Dragon Roll,Clean Teacup,Sushi
Cherry Blossom,Chloroplast,Sakura
Skimming,Skateboard,Skimboard
Dandelion Tea,Jewel,Gold
Minecart,Skidmark,Train
Scotland,Cleanest,Aberdeen
Reincarnation,Tank Truck,Reincarnation
T,Salsa Verde,Salsa Verde
Flying Squid,Microscope,Squid
Gorgon,Thunderbird,Chimera
Dragonfish,Sandal,Mermaid
Mountain Vine,Milky Way,Wine
Steam Phoenix,Super Avalanche,Super Phoenix
Bush Station,Fire Tsunami,Nothing
Crystal Pepsi,Aircraft Carrier,Crystal Carrier
Glitch,Sandstorm Shark,Glitch Shark
Engineer,Sand Planet,Tatooine
Dutch,Grave,Tulip
Seafood,Asia,Sushi
Subtank,Sand Dunes,Desert
Venus Flyweed,Sandcastle,Sandman
Hangtsunami,Harbor,Tsunami
Motorcycle,Duck and Cover,Evel Knievel
Shrimp,Steam Breathing Dragon,Shrimp Dragon
Geysers,Giant Plant,Giant Tree
Sonar,Idol,Echo
Steam Phoenix,Meteorite,Nothing
Space Barbecue,Artist,Space Artist
Lake Champlain,Moss,Champ
Starfish,Lasagna,Pasta
Jet Train,Carnation,Flower
Pizza,Fog Cream Sandwich,Fog Cream Pizza
Vaporware,Rainbow Fish,Unicorn
Rose,Tom Sawyer,Love
Mountain Dew High,Mountaineer,Mountain Dew High
Caveman,Lost City,Atlantis
Maple,Hangwish,Maple Syrup
Amen,Chicken of the Sea,Tuna
Gorilla,Water Lily,King Kong
Stone Dinosaur,Umbrella,Stonehenge
Key,Cinder,Ash
Dirty Duck,Were-tree,Dirty Duck
Weed Trap,Plants,Nothing
Orca Pod,Water Lily,Orca
Flying Carpet,Beaver,Flying Beaver
Steam Tsunami,Easter,Egg
Fire Coral,Tobacco,Cigar
Tear,Muddy Wind Farm,Muddy Wind Farm
Supertree,Spaceman,Superman
Continent,Garbage,Island
Giant Carnivorous Plant,Subway,Man-Eating Plant
Firewood,Luau,Fire
Tornado Venus Flytrap,Tornado Sushi,Tornado Sushi Venus Flytrap
Iceland,Dandelion Patch,Dandelion
Vortex,Knowledge,Black Hole
Flamingo,Piece of Cake,Birthday
Moon Rover,Teacup,Tea
Steam Iron Man,Garage,Iron Man
Train Station,Passion,Love
Hoover,Tea Train,Vacuum
Parking,Semi,Truck
Daisy,Nemo,Finding Nemo
Sweat,Sap,Syrup
Star Wars,Matcha,Matcha Wars
Chili Pepper,Candy Cane,Hot Chocolate
Pitch,Steam Dew,Rain
Flying Fish,Tractorbeam,UFO
Masterpiece,Blowout,Art
Pigcane,Cloud,Rainbow
Lava Dandelion,Summer,Volcano
Weed Killer,Sinkhole,Sinkhole
Morning After,Fire Subway,Fire Subway
Mountain Dragon,Peak,Mountain
Tinkerbell,Cookie,Cookie Monster
Mouse Tractor,David,Nothing
Heat,Icebox,Cold
Lotus,Swing,Yoga
Choopper,Dam,Nothing
Absorb,Calamari,Squid
Gatorade,Fishing Boat,Fisherman
Tear,Mudman,Clay
Zephyr Train,Flying Boat,Airship
Bog Shark,Sandtami,Sand Shark
Whisky,Murder,Scotch
Taz,Waste,Taser
Mars,Cloud Tank,Tank
Mountain Tractor,Mead,Honey
Snowboarding,Fall,Snowboarding
Pig,Coraline,Piglet
Space Barbecue,Werebear,Werebear
Salmon,Lens,Fish Eye
Mirror,Ant Smoker,Ant
