first,second,result
Cup,Gator,Alligator
Gator,Cut,Alligator
Cybernetic,Gator,Robo-Gator
DNA,Gator,Alligator
Gator,Daddy,Alligator
Gator,Cygnus,Swan
Cybertron,Gator,Optimus Prime
Gator,Dagger,Crocodile
Gator,Dalai Lama,Llama
Damn,Gator,Damn Alligator
Gator,Dandelight,Nothing
Dandelion Island,Gator,Swamp
Gator,Dandelion Soup,Gatorade
Gator,Dandelion Roll,Alligator Roll
Dandelion Weed,Gator,Alligator
Gator,Daffy,Duck
Dark Matter,Gator,Black Hole
Darkness,Gator,Crocodile
Gator,Date Palm,Palm Tree
Dandylion,Gator,Swamp
Day,Gator,Alligator
Gator,Demon,Crocodile
Derail,Gator,Train
Death Star,Gator,Gatorade
Gator,Dessert,Alligator
Dill,Gator,Pickle
Dionysus,Gator,Crocodile
Dinner,Gator,Alligator
Dirt Bike,Gator,Swamp Bike
Discovery,Gator,Alligator
Gator,Dragon Fruit,Dragon
Gator,Dragon Roll,Crocodile
Don Quixote,Gator,Alligator
Dragon Tornado,Gator,Dragonator
Driving,Gator,Alligator
Druid,Gator,Swamp
Dragon Trap,Gator,Alligator
Drunken,Gator,Crocodile
Drunken Dragon,Gator,Dragon
Duck And Cover,Gator,Crocodile
Gator,Drunken Master,Crocodile Dundee
Duck Sauce,Gator,Gatorade
Dune Buggy,Gator,Swamp Buggy
Gator,Dust Allergy,Sneeze
Dust Weed,Gator,Swamp
Gator,Dustnado,Dustgator
Dustbuster,Gator,Vacuum
Dustover,Gator,Swamp
Dusty,Gator,Crocodile
Dyson,Gator,Vacuum
Gator,Easter,Nothing
Gator,Ecosystem,Swamp
Electric Car,Gator,Tesla
Gator,Electric Teapot,Crocodile
Electric Train,Gator,Crocodile
Daffodil,Gator,Gatorade
Gator,Edelweiss,Nothing
Elon Musk,Gator,Elon Gator
Evil,Gator,Crocodile
Gator,Excalibur,Gatorade
Europe,Gator,Crocodile
Eye,Gator,Crocodile
Ent,Gator,Entor
Gator,Family,Swamp
Gator,Factory,Alligator
Feather,Gator,Quill
Feed,Gator,Alligator
Gator,Fanatic,Crocodile
Fighter,Gator,Alligator
Gator,Finland,Finn
Fire Axe,Gator,Nothing
Fire Duck,Gator,Dragon
Gator,Fire Dance,Dragon
Gator,Fire Dragon,Dragon Gator
Gator,Fire Engine,Fire Gator
Fire Fire Trap,Gator,Crocodile
Fire Lily,Gator,Dragon
Fire Ghost,Gator,Dragon
Fire Ski,Gator,Crocodile
Fire Submarine,Gator,Gatorade
Gator,Fire Water,Swamp
Fire Weed,Gator,Fire Gator
Gator,FireFox,Firefox
Gator,Fireplane,Nothing
Firewall,Gator,Alligator
Gator,Firetruck,Firegator
Gator,Fish Soup,Swamp
Fire Cone,Gator,Dragon
Fjord Flytrap,Gator,Gatorade
Gator,Flat,Alligator
Gator,Flowerpot,Venus Flytrap
Gator,Flip Flop,Croc
Flu,Gator,Alligator
Flying Fish Sushi,Gator,Nothing
Flying Fjord,Gator,Dragon
Gator,Fire Tree,Dragon
Flying Machine,Gator,Dragon
Gator,Flying Roast Duck,Dragon
Flying Fisherman,Gator,Gatorade
Flying Spaghetti Monster,Gator,Gatorade
Flying Whale,Gator,Dragon
Flypaper,Gator,Alligator
Flytrap,Gator,Venus Flytrap
Gator,Flying Frog,Flying Gator
Gator,Flame Sword,Flamingo
Frat Party,Gator,Swamp
Fountain of Youth,Gator,Gatorade
Freezer,Gator,Ice
Gator,Frisbee,Frisbee
Gator,Frosting,Alligator
Gator,Fridge,Alligator
Frozen,Gator,Ice Gator
Fruit Fly,Gator,Fruit Gator
Fun,Gator,Alligator
Gator,Fruit Tree,Apple
Gator,Future,Crocodile
Fulgurite,Gator,Lightning
Gale,Gator,Hurricane
Gator,Garbage Truck,Garbage Gator
Garbage,Gator,Swamp
Gargoyle,Gator,Crocodile
Gator,Gasoline,Gatorade
Gator,Gate,Alligator
Gator,Gator,Crocodile
Garnet,Gator,Nothing
Lava,Geothermal Power Plant,Volcano
Geothermal Power Plant,Lake,Steam
Gator,Flying Ice Cream Cone,Flying Gator
Dandelion,Geothermal Power Plant,Wind
Geothermal Power Plant,Avalanche,Tsunami
Eruption,Geothermal Power Plant,Energy
Geothermal Power Plant,Mountain,Volcano
Tornado,Geothermal Power Plant,Volcano
Geothermal Power Plant,Ocean,Atlantis
Geothermal Power Plant,Mud,Mud Bath
Sand,Geothermal Power Plant,Glass
Geothermal Power Plant,Fog,Steam
Planet,Geothermal Power Plant,Earth
Sandstorm,Geothermal Power Plant,Dust Storm
Tree,Geothermal Power Plant,Tree
Geothermal Power Plant,Cinder,Volcano
Geothermal Power Plant,Brick,Lego
Geothermal Power Plant,Ice,Cold
Glass,Geothermal Power Plant,Greenhouse
Geothermal Power Plant,Flower,Energy
Dune,Geothermal Power Plant,Sand
Geothermal Power Plant,Dandelion Patch,Dandelion
Landslide,Geothermal Power Plant,Volcano
Geothermal Power Plant,Island,Atlantis
Geothermal Power Plant,Lily,Geothermal Lily
Incense,Geothermal Power Plant,Volcano
Geothermal Power Plant,Leaf,Tree
Geothermal Power Plant,Mist,Steam
Geothermal Power Plant,Oasis,Oil
Geothermal Power Plant,Phoenix,Firebird
Moon,Geothermal Power Plant,Lunar Geothermal Power Plant
Sun,Geothermal Power Plant,Solar Power Plant
Rock,Geothermal Power Plant,Volcano
Geothermal Power Plant,Snow,Snowman
Geothermal Power Plant,Pollen,Bee
Geothermal Power Plant,Sea,Atlantis
Tractor,Geothermal Power Plant,Tractor Beam
Geothermal Power Plant,Weed,Marijuana
Geothermal Power Plant,Tea,Tea
Train,Geothermal Power Plant,Steam Locomotive
Geothermal Power Plant,Atlantis,Atlantis
Wine,Geothermal Power Plant,Hot Wine
Geothermal Power Plant,Bottle,Hot Spring
Geothermal Power Plant,Bush,Fire
Blizzard,Geothermal Power Plant,Geothermal Power Plant
Geothermal Power Plant,Car,Volcano
Geothermal Power Plant,Chai,Tea
Cyclone,Geothermal Power Plant,Tornado
Geothermal Power Plant,Comet,Meteor
Delta,Geothermal Power Plant,River
Geothermal Power Plant,Dirt,Volcano
Geothermal Power Plant,Diamond,Volcano
Geothermal Power Plant,Destruction,Volcano
Geothermal Power Plant,Dust Devil,Dust Devil
Geothermal Power Plant,Disaster,Volcano
Geothermal Power Plant,Electricity,Energy
Geothermal Power Plant,Energy,Electricity
Geothermal Power Plant,Earthquake,Geothermal Energy
Farm,Geothermal Power Plant,Volcano
