first,second,result
Tar,Sphinx,Mummy
Skier,Rubber,Snow
420,Fire Balloon,Joint
Fairy,Fertilizer,Flower
Tesla,Racism,Elon Musk
Mud Station,Geysers,Mud Volcano
Thor,Milky Way,Milky Way
Steam Breath,Fish Tank,Fish
Rover,Ariel,Mars
Leak,Mt. Rushmore,Nothing
Steam Rocket,Sculpture,Statue of Liberty
Carbon,Dust Bunny,Nothing
Cedar,Cheshire Cat,Tree
Desert,Steamplane,Mirage
Diamond Axe,Eagle,Nothing
Snowboarding,Fertilizer,Snowboarding
Desert,Muddy Train,Sandstorm
Moonstone,Time Machine,Moon
Nose,Sea Monster,Narwhal
Lightning,Picnic,Storm
Electricity,Venus,Lightning
Steam Tornado,Dryad,Tree
Brontosaurus,Snowstorm,Snowman
War,Norway,Viking
Pirate Ship,Pop,Pirate
Hay Fever,Dump Truck,Sneeze
Racecar,Ice Tornado,Ice Tornado
Star Wars,Lizard,Yoda
Mercury,Mud,Quicksilver
Lawnmower,Surf Station,Surfboard
Vulcan,Cobra,Volcano
Ammonite,Church,Ammonite
Sail,Puff,Pirate
Selfie,Suez,Selfie Stick
Ragnarok,Glacier,Ice Age
Tube,Dust Dragon,Vacuum
Mountain Tea,Beach,Tea
Mucus,Mountain Swamp Thing,Swamp Thing
Tourist,Feather,Bird
Lunatic,Hot Chocolate,Hot Mess
Glowworm,Red Dust,Nothing
Tree of Life,Muddy Toadstool,Nothing
Moth,Holy Grail,Mothra
Olympus Mons,Sausage,Mars
Olympus,Charcoal,Zeus
Wooden Submarine,Ocean,Poseidon
Snowpunk,Calamari,Squid
Atlas,Cinder,Volcano
Fishstick,Incense,Sushi
Shaman,Tsunamic,Tsunami
Future,Power,Superpower
Oasis,Werepuddle,Werepuddle
Boxer,Audrey Iii,Audrey Iii
Rover,Flying Trap,UFO
Tunnel of Fudge,Hydroelectric,Nothing
Dandelion,Dandelion Island,Dandelion Island
Hay,Village,Farm
Titanic,Dragon Train,Dragon Titanic
Flying Shark,Drunken Batman,Nothing
Potassium,Baptism,Nothing
Cigarette,Kaleidoscope,Smoke
Fountain,Cyborg,Robot
Diamond Block,Cyborg,Robot
Steam Tornado,Steam Rocket,Steam Jet
Hole,Chaos,Black Hole
Swimming Pool,Shell,Snail
Mansion,Potash,Salt
Ice Cream Cone,Flat Rock,Ice Cream
Vandal,Tank,Graffiti
Confetti,Orca,Party
Wolf,Airplane,Werewolf
iMac,Santa,Christmas
Goldfish,Flower,Aquarium
Fire Tree,Rake,Firewood
Chia,Snowtrain,Chiapet
Torch,Igloo,Fireplace
Smoke,Celebration,Fireworks
Penguin,Tenochtitlan,Moctezuma
Drunk,Venus of Urbino,Venus Of Urbino
Pharaoh,Fog,Mummy
Tutankhamun,Pollen,Mummy
Iron Man,Firewall,Iron Wall
Drunken Master,Poinsettia,Santa Claus
Pudding,Mud Punk,Mud Pie
Foghorn,Santa,Rudolph
Stoned,Checkmate,Chess
Ariel,Snow Plow,Snowman
Mountain Dew Ocean Blast,Space Train,Mountain Dew Ocean Blast
Turbine,Crab,Windmill
Antarctica,Moon Buggy,Moon Buggy
Lava Monster,Excalibur,Dragon
Catnip,Sky,Cloud
Swan,Prism,Rainbow
Narwhal,Ice Bear,Polar Bear
Iron,Peak,Nothing
Mist,Baptism,Holy Water
Tea Set,Toxic Waste,Tea
Skate,Moon Dust,Moon Skate
Dustnado,Swamp Dragon,Dust Dragon
Big Bang,Hydroelectricity,Universe
Amphibian,Mud Station,Frog
Toilet,Solar Dust,Black Hole
Smokefly,Bomb,Smoke
Air Dragon,Mjolnir,Nothing
Car Wash,Steam Engine,Steam Car
Tremor,Lunar,Moonquake
Niagara Falls,Flying,Barrel
Star,Universe,Galaxy
Piggyback,Egyptian,Mummy
Candle,Fjord,Troll
Gasoline,Guillotine,Explosion
Jet,Flying Hot Dog,Flying Hot Dog
Matcha,Rice Field,Tea
Observatory,Tea Party,Astronomy
Satan,Hot,Hell
Movie,Zeppelin,Led Zeppelin
Steak,Luau,Hawaii
Hobbit,Tsunami,Tsunobbit
Omelette,Jack,Jack O’Lantern
Baconator,Hot Chocolate,Nothing
Seeds,Devil,Crop
Space Shuttle,Dyson,Vacuum
Steamroller,King,Tyrant
Drunk,Ghost Pepper,Fire Breath
Explosion,Raft,Pirate
Starfish,Priest,Astronaut
Pharaoh,Luxury,Pyramid
Discovery,Mud Geyser,Nothing
Lunar Dust,Flytrap,Moon
Rainbow Fish,Kingdom,Atlantis
