first,second,result
Monster Truck,Duck And Cover,Duck
Moon Mountain,Duck And Cover,Moon
Duck And Cover,Moonshine,Hillbilly
Duck And Cover,Mop,Floor
Moses,Duck And Cover,Parting Of The Red Sea
Mosquito,Duck And Cover,Duck
Mountain Tornado,Duck And Cover,Tornado
Duck And Cover,Mountain Wine,Duck Wine
Duck And Cover,Mud Geyser,Mud
Mud Puddle,Duck And Cover,Muddy Duck
Mountain Tea,Duck And Cover,Nothing
Duck And Cover,Muddy Wine,Dirty Duck
Duck And Cover,Muddy,Pig
Mud Station,Duck And Cover,Duck
Duck And Cover,Muddy Teapot,Duck Tea
Muddy Wind Farm,Duck And Cover,Duck And Cover
Narcissus,Duck And Cover,Duckface
Narwhal,Duck And Cover,Unicorn
Multiverse,Duck And Cover,Duck And Cover
Duck And Cover,Mudweed,Duckweed
Duck And Cover,Nautilus,Submarine
Ninja,Duck And Cover,Duck
Odin,Duck And Cover,Thor
Niagara Falls,Duck And Cover,Duck And Drown
Observatory,Duck And Cover,Telescope
Olympus,Duck And Cover,Zeus
Oil Drum,Duck And Cover,Gas Mask
Old Faithful,Duck And Cover,Duck And Cover
Olympus Mons,Duck And Cover,Duck And Cover
Oven,Duck And Cover,Duck A L’Orange
Oxygen,Duck And Cover,Fire
Painting,Duck And Cover,Art
Palace,Duck And Cover,Duck And Cover
Papyrus,Duck And Cover,Duck
Paddy,Duck And Cover,Irish
Paradise,Duck And Cover,Eden
Duck And Cover,Pearl,Oyster
Pencil Sharpener,Duck And Cover,Pencil
Pasta,Duck And Cover,Spaghetti
Duck And Cover,Piggy Bank,Piggy Bank
Periscope,Duck And Cover,Submarine
Photoshop,Duck And Cover,Duck And Cover
Duck And Cover,Pickle,Pickle Rick
Pharaoh,Duck And Cover,Mummy
Duck And Cover,Piggyback,Piggyback Ride
Duck And Cover,Piglet,Pork
Pine,Duck And Cover,Christmas Tree
Pigpen,Duck And Cover,Pigpen
Pineapple,Duck And Cover,Pineapple Under The Sea
Pipe,Duck And Cover,Plumber
Piranha Plant,Duck And Cover,Piranha Plant
Pirate Ship,Duck And Cover,Pirate
Plantation,Duck And Cover,Nothing
Plesiosaur,Duck And Cover,Loch Ness Monster
Duck And Cover,Port,Dock
Duck And Cover,Pork,Bacon
Plantea,Duck And Cover,Duck And Cover
Pope,Duck And Cover,Duck And Cover
Pressure,Duck And Cover,Duck
Duck And Cover,Potato,Mr. Potato Head
Duck And Cover,Prince,Frog
Priest,Duck And Cover,Confession
Power,Duck And Cover,Superman
Duck And Cover,Pterodactyl,Pterodactyl
Prism,Duck And Cover,Rainbow
Prison,Duck And Cover,Jailbreak
Pudding,Duck And Cover,Duck Pudding
Pufferfish,Duck And Cover,Blowfish
Duck And Cover,Race,Duck Race
Quasar,Duck And Cover,Duck And Cover
Duck And Cover,Radio,Fallout
Quicksand,Duck And Cover,Duck
Rainbow Trout,Duck And Cover,Salmon
Raft,Duck And Cover,Duck
Rally,Duck And Cover,Duck And Roll
Duck And Cover,Raisin,Raisin Bran
Railroad,Duck And Cover,Duck
Refrigerator,Duck And Cover,Duck
Resin,Duck And Cover,Duck Tape
Rice Field,Duck And Cover,Paddy
Rings,Duck And Cover,Lord Of The Rings
Romance,Duck And Cover,Duckling
Ruby,Duck And Cover,Ruby Duck
Ruins,Duck And Cover,Fallout
Rubber,Duck And Cover,Condom
Roast Duck,Duck And Cover,Duck And Cover
Sailor,Duck And Cover,Popeye
Rust,Duck And Cover,Tin Can
Sacrifice,Duck And Cover,Human
Saint,Duck And Cover,Saint Patrick
Duck And Cover,Sake,Sake Bomb
Salt Lick,Duck And Cover,Duck
Duck And Cover,Salmon,Duck And Cover
Salad,Duck And Cover,Duck Salad
Sand Dunes,Duck And Cover,Desert
Sandstone,Duck And Cover,Pyramid
Duck And Cover,Sea Dragon,Tsunami
Duck And Cover,Sculpture,Statue
Sandwich,Duck And Cover,Duck Sandwich
Santa,Duck And Cover,Christmas
Duck And Cover,Shaman,Duck
Seaplane,Duck And Cover,Duck
Sharkicane,Duck And Cover,Sharknado
Sea Star,Duck And Cover,Sea Monster
Shards,Duck And Cover,Glass
Sharktopus,Duck And Cover,Sharktopus
Duck And Cover,Singularity,Duck
Sink,Duck And Cover,Duck
Sinking,Duck And Cover,Duck
Smoke Signal,Duck And Cover,Fire
Smoking,Duck And Cover,Fire
Duck And Cover,Smoke Detector,Fire Drill
Siren,Duck And Cover,Duck
Sky Castle,Duck And Cover,Duck And Cover
Snowboard,Duck And Cover,Penguin
Snake,Duck And Cover,Snake In The Grass
Snowflake,Duck And Cover,Snowman
Smurf,Duck And Cover,Smurfette
Snowplow,Duck And Cover,Snowman
Snowpocalypse,Duck And Cover,Snow Duck
Sodium,Duck And Cover,Sodium Dioxide
Solar Dust,Duck And Cover,Meteor Shower
Soda,Duck And Cover,Soda Pop
Duck And Cover,Speed,Duck
Space Farm,Duck And Cover,Alien
Space Shuttle,Duck And Cover,Space Duck
Spaceship,Duck And Cover,Alien
Space Flower,Duck And Cover,Alien
Squid,Duck And Cover,Squidward
Station,Duck And Cover,Duck
Statue of Liberty,Duck And Cover,Godzilla
Duck And Cover,Steam Dragon,Steam Duck
Duck And Cover,Steam Punk,Steam Duck
Duck And Cover,Stench,Fart
Steam Train,Duck And Cover,Steamroller
Steam Robot,Duck And Cover,Steam Duck
Steamship,Duck And Cover,Titanic
Duck And Cover,Stonehenge,Stone Age
Supercontinent,Duck And Cover,Pangea
Sunrise,Duck And Cover,Sunset
Sundae,Duck And Cover,Ducksundae
Stoned,Duck And Cover,Duck And Stoned
Surge,Duck And Cover,Duck
Swamp Fire,Duck And Cover,Swamp Thing
Swamp Venus,Duck And Cover,Swamp Thing
Duck And Cover,Swan,Swan Lake
Sweat,Duck And Cover,Sauna
Tadpole,Duck And Cover,Frog
Duck And Cover,Tatooine,Jabba The Hut
Tempest,Duck And Cover,Tornado
Tarzan,Duck And Cover,Duck Tarzan
Thunderbird,Duck And Cover,Thunderduck
Time Ship,Duck And Cover,Duck
Thor,Duck And Cover,Thunder
Tesla Tower,Duck And Cover,Tesla Coil
Tiamat,Duck And Cover,Tiamat
Titanado,Duck And Cover,Titanado
Duck And Cover,Toad,Frog
Toast,Duck And Cover,Pop Tart
Titan,Duck And Cover,Atlas
Time Travel,Duck And Cover,Back To The Future
Tomato,Duck And Cover,Ketchup
Tornado Fish,Duck And Cover,Tornado
Treasure,Duck And Cover,Pirate
Toxic Waste,Duck And Cover,Mutant
Duck And Cover,Treasure Map,Pirate
Duck And Cover,Turtle,Turtle Shell
Triton,Duck And Cover,Poseidon
Tutankhamun,Duck And Cover,Mummy
Tsunamic,Duck And Cover,Tsunami
Unicorn,Duck And Cover,Rainbow
Duck And Cover,Twister,Tornado
Duck And Cover,Valkyrie,Duck
Vape,Duck And Cover,Vape And Cover
Duck And Cover,Vapor,Steam
Virus,Duck And Cover,Vaccine
Vesuvius,Duck And Cover,Pompeii
Vatican,Duck And Cover,Pope
Vodka,Duck And Cover,Duck Vodka
Wet,Duck And Cover,Duck
Duck And Cover,Wax,Candle
Wheel,Duck And Cover,Car
Duck And Cover,Whirlpool,Tsunami
Warmth,Duck And Cover,Duck And Warmth
Duck And Cover,Windshield,Duck
Duck And Cover,Whiskey,Duck Whiskey
Wish Upon A Star,Duck And Cover,Wish Upon A Falling Star
Duck And Cover,Windsurfing,Duck
Wormhole,Duck And Cover,Time Travel
Wolfsbane,Duck And Cover,Werewolf
Witch,Duck And Cover,Wizard
Worship,Duck And Cover,Religion
Yacht,Duck And Cover,Duck Boat
Duck And Cover,Zeus,Thunder
Duck And Cover,840,1950s
Zeppelin,Duck And Cover,Led Zeppelin
Zephyr Train,Duck And Cover,Duck And Cover
Zombie,Duck And Cover,Zombie Duck
Accident,Duck And Cover,Duck And Cover
Absinthe,Duck And Cover,Hangover
Africa,Duck And Cover,Apartheid
Aeon,Duck And Cover,Duck And Cover
Adam,Duck And Cover,Adam And Eve
Air,Duck And Cover,Hurricane
Duck And Cover,Air Dragon,Duck
Air Conditioner,Duck And Cover,Duck
Duck And Cover,Aircraft Carrier,Nothing
Allergies,Duck And Cover,Duck Allergies
Alice,Duck And Cover,Mad Hatter
Duck And Cover,Albatross,Duck
Duck And Cover,Airport,Airport Security
Duck And Cover,Ale,Nothing
Alpha,Duck And Cover,Alpha Duck
Ammolite,Duck And Cover,Ammonite
Altar,Duck And Cover,Nuclear War
Duck And Cover,Alphabet,Nothing
Ammonia,Duck And Cover,Duck And Cover
Amphibious Car,Duck And Cover,Duck
Anchor,Duck And Cover,Titanic
Amphicar,Duck And Cover,Duck
Duck And Cover,Ant Hill,Ant Hill
Animal,Duck And Cover,Chicken
Anemone,Duck And Cover,Nemo
Antfly,Duck And Cover,Antman
Duck And Cover,Ape,Monkey
Antimatter,Duck And Cover,Antimatter
Apple Juice,Duck And Cover,Apple Sauce
Apollo,Duck And Cover,Duck
Duck And Cover,Apocalypse,Apocalypse
Duck And Cover,Amphibian,Frog
Aquaman,Duck And Cover,Duck
Apple Orchard,Duck And Cover,Nothing
Ares,Duck And Cover,Nothing
Archangel,Duck And Cover,Nothing
Antelope,Duck And Cover,Antelope Duck
Ashes,Duck And Cover,Fallout
Duck And Cover,Arrow,Duck
Duck And Cover,Asteroid,Meteor
Duck And Cover,Ark,Noah
Ash Ketchum,Duck And Cover,Ash Ketchum
Astronomer,Duck And Cover,Meteorologist
Aurora,Duck And Cover,Nothing
Atlas,Duck And Cover,Atlas Shrugged
Duck And Cover,Audrey Iii,Little Shop Of Horrors
Australia,Duck And Cover,Australia
Autumn,Duck And Cover,Fallout
Duck And Cover,BBQ,Duck
Duck And Cover,Baby Dinosaur,Baby Dinosaur
B-52,Duck And Cover,Nuclear War
Duck And Cover,Baconator,Baconator
Bahamut,Duck And Cover,Bahamut
Balsamic Vinegar of Modena,Duck And Cover,Duck A L’Orange
Bathtub,Duck And Cover,Duck
Barrel,Duck And Cover,Fallout Shelter
Duck And Cover,Batman,Batman Duck
Batter,Duck And Cover,Battery
Duck And Cover,Battle,Nuclear War
Battle Axe,Duck And Cover,Battle Axe
Battlefield,Duck And Cover,Nuclear War
Bigfoot,Duck And Cover,Sasquatch
Beanstalk,Duck And Cover,Nothing
Birthday Cake,Duck And Cover,Birthday Party
Duck And Cover,Biofuel,Duck
Duck And Cover,Bjork,Bjorkenstein
Duck And Cover,Black Lily,Duck
Duck And Cover,Black Pearl,Nothing
Blimp,Duck And Cover,Hindenburg
Duck And Cover,Blood Moon,Zombie
Blow,Duck And Cover,Duck
Blowfish,Duck And Cover,Blowfish
Blowgun,Duck And Cover,Duck Hunt
Barbecue Sauce,Duck And Cover,Duck Sau
Blowhole,Duck And Cover,Duck
Duck And Cover,Blowtorch,Duck
Bodhi,Duck And Cover,Duck
Blueprint,Duck And Cover,Duck Tape
Boston Tea Party,Duck And Cover,Tea Party
Duck And Cover,Breakup,Breakdance
Bone,Duck And Cover,Skeleton
Boom,Duck And Cover,Nuclear War
Duck And Cover,Brontosaurus,Dinosaur
Bull,Duck And Cover,Minotaur
Burning Bush,Duck And Cover,Chernobyl
Duck And Cover,Bunny,Rabbit
Duck And Cover,Burnt Toast,Nuclear War
Burning Zeppelin,Duck And Cover,"Duck, Duck, Goose"
Duck And Cover,Butter,Popcorn
CB,Duck And Cover,Duck And Cover
Caduceus,Duck And Cover,Doctor
Calamari,Duck And Cover,Squid
Carnival,Duck And Cover,Carnival Of Ducks
Calendar,Duck And Cover,Mayan
Carnation,Duck And Cover,Daffy
Duck And Cover,Balsamic Glaze,Duck A L’Orange
Car Wash,Duck And Cover,Nothing
Carpathian,Duck And Cover,Nothing
Cash,Duck And Cover,Duck
Duck And Cover,Cat,Cat Duck
Duck And Cover,Castle in the Sky,Nothing
Cauldron,Duck And Cover,Witch
Cedar,Duck And Cover,Cedar Rapids
Cathedral,Duck And Cover,Nuclear War
Celebration,Duck And Cover,Party
Cell,Duck And Cover,Fallout Shelter
Cemetery,Duck And Cover,Zombie
Cheese Wheel,Duck And Cover,Cheese Wheel
Duck And Cover,Cerberus,Chicken
Chalk,Duck And Cover,Nuclear War
Cherry,Duck And Cover,Cherry Bomb
Duck And Cover,Chameleon,Chameleon
Cherry Blossom,Duck And Cover,Sakura
Chess,Duck And Cover,Chicken
Cheshire Cat,Duck And Cover,Cheshire Cat
Chia Pet,Duck And Cover,Chicken
Chicken Noodle Soup,Duck And Cover,Chicken Noodle Soup
Chest,Duck And Cover,Treasure
Chili Pepper,Duck And Cover,Hot Sauce
Duck And Cover,Chili Mushroom,Chili Mushroom
Chicken of the Sea,Duck And Cover,Tsunami
China,Duck And Cover,Nuclear War
Duck And Cover,Chocolate Milk,Chocolate Milk
Chocolate,Duck And Cover,Chocolate Covered Duck
Clean Teapot,Duck And Cover,Tea Party
Cleanest,Duck And Cover,Duck And Cover
Cleaning,Duck And Cover,Duck And Cover
Clockpunk,Duck And Cover,Duckpunk
Cloud Castle,Duck And Cover,Cloud Castle
Cloud Train,Duck And Cover,Cloud Train
Cocaine,Duck And Cover,Duck And Cover
Coconut Milkshake,Duck And Cover,Duck Milkshake
Coconut Water,Duck And Cover,Duck And Cover
Chip,Duck And Cover,Duck Tape
Coin,Duck And Cover,Bitcoin
Coffee,Duck And Cover,Duck
Choopper,Duck And Cover,Duck And Cover
Colony,Duck And Cover,Duck And Cover
Combine,Duck And Cover,Shelter
Communion,Duck And Cover,Duck And Cover
Condor,Duck And Cover,Duck
Confession,Duck And Cover,Nuclear War
Cologne,Duck And Cover,Duck
Constellation,Duck And Cover,Meteor
Duck And Cover,Cooking,Duck
Cornfield,Duck And Cover,Crop Circle
Duck And Cover,Cosmos,Big Bang
Cotton Candy,Duck And Cover,Nuclear Winter
Cottonseed,Duck And Cover,Duck And Cover
Couch,Duck And Cover,Couch Potato
Cough Syrup,Duck And Cover,Duck Syrup
Duck And Cover,Coke,Nuclear War
Duck And Cover,Cowboy,Nothing
Count,Duck And Cover,Count Duckula
Crabgrass,Duck And Cover,Lawn
Crab King,Duck And Cover,Crab King
Cool,Duck And Cover,Duck And Cover
Crane,Duck And Cover,Nuclear War
Crack,Duck And Cover,Duck Tape
Crayfish,Duck And Cover,Nothing
Crop Duster,Duck And Cover,Crop Duster
Crayonado,Duck And Cover,Nothing
Cross,Duck And Cover,Chicken
Cruise,Duck And Cover,Titanic
Colorado,Duck And Cover,Nothing
Cruise Ship,Duck And Cover,Titanic
Crystal Ball,Duck And Cover,Nostradamus
Duck And Cover,Cthulhu,Cthulhu Fhtagn
Duck And Cover,Crypt,Bunker
Duck And Cover,Corkscrew,Duck Soup
Curse,Duck And Cover,Nuclear War
