first,second,result
Fairy Tale,Super Fertilizer,Jack
Excalibur,Super Fertilizer,King Arthur
Super Fertilizer,Factory,Plant
Family,Super Fertilizer,Population Explosion
Fanatic,Super Fertilizer,Nothing
Eye,Super Fertilizer,Eye of Newt
Super Fertilizer,Fertile,Super Fertile
Super Fertilizer,Ferry,Poseidon
Super Fertilizer,Finland,Super Finland
Feed,Super Fertilizer,Nothing
Ecosystem,Super Fertilizer,Super Ecosystem
Fire Duck,Super Fertilizer,Phoenix
Fire Lily,Super Fertilizer,Fire Flower
Fire Axe,Super Fertilizer,Nothing
Super Fertilizer,Fire Submarine,Nothing
Fire Water,Super Fertilizer,Nothing
Fire Cone,Super Fertilizer,Volcano
Super Fertilizer,Fire Storm,Volcano
Fire Ski,Super Fertilizer,Volcano
Fire Fire Trap,Super Fertilizer,Fire Flower
Fire Engine,Super Fertilizer,Fire Flower
Fire Tree,Super Fertilizer,Fire Flower
Fire Ghost,Super Fertilizer,Fire Flower
Fire Dance,Super Fertilizer,Fire Flower
Super Fertilizer,Flash,Superman
Fishstick,Super Fertilizer,Seaweed
Super Fertilizer,Fire Weed,Fire
Super Fertilizer,Firetruck,Fire
Firewall,Super Fertilizer,Fire
Fishing Pole,Super Fertilizer,Fish
Fish Soup,Super Fertilizer,Fish
Flame Sword,Super Fertilizer,Sun
Super Fertilizer,Firekraken,Fire
Fireplane,Super Fertilizer,Fire
Flambé,Super Fertilizer,Plant
Fire Whirl,Super Fertilizer,Fire Flower
Fire Dragon,Super Fertilizer,Dragon Fruit
Super Fertilizer,Fjord Flytrap,Fjord Flytrap
Flat,Super Fertilizer,Plant
Super Fertilizer,Flip Flop,Flower
Flying Cow,Super Fertilizer,Super Cow
Flying Machine,Super Fertilizer,Nothing
Flu,Super Fertilizer,Nothing
Flat Road,Super Fertilizer,Nothing
Flying Fish Sushi,Super Fertilizer,Nothing
Flying Fisherman,Super Fertilizer,Nothing
Flowerpot,Super Fertilizer,Nothing
Super Fertilizer,Flying Pelican,Nothing
Flying Ice Cream Cone,Super Fertilizer,Unicorn
Flying Frog,Super Fertilizer,Flying Cow
Super Fertilizer,FireFox,Fire Flower
Super Fertilizer,Flying Fjord,Flying Fjord
Super Fertilizer,Flat Rock,Boulder
Super Fertilizer,Forest Fire,Tree
Super Fertilizer,Frankenstein,Plant
Flypaper,Super Fertilizer,Spider
Super Fertilizer,Flytrap,Venus Flytrap
Super Fertilizer,Freedom,Weed
Flying Spaghetti Monster,Super Fertilizer,Flying Spaghetti Monster
Super Fertilizer,Flying Sand,Cactus
Fondue,Super Fertilizer,Cheese
Fountain of Youth,Super Fertilizer,Tree
Super Fertilizer,Flying Plant,Super Flying Plant
Super Fertilizer,Flying Whale,Nothing
Frank Herbert,Super Fertilizer,Dune
Flying Roast Duck,Super Fertilizer,Flying Roast Duck
Future,Super Fertilizer,Super Weed
Fun,Super Fertilizer,Weed
GPS,Super Fertilizer,Farmer
Frisbee,Super Fertilizer,Frisbee
Super Fertilizer,Garbage,Plant
Super Fertilizer,Frozen,Ice
Freezer,Super Fertilizer,Ice Cream
Fruit Fly,Super Fertilizer,Super Fruit Fly
Fridge,Super Fertilizer,Plant
Garbage Truck,Super Fertilizer,Plant
Fruit Tree,Super Fertilizer,Super Fruit Tree
Frosting,Super Fertilizer,Cake
Super Fertilizer,Gale,Tornado
Super Fertilizer,Frat Party,Frat Party
Fulgurite,Super Fertilizer,Lightning
Super Fertilizer,Gas,Explosion
Ghost Ship,Super Fertilizer,Pirate Ship
Super Fertilizer,Glass Slipper,Cinderella
Super Fertilizer,Gator,Dinosaur
Gargoyle,Super Fertilizer,Plant
Geothermal Power Plant,Super Fertilizer,Plant
Glue,Super Fertilizer,Plant
Super Fertilizer,Gasoline,Explosion
Global Warming,Super Fertilizer,Super Weed
Super Fertilizer,Glowworm,Nothing
Giant Dandelion,Super Fertilizer,Nothing
Gate,Super Fertilizer,Garden
Garnet,Super Fertilizer,Carrot
Glasser,Super Fertilizer,Glasser
Great Wall Of China,Super Fertilizer,Great Wall Of China
