first,second,result
Sperm,Bomber,Nothing
Space Flower,Bomber,Alien
SpongeBob,Bomber,Patrick
Snowplow,Bomber,Snowblower
Sodium,Bomber,Sodabomber
Solar Dust,Bomber,Solar Flare
Stoned,Bomber,Nothing
Speed,Bomber,Jet
Steam Train,Bomber,Nothing
Swan,Bomber,Swan Lake
Steam Punk,Bomber,Steam Punk
Sundae,Bomber,Bombe Alaska
Sweat,Bomber,Nothing
Stonehenge,Bomber,Druid
Steam Dragon,Bomber,Steam Bomber
Steam Robot,Bomber,Steam Punk
Sunrise,Bomber,Sun
Sunami,Bomber,Tsunami
Surge,Bomber,Blast
Swamp Venus,Bomber,Swamp Thing
Tiamat,Bomber,Nothing
Stench,Bomber,Nothing
Time Travel,Bomber,Nothing
Tempest,Bomber,Tornado
Tornado Fish,Bomber,BOMB
Torch,Bomber,Fire
Toast,Bomber,Pop Tart
Tidal Wave,Bomber,Tsunami
Time Ship,Bomber,Nothing
Toad,Bomber,Frog
Tatooine,Bomber,Jabba
Tadpole,Bomber,Frog
Thor,Bomber,Thunder
Tomato,Bomber,Ketchup
Tutankhamun,Bomber,Nothing
Turtle,Bomber,Turtle
Vape,Bomber,Vaper
Treasure,Bomber,Pirate
Toxic Waste,Bomber,Nuclear Bomb
Treehouse,Bomber,Nothing
Thunderbird,Bomber,Thunder
Trash,Bomber,Nothing
Vapor,Bomber,Cloud
Twister,Bomber,Tornado
Valkyrie,Bomber,Warrior
Vesuvius,Bomber,Pompeii
Treasure Map,Bomber,Pirate
Tsunamic,Bomber,Tsunami
Witch,Bomber,Nothing
Wet,Bomber,Bomb
Whiskey,Bomber,Drunk
Virus,Bomber,Hacker
Wheel,Bomber,Car
Windsurfing,Bomber,Nothing
Triton,Bomber,Poseidon
Warmth,Bomber,Bomb
Vodka,Bomber,Nothing
Whistle,Bomber,Referee
Whirlpool,Bomber,Tornado
Wolf Pack,Bomber,B-52
Windshield,Bomber,Wreck
Wish Upon A Star,Bomber,Star Bomber
Zombie,Bomber,Nothing
Wormhole,Bomber,Time Travel
Africa,Bomber,Nothing
Zoo,Bomber,Nothing
Accident,Bomber,Nothing
Air,Bomber,Airplane
