first,second,result
Archipelago,Crayfish,Lobster
Beacon,Crayfish,Lobster
Barbecue,Crayfish,Lobster
Axe,Crayfish,Nothing
Black Hole,Crayfish,Crab
Crayfish,Beer,Crayfish
Bomb,Crayfish,Lobster
Broom,Crayfish,Mermaid
Bubbles,Crayfish,Sponge
Buddha,Crayfish,Crayfish
Bullet Train,Crayfish,Crayon
Candle,Crayfish,Lobster
Cannon,Crayfish,Lobster
Ceramic,Crayfish,Crayon
Canyon,Crayfish,Lobster
Carnivorous Plant,Crayfish,Crayfish
Chimney,Crayfish,Santa Claus
Clean,Crayfish,Crayon
Coconut,Crayfish,Crab
Crayfish,Compost,Crawfish
Cook,Crayfish,Crayfish
Crayfish,Coral Reef,Crayfish
Crayon,Crayfish,Crayfish
Crescent,Crayfish,Moon
Crocodile,Crayfish,Lobster
Crayfish,Dam,Nothing
Curtain,Crayfish,Lobster
Dandelion Wine,Crayfish,Nothing
Dinosaur,Crayfish,Lobster
Duck,Crayfish,Crayfish
Crayfish,Diamond Block,Nothing
Fairy,Crayfish,Mermaid
Field,Crayfish,Nothing
Fire Trap,Crayfish,Crayfish Trap
Catholic Church,Crayfish,Crawfish
Fire Station,Crayfish,Lobster
Firework,Crayfish,Lobster
Flamethrower,Crayfish,Lobster
Crayfish,Flour,Crawfish
Flame,Crayfish,Lobster
Crayfish,Crystal,Crayon
Furnace,Crayfish,Lobster
Flying,Crayfish,Crayfish
Genie,Crayfish,Lobster
Geothermal,Crayfish,Lobster
Frog,Crayfish,Crawfish
Geysers,Crayfish,Lobster
Ghost,Crayfish,Crayfish
Giant Venus Flytrap,Crayfish,Crayfish Trap
Golem,Crayfish,Crab
Grape,Crayfish,Wine
Hawaii,Crayfish,Crab
Helicopter,Crayfish,Nothing
Crayfish,Honeycomb,Crab
High,Crayfish,Crayfish
Jewel,Crayfish,Lobster
Hot Air Balloon,Crayfish,Crayfish Balloon
Hot Spring,Crayfish,Lobster
Kettle,Crayfish,Lobster
Jetpack,Crayfish,Nothing
Lily Pad,Crayfish,Crawfish
Crayfish,Life,Crayon
Crayfish,Komodo Dragon,Lobster
Lunar Eclipse,Crayfish,Lobster
Lotus Flower,Crayfish,Crayfish
Meade,Crayfish,Crayfish
Microscope,Crayfish,Crayfish
Meteor,Crayfish,Asteroid
Mirror,Crayfish,Crab
Milky Way,Crayfish,Crab Nebula
Nile,Crayfish,Egypt
Nymph,Crayfish,Mermaid
Crayfish,Palm,Crab
Ozymandias,Crayfish,Crayfish
Onyx,Crayfish,Crab
Park,Crayfish,Crayon
Party,Crayfish,Nothing
Pig,Crayfish,Pork
Penguin,Crayfish,Penguin
Magnifying Glass,Crayfish,Lobster
Plane,Crayfish,Crayon
Pirate,Crayfish,Crayfish
Pollution,Crayfish,Crab
Poseidon,Crayfish,Mermaid
Quagmire,Crayfish,Crawfish
Popcorn,Crayfish,Lobster
Pompeii,Crayfish,Lobster
Crayfish,Racecar,Crayon
Rainforest,Crayfish,Crayfish
Reef,Crayfish,Lobster
Ring,Crayfish,Nothing
Crayfish,Saguaro,Cactus
Salamander,Crayfish,Dragon
Sarcophagus,Crayfish,Mummy
Saturn,Crayfish,Crab
Sauna,Crayfish,Lobster
Scent,Crayfish,Perfume
Shatter,Crayfish,Lobster
Sea Monster,Crayfish,Cthulhu
Crayfish,Shipwreck,Crab
Sky,Crayfish,Moon
Sneeze,Crayfish,Crayfish
Smoker,Crayfish,Lobster
Snowball,Crayfish,Snowman
Crayfish,Snowmobile,Lobster
Solar Wind,Crayfish,Nothing
Snowstorm,Crayfish,Lobster
Space Station,Crayfish,Nothing
Spirit,Crayfish,Crayfish
Sphinx,Crayfish,Cryptid
Subway,Crayfish,Lobster
Stew,Crayfish,Crawfish
Crayfish,Steam Turbine,Nuclear Power Plant
Sponge,Crayfish,Lobster
Sunset,Crayfish,Lobster
Super Volcano,Crayfish,Lobster
Tanker,Crayfish,Lobster
Supernova,Crayfish,Lobster
Tea Party,Crayfish,Lobster
Thunderstorm,Crayfish,Lobster
Crayfish,Tire,Crab
Toadstool,Crayfish,Crayfish
Tomb,Crayfish,Mummy
Truck,Crayfish,Crayon
Tumbleweed,Crayfish,Crawfish
UFO,Crayfish,Alien
Venus,Crayfish,Crayfish
Universe,Crayfish,Crab
Village,Crayfish,Nothing
Weather,Crayfish,Rain
Wind Turbine,Crayfish,Windmill
Winery,Crayfish,Nothing
Wolf,Crayfish,Lobo
Yeti,Crayfish,Crab
420,Crayfish,420crayfish
Prickly Pear,Crayfish,Cactus
Abominable Snowman,Crayfish,Yeti Crab
Tractor Beam,Crayfish,Crayon
Ammonite,Crayfish,Trilobite
Alps,Crayfish,Switzerland
Amphora,Crayfish,Sushi
America,Crayfish,Crayfish
Crayfish,Amoeba,Nothing
Apple Tree,Crayfish,Crab Apple
Ant,Crayfish,Antcrayfish
Ariel,Crayfish,Mermaid
Art,Crayfish,Crayon
Aphrodite,Crayfish,Love
Asia,Crayfish,Crayfish
Audrey II,Crayfish,Little Shop Of Horrors
Aztec,Crayfish,Crayfish
Bacon,Crayfish,Lobster
Crayfish,Bacteria,Lobster
Bat,Crayfish,Vampire
Baptism,Crayfish,Lobster
Crayfish,Bear,Crab
Beehive,Crayfish,Honey
Crayfish,Big Bang,Lobster
Big Dipper,Crayfish,Crab
Black,Crayfish,Crayon
Crayfish,Bob Marley,Crab
Barley,Crayfish,Beer
Battleship,Crayfish,Crab
Boiling Frog,Crayfish,Lobster
Bonsai,Crayfish,Crayon
Balsamic Vinegar,Crayfish,Shrimp
Bread,Crayfish,Crayfish
Crayfish,Breeze,Wind
