first,second,result
Japan,Apple Pie,Apple Pie
Japan,Apple Tree,Apple
Aphrodite,Japan,Geisha
Aspirin,Japan,Tokyo
Bacon,Japan,Sushi
Astronaut,Japan,Samurai
Japan,Bacteria,Sushi
Bait,Japan,Sushi
Balsamic Vinegar,Japan,Sushi
Barley,Japan,Sake
Baptism,Japan,Shinto
Japan,Bat,Ninja
Big Dipper,Japan,Ramen
Beach House,Japan,Tsunami
Beehive,Japan,Kawaii
Japan,Bear,Sumo
Beef Bourguignon,Japan,Sukiyaki
Birthday,Japan,Sushi
Bob Marley,Japan,Bob Marley
Boiling Frog,Japan,Sushi
Bonfire,Japan,Yokai
Japan,Blood,Samurai
Bonsai,Japan,Zen
Bottle Rocket,Japan,Godzilla
Japan,Bread,Sushi
Brandy,Japan,Sake
Broomstick,Japan,Witch
Bridge,Japan,Tokyo
Brew,Japan,Sake
Breeze,Japan,Typhoon
Broken,Japan,Earthquake
Bubble,Japan,Sushi
Japan,Cave,Ninja
Carrot,Japan,Sushi
Japan,Canal,Panama
Canoe,Japan,Sumo
Champagne,Japan,Sake
Chicken,Japan,Sushi
Chia,Japan,Bonsai
Chili,Japan,Wasabi
Cinderella,Japan,Geisha
Japan,Church,Shinto
Cider,Japan,Sake
Christmas,Japan,Santa Claus
Cigar Box,Japan,Godzilla
Japan,City,Tokyo
Clouds,Japan,Mt. Fuji
Clock,Japan,Tokyo
Japan,Clockwork,Samurai
Coconut Milk,Japan,Sake
Japan,Coconut Tree,Samurai
Japan,Confetti,Cherry Blossom
Curiosity,Japan,Anime
Crown,Japan,Samurai
Devil,Japan,Anime
Cyborg,Japan,Gundam
Dating,Japan,Geisha
Japan,Dandelion Tea,Matcha
Dead Sea,Japan,Tokyo
Japan,Dracula,Vampire
Doom,Japan,Godzilla
Duck and Cover,Japan,Godzilla
Japan,Dog,Akita
Dryad,Japan,Bonsai
Japan,Duckweed,Koi
Dust Trap,Japan,Godzilla
Dustpan,Japan,Ninja
Dust Bunny,Japan,Godzilla
Dutch,Japan,Windmill
Emulsion,Japan,Anime
Egg,Japan,Tamago
Egypt,Japan,Mummy
Electric Eel,Japan,Pokemon
Japan,Enlightenment,Zen
Eraser,Japan,Origami
Japan,Everest,Mount Fuji
Japan,Eyjafjallajökull,Tsunami
Fanboy,Japan,Otaku
Farmer,Japan,Samurai
Fenghuang,Japan,Phoenix
Fire Balloon,Japan,Hiroshima
Fire Breathing Dragon,Japan,Godzilla
Fire Swamp,Japan,Godzilla
Japan,Fire Truck,Godzilla
Firefighter,Japan,Sumo
Firefly,Japan,Samurai
Fire Train,Japan,Bullet Train
Firewater,Japan,Sake
Firewood,Japan,Sushi
Flock,Japan,Sushi
Flint,Japan,Katana
Flying Car,Japan,Anime
Japan,Flying Pig,Kamikaze
Japan,Flying Dust,Kamikaze
Japan,Flying Starfish,Godzilla
Flying Sushi,Japan,Kamikaze
Fragrance,Japan,Geisha
Japan,Fortress,Samurai
Fuel,Japan,Godzilla
Foggy Ghost,Japan,Godzilla
Fountain,Japan,Geisha
Japan,Galileo,Samurai
Japan,Fungus,Mushroom
Fungi,Japan,Mushroom
Garage,Japan,Toyota
Garlic,Japan,Vampire
Google,Japan,Nothing
Japan,Geothermal Plant,Fukushima
Japan,Gnome,Ninja
Goose,Japan,Sushi
Grapevine,Japan,Sake
Greenland,Japan,Greenland
Great Wall of China,Japan,China Town
Hay,Japan,Rice
Japan,Grill,Yakitori
Head,Japan,Samurai
Himalayas,Japan,Mount Fuji
Hellhound,Japan,Akita
Hive,Japan,Samurai
Japan,Holy Grail,Samurai
Hops,Japan,Sake
Hot Fudge,Japan,Sushi
Japan,Ice Cream Cone,Sushi
Holy Spirit,Japan,Anime
Japan,Jesus,Anime
Iron,Japan,Samurai
Jet Ski,Japan,Sumo
Inquisition,Japan,Seppuku
Ivy,Japan,Ninja
Joint,Japan,Sushi
Japan,Knight,Samurai
Jupiter,Japan,Manga
Ketchup,Japan,Sushi
Kraken,Japan,Godzilla
Krakken,Japan,Godzilla
Landfill,Japan,Tokyo
Lagoon,Japan,Tokyo
Landing,Japan,Moon
Library,Japan,Manga
Japan,Lawn,Bonsai
Laser,Japan,Godzilla
