first,second,result
Snowpocalypse,Tornado Train,Snowpocalypse
Black Sand,Hops,Beer
Jack-o-Lantern,Bubble,Ghost
Mud Pie,Medicine,Dirt
Flat Stone,Surfing Station,Surfboard
Pigcasso,Io,Pig
Factory,Fraticane,Fratricide
Flint,Ewok Village,Fire
Limburger,Plantigator,Stinky
Human,Christianity,Jesus
Iceland,Bulldozer,Greenland
Frost,Hangtsunami,Iceberg
Shark,B-52,Megalodon
Star Whale,Crescent,Moon
Watermelon,Lot’s Wife,Salt
Pie,Skydive,Parachute
Giant Mushroom,Soda,Mario
Wolf Pack,Sandnado,Dust Storm
Carnivorous Plant,Cactuar,Venus Flytrap
Dusttopus,Bong,Dustbong
Cheese,Prickle,Cactus
Flower,Ducktor,Daisy
Kraken,UFO,Alien
Ent,Fjord,Ent
Fire Axe,Palace,Fireplace
Lawn Rocket,Toxic,Lawnmower
Ultra,Flying Car,Flying Car
Platform,Kingdom,Castle
Foghorn,Sandman,Lighthouse
Space Fish,Bride,Mermaid
Sharkicane,Prawn,Shark
Seagull,Syrup,Nothing
Baby Polar Bear,Niagara Falls,Baby Polar Bear
Sand Dandelion,Everest,Mountain
Dump Truck,Tazmanian Devil,Road Rage
Lunatic,Flying Herd,Flying Circus
Space Farm,Peach Cobbler,Peach Cobbler
Blood Moon,China,Vampire
Statue of Liberty,Shark Chef,Chef
Dough,Rat,Pizza
Vinaigrette,Fire Flower,Fire Salad
Carnivore,Blood,Vampire
Landfill,Fire Ski,Volcano
Tequila,Monster,Party
Steam Jetpack,Egg,Bird
Tankini,Ham,Hamtini
Shooting,Bricks,Bullet
Steam Surfing,Kingdom,Steam Kingdom
Swine,Wreck,Pig
Mud Station,Tatooine,Mos Eisley
Fire Water,Solar Car,Steam Car
Wand,Autumn,Leaf
Brick,Newton,Apple
Dirt,Dandelion House,Flower
Fragrance,Hula,Lei
Burnt Toast,Eurasia,Europe
Galileo,Comic,Nothing
Princess,Flat Obsidian,Mirror
Rocky Mountain Range,Liberty Bell,America
Tornado Castle,Steam Phoenix,Tornado Phoenix
Pudding,Swan Boat,Swan
Black Hole,Silicon,Computer
Carnivorous Christmas Tree,Farmer,Christmas Tree
Fire Extinguisher,Drunker,Fireman
Snow Apple,Tadpole,Snowman
Yin Yang,Prickle,Cactus
Space Goat,Cow,Alien
Compass,Holy Dandelion,North
Super Steam,Ugly Duckling,Swan
Mountain Thing,Moth,Mothra
Cheesy Wave,Horse,Unicorn
Sun,Amusement Park,Roller Coaster
Sand Surfing,Air Force,Sandstorm
Time Machine,Fire Venus Flytrap,Plant
Goat,Peacock,Goatpeacock
Vulture,King Tut,Mummy
Wiper,Smile,Grin
Confession,Silt,Mud
Michael,Snow Bush,Snowman
Jonah and the Whale,Hot,Nothing
Vinegar,Snowjet,Snowman
Cool,Chlorine,Pool
Life,Stool,Chair
Airplane,Gator,Crocodile
Obstacle,Gumbo,Gumboat
Sunshine,Flying Fisherman,Sunfish
Whirlpool,Boston Tea Party,Tea Cup
Big Dipper,Zeppelin,Led Zeppelin
Dust Island,Mud Storm,Tornado
Shuriken,Rover,Ninja
Vine,Nimbus,Grape
Lily Wine,Carp,Sake
Avalanchup,Colorado,Avalanche
Antelope,Sand Trap,Golf
Pharaoh,Tankini,Cleopatra
Astronomy,Rainbow Trout,Starfish
Fjord,Warrior,Viking
Nuclear Submarine,Killer Whale,Orca
Prism,Subtank,Rainbow
Eye of Ra,Starfish,Poseidon
Garage,Shaman,Car
Tornado Siren,Apocalypse,Tornado
Burglar,Sulfur,Thief
Megalodon,Rat,Shark
Super Mud,Fridge,Super Mud
Yellow Steam Car,Depth,Submarine
Yellowstone,Halo,Old Faithful
Tile,Brontosaurus,Dinosaur
Snot,Cucumber,Pickle
Fog Cake,Steam Monster,Fog Monster
Sultana,Brontosaurus,Brontosaurus
Sushi Roll,Pot of Gold,Sushi
Energy,Pisces,Fish
Race,Tea Set,Tea Party
Quagmire,Dawn,Swamp
Super Death Star,Pigboat,Pigboat
Snowpocalypse,Fireboat,Fireboat
Greatsword,Cigarette,Cloud
Drink,Knife,Cocktail
Were-Sea Serpent,Moonshine,Were-sea Serpent
Wrinkle,Pitch,Witch
Mount Rushmore,Escape,Lincoln
Bob Marley,Coconut Milkshake,Bob Marley Milkshake
Paint,Black Hole,Black Paint
Gorgon,Paperboard,Box
Parachute,Emulsion,Parachute
Popcorn,Slate,Movie
Rocky Mountains,Hyena,Rocky Mountain Hyena
Ireland,Mudnado,Shamrock
Arrowhead,Battleaxe,Tomahawk
Flowers,Pteranodon Egg,Pteranodon
Jewelry,Jail,Thief
Bullet,Titan,Titanic
Space Cactus,Wolf Pack,Space Wolf
Sunlight,Fire Tree,Fire
Asthma,Oslo,Astro
Castle in the Sky,Swamp Buggy,Castle In The Swamp
Charizard,Barbecue,Charcoal
Pumice,Muddy Helicopter,Volcano
Glue,Dirt,Mud
Watercolor,Pilot,Painter
Witch Hut,Swamp Buggy,Witch
Zookeeper,Cannonball,Zoo
Shipwreck,Sea Bush,Pirate
USA,Steam Train,Steamboat
Mountain Vine,Muddy Viking,Mountain Dew
Krakken,Space Cow,Space Cow
Stoned,Pork Chop Express,Big Trouble in Little China
Iron,Rainbow Trout,Steelhead
Teapot,Checkmate,Chess
March,Crane,Parade
Cedar,Mosasaurus,Noah
Swine,Skydiver,Pig
Steamboat Willie,Plow,Steamboat
Steampunk Glasses,Balloon,Airship
Brine,Quack,Salt
Mark Twain,Drown,Tom Sawyer
Scarecrow,Fruit Tree,Apple
Secret,Apollo,Apollo 11
Chef,Moonlander,Cook
Razor,Hoover Dam,Laser
Sake Bomb,Gale,Hurricane
Frog Legs,Flying Fisherman,Flying Frog
Steamboat Willie,Burning Zeppelin,Steamboat Willie
Alcoholic,Crystal,Drunk
Candle,Garbage Truck,Fire Truck
Space Flower,Idol,Space Idol
Road Trip,Plane,Vacation
Teavillage,Crops,Tea
Sailing,Exile,Pirate
Bjork,Salad Dressing,Icelandic Dressing
Fault,Mumtrap,Earthquake
Steam Tide,Baaang,Steam Tide
Gasoline,Flower Shop,Fire
King Arthur,Cactus Flytrap,Lancelot
Time Tractor,Dragon Trap,Time Trap
Witch Hunt,Hayfever,Witch Hunt
Milkshake,Tea Tree,Tea
Bat,Fragrance,Vampire
New York,Ash,Empire State Building
Painting,Thong,Art
Grand Daddy Purple,Battle Axe,Axe
Mosquito,Shock,Lightning
Earth,Nether Star,Beacon
Steam Train,Sea Race,Steamboat
Budweiser,Dandelion Roll,Beer
High,Ewok,Stoned
Dump,Inquisition,Trash
