first,second,result
Drunken Dragon,Smell,Breath
Lawn,Fridge,Lawnmower
Fence,Paint,Graffiti
Flame,Firework,Firework
Light Bulb,Sand Shark,Sharknado
Pizza,Adobe,Brick
Dune,Plane,Sand
Party,Metropolis,Las Vegas
Holy Lake,High,Tiberias
Yard,House,Garden
America,Tux,Uncle Sam
Dandelion Wine,Candle,Dandelion
Chicken,Alien,Egg
Photoshop,Chai,Nothing
Leaf,Hanglider,Kite
Flower,Tinkerbell,Fairy
Solar Storm,Cactus,Sun
Treehouse,Potash,Nothing
Smurf,Snowplow,Smurfette
Moses,Rabbit,Hares
Mars,Cider,Apple
Holy Spirit,Crayon,Creation
Jewelry,Mountain,Diamond
Nebula,Hot Tea,Starbucks
Unicorn,Fire Balloon,Dragon
Wasabi,Dust,Sneeze
Dandelion Wine,Tesla Tower,Lightning
Vortex,Mountain Dew,Mountain Dew Voltage
Tide,Brew,Beer
Cactus,Sodium,Salsa
Surfing,Tomato,Ketchup
Crop Circle,Jetea,Crop Circle
Cruise,UFO,Alien
Ozymandias,Titanic,Titanic
Flint,Fire Trap,Fire
Flour,Pepper,Bread
Pancake,Lamp,Genie
Audrey II,Hourglass,Little Shop Of Horrors
Cthulhu,Canal,Cthulhu
Chess,Boat,Knight
Car,Hair,Wig
Beacon,Poseidon,Lighthouse
Crayonado,Log,Nothing
Seed,High,Tree
Train Station,Pluto,Hades
Igloo,Atlantis,Penguin
Carnival,Bonsai,Tree
Tortoise,Hot Air Balloon,Turtle
Statue,Monster,Gargoyle
Ship,Hangover,Pirate
Beer,Chia,Chia Pet
Soggy,Wasabi,Sushi
Weed,Storm,Bong
Hermit,America,Trump
Audrey II,Head,Plant
Bong,Flat,Nothing
Torch,Galileo,Telescope
Fishstick,Ninja,Sushi
Ice Cream Cone,Dyson,Ice Cream Cone
Africa,Muddy Wine,Tannin
Steam Tree,Golem,Steam Golem
Seed,Hourglass,Plant
Wolfsbane,Poseidon,Werewolf
Train Station,Rose,Platform
Pipe,Africa,Hookah
Firebird,Wood,Phoenix
Cow,Steam Egg,Nothing
Hell,Light,Lucifer
Seagull,Quagmire,Squawk
Thunderbird,Sausage,Zeus
Oil,Ash,Soot
Mushroom,Buddha,Enlightenment
Farmer,War,Soldier
Adam,Bible,Eve
Sea Star,Sunrise,Mermaid
Muddy,Oxygen,Dirty
Firefly,Snow Cone,Firework
Whale,Milky Way,Milky Way
Dandelion,Mountain Dew,Mountain Dew
Flying Cow,Match,Fire Cow
Snowman,Tomb,Yeti
Disaster,Coral Reef,Coral
Titanic,Boulder,Iceberg
Sandstone,Aspirin,Stonehenge
Fishing Pole,Devil,Demon
Bee,Match,Fire
Evil,Aquarium,Shark
Mermaid,Teapot,Tea
Perfume,Coal,Diamond
Ant,Shatter,Antman
Salamander,Niagara Falls,Waterfall
Laser,Plantation,Crop Circle
Jungle,Hourglass,Tarzan
Vapor,Onyx,Smoke
Dustnado,Snowball,Snowman
Wet,Crayon,Watercolor
Flying Sushi,Leviathan,Sushi Dragon
Stone,Dust Bunny,Rock
Breeze,Zeus,Thunder
Oxygen,Lost,Lost
Catholic Church,Amber,Pope
Lotus,Buddha,Enlightenment
Coconut Tree,Tar,Palm Tree
Rice,Leda,Sushi
Anchor,Blueprint,Ship
Geyser,Bullet,Volcano
Mirror,Dustpan,Vacuum
Lighthouse,Marijuana,High
Ice Tea,Clockpunk,Nothing
Orca,Lily Pad,Whale
Hot Fudge,Pumpkin,Pie
Incense,Drain,Perfume
Terrorist,Honey,Bee
Kelp,Dinner,Seaweed
Lunar,Flock,Moon
Seed,Frog,Tadpole
Head,Garlic,Vampire
Lake,Chicken,Swan
Vineyard,Tidal Wave,Wine
Bullet Train,Iron,Tank
Burger,Pot,Hamburger
Canal,Lunar,Moon
Seaweed,Head,Squid
Sunrise,Land,Sunflower
Dust,Fan,Dust Storm
Landing,Mud Station,Pig
System,Vine,Internet
Rain,Smile,Rainbow
Beach,Village,Resort
Fire Train,Snowstorm,Snow Train
Universe,Ragnarok,Big Bang
Genie,Odin,Zeus
Amber,Hangar,Dinosaur
Plow,Nessie,Tractor
Dust,Rice Krispies,Snap
Crack,Palm Tree,Coconut
Altar,Cave,Temple
Fire Truck,Snowplow,Fireplow
Flying Spaghetti Monster,Moonshine,Flying Drunken Monster
Ceramic,Fire Train,Pottery
Thor,Gondola,Viking
Dandelion Patch,Wood,Wish
Tobacco,Amphora,Pipe
Snowstorm,Fire,Snowman
Snowboarder,Snapper,Snowman
Diamond Block,Palm Tree,Coconut
Shrimp,Thunder,Shrimp
Kraken,Lens,Microscope
Dandelion,Chicken,Rooster
Burger,Tobacco,Smoke
Bottle,Flint,Fire
Crayon,Moby Dick,Whale
Steam Rocket,Tank,Steam Tank
Cook,Space Train,Chef
Tugboat,Iron,Anchor
China,Sail,Junk
Christmas Tree,Universe,Christmas
Temple,Snowstorm,Abominable Snowman
Soggy,Bong,Bongos
Skull,Krakken,Pirate
Flying Fish,Catholic Church,Pope
Steam Robot,Canyon,Steamboat
Omelette,Crayon,Nothing
Demon,Fairy,Angel
Rock,Rocket,Meteor
Marijuana,Blood,Vampire
Ruin,Omelette,Omelette
Race,Energy,Marathon
Loch,Sweat,Nessie
Swamp,Whale,Loch Ness Monster
Solar,Transformer,Sun
Sea Star,Cannonball,Cannon
Allergy,Amphibious Car,Amphibious Car
Tux,Aeon,Time
Chicken of the Sea,Match,Tuna
Fortress,Shatter,Ruins
Statue of Liberty,Blueprint,Liberty Bell
Glass,Snowstorm,Snowglobe
Supernova,Cigar,Black Hole
Snow Shark,Sharknado,Snownado
Dessert,Steam Ship,Ice Cream
Fault,Cough Syrup,Earthquake
Eagle,Kraken,Poseidon
Elf,Train Station,Hobbit
Niagara Falls,Space Shuttle,Waterfall
Singularity,Princess,Black Hole
Wet,Carnivorous Plant,Venus Flytrap
Nebula,Raft,Space
Hay,Flying,Haywire
Mountain Dewshine,Wall,Mountain Dew
Niagara Falls,Hole,Whirlpool
Fan,Katana,Samurai
Star,Moses,Star of David
Seeds,Drunk,Drunken
Confetti,Soil,Dirt
Santa Claus,Pirate,Captain Hook
Muddy Water,Piston,Pudding
Magma,Mead,Volcano
Palace,Fart,Flatulence
Broom,Snow,Snowman
Beer,Sweat,Alcohol
Blade,Ice Tea,Sword
Tuxedo,Choo Choo,Conductor
Witch,Mountain Dew,Mountain Witch
Diamond,Cruise,Titanic
Train,Gargoyle,Nothing
Garlic,Longsword,Vampire
Vulcan,Kettle,Volcano
Bouquet,Wolfsbane,Poison
Santa,Bottle,Milk
Wall,Vineyard,Wine
Apple,Papyrus,Book
Sandblaster,Cigar,Nothing
Pottery,Smoker,Pipe
Rings,Geothermal,Saturn
Vacation,Fire Storm,Volcano
Crayonado,Fire Breath,Fire Crayon
Orca,Wind Farm,Killer Whale
Snow Shark,Baconator,Baconator
Moonshine,Ice Cream,Nothing
Food,Dutch,Cheese
Flying,Snowflake,Snowman
Wish,Time Travel,Paradox
Hourglass,Rainbow Trout,Time
Ice Skate,Wind Farm,Wind Turbine
Fungi,Pegasus,Unicorn
Firebird,Sunrise,Phoenix
Pinecone,Dandelion Patch,Seed
Honey,Light Bulb,Bee
Blood,Tesla Tower,Vampire
Ozymandias,Town,Ruins
Transformer,Cannon,Megatron
Ninja,Hourglass,Time
Eraser,Mt. Everest,Nothing
Hole,Dustnado,Dust
Resin,Mountain Range,Amber
Toast,Seaplane,Butter
Wax,Galileo,Candle
Plesiosaur,Gift,Present
Dandelion Patch,Smog,Pollution
Snow,Rainbow,Rain
Fish Tank,Cotton,Aquarium
Bullet Train,Snowglobe,Snowpiercer
Mead,Airplane,Honey
Alligator,Trawler,Crocodile
Bjork,Terrorist,Iceland
Cobra,Ring,King
Fire Cone,Himalayas,Nothing
Snapper,Boat,Fishing
Firewood,Snowboarder,Fireman
Cotton,Brandy,Cigar
Waterfall,Pterodactyl,Pterodactyl
Luna,Art,Moon
Shield,Fish,Poseidon
Home,Resin,Honey
Fortress,Canal,Castle
Rose,Continent,Europe
Calendar,Religion,Easter
Windmill,Fungi,Mushroom
Train,Sandtrap,Crash
Land,Space Plant,Alien
Crop Circle,Sandstone,Stonehenge
Flour,Ship,Bread
Popcorn,Ninja,Popcorn
Bush,Fire Station,Fire
War,Hot Chocolate,Hot War
Plantea,Fault,Earthquake
Orca,Village,Whale
Fish,Norway,Salmon
Holy Spirit,Steam,Steam Engine
Smell,Cleaner,Fresh
Jewel,New York,Empire State Building
Boom,Excalibur,King Arthur
Captain Nemo,Cannabis,Captain High
Titanado,Fire Balloon,Titan
Firework,Dragon Egg,Dragon
Venus Flytrap,David,David Bowie
Swan,Surf,Swan
Fog,Dragonfly,Mist
Grand Canyon,Sunflower,Arizona
Furnace,Lizard,Dragon
Hourglass,Rabbit,Time
Emulsion,Adobe,Photoshop
Pegasus,Plow,Seed
Pteranodon,Steam,Steampunk
Katana,Lily,Samurai
Vinegar,Sponge,Clean
Humpback,Firework,Whale
Fire Swamp,Port,Nothing
Pig,Black Hole,Pork
Snake,Mushroom,Toad
Fanatic,Captain Nemo,Nautilus
Steam Punk,Lost,Steampunk
Snowman,Solar Wind,Snowflake
Space Flower,Gem,Diamond
Snake,Chai,Tea
Helicopter,Barbecue,Fire
Vesuvius,Drunk,Pompeii
Dandelion,Swamp Venus,Flower
Mead,Race Car,Chariot
Soup,Muddy Train,Muddy Train
Leaf,Ghost,Tree
Stoner,Solar Panel,Electricity
Algae,Rust,Seaweed
Geothermal,Lens,Volcano
Aurora,Vampire,Twilight
Cactus,Crescent,Moon
Egg,Jesus,Easter
Castle,Jupiter,Zeus
Microscope,Toga,Scientist
Breeze,Hanglider,Kite
Church,Tsunamic,Tsunamic
Big Bang,Meade,Beer
Muddy Sushi,Mech,Muddy Mech
Flying Saucer,Crop,Crop Circle
Snowball,Clay,Snowman
Future,Chocolate Milk,Chocolate Milk
Triton,Resin,Amber
Photonado,Ferry,Nothing
Mudnado,Plant,Swamp
Pudding,Puddle,Mud
Calamari,Forest,Squid
Dandelion Wine,Sand,Glass
Geothermal,Potter,Voldemort
Sand,Fondue,Glass
Flying Frog,Steamship,Airship
Green,Captain,Hulk
Popcorn,Sneeze,Popcorn
Steam Robot,Clean,Cleaning Robot
Venus,Transportation,Spaceship
Glasses,Coral,Nerd
Onyx,Zeppelin,Black
Ring,Rubber,Tire
Solar Wind,Fire Breath,Solar Flare
Drink,Fire,Alcohol
Poseidon,Mouse,Mickey Mouse
Flood,Apple Pie,Apple Pie
Candle,Jet,Rocket
Fruit,Firebird,Phoenix
Stench,Sandcastle,Stink
Speed,Fire Truck,Fire
Seaweed,Sandalwood,Sushi
Krakken,Wall,Atlantis
Dragon Tornado,Cake,Tornado
Future,Sacrifice,Progress
Bong,Tao,Yin Yang
Yacht,Niagara Falls,Maid of the Mist
Sacrifice,Shard,Blood
Berserker,Robot,Terminator
Nessie,Disaster,Loch Ness Monster
Carrot,Broom,Witch
Time Paradox,Snowtrain,Time Train
Pelican,Troll,Pelitroll
Mountain Tsunami,Wine,Volcano
Grass,Muddy Water,Swamp
Cigar,Steam Engine,Train
Clockwork,Tea Plantation,Tea
Ghost Train,Ashes,Ghost
Glasses,Cleaner,Cleaner
Pelican,Leaf,Albatross
Titanic,Saint,Iceberg
Fireworks,Flower,Fire Flower
Mirage,Submarine,Squid
Plant,Sarcophagus,Mummy
Vase,Money Tree,Piggy Bank
Flood,Prometheus,Epimetheus
Trainwreck,Space Plant,Space Trainwreck
Greenland,Steam Engine,Train
Ice Fishing,Troll,Fish
Beer,Plant,Hops
Furnace,Eruption,Volcano
Fire Whirl,Lightning,Fire
Frost,Window,Frosty Window
Mountain High,Garage,Nothing
Sandblast,Seaplane,Sand
Bullet Train,Golem,Golem Train
Cigar,Station,Train
Flying Saucer,Snow,UFO
Super Volcano,Fire Flower,Super Mario
Cleaner,Incense,Monk
Wet,Sea,Ocean
Tremor,Sun,Earthquake
Vine,Meteor,Grape
Lily Pad,Bottle,Frog
Helicopter,Art,Artist
Crop Circle,Cigar,Alien
Window,Tesla,Electricity
Tumbleweed,Blizzard,Snowman
Captain,Tidal Wave,Tsunami
Ninja,Lotus,Koi
Island,Audrey II,Little Shop Of Horrors
Flowerpot,Bacon,Pig
Painting,Glacier,Iceberg
Submarine,Church,Submarine
Paddle,Turtle,Surfboard
Honey,Odin,Mead
Buddha,Compass,Monk
Lily Flytrap,Brick,Venus Flytrap
Dynamite,Soil,Volcano
Pollen,Shrimp,Allergy
Rock,Petrol,Oil
Steampunk Pirate,Space Fish,Space Pirate
Jetstream,Crop Duster,Tornado
Eraser,Hurricane,Tornado
Dandelion Patch,Paradise,Dandelion
Leda,Time Travel,Swan
Chimney,Palm,Smoke
Dwarf,Mount Everest,Sherpa
Squid,Stoner,Squidward
Honeycomb,Christmas Tree,Beehive
Fire Swamp,Lamp,Genie
Sea,Minecart,Submarine
Crayon,Muddy Sushi,Muddy Crayon
Raft,Star Wars,Millennium Falcon
Wind Turbine,Lightning,Electricity
Multiverse,Sandstorm,Sand
Cigarette,Tsunamas Tree,Nothing
House,Canal,Venice
Venus Flytrap,Fireball,Fire Flower
Dryad,Steam Robot,Steam Dryad
Tobacco,Taz,Smoke
Ruins,Ape,Monkey
Pinecone,Fisherman,Pineapple
Cleaner,Don Quixote,Sancho Panza
Nile,Metal,Pyramid
Brontosaurus,Tobacco,Cigarette
Rock,Rubble,Stone
Plesiosaur,Palace,Poseidon
Lunar,Eruption,Moon
Dionysus,Ironman,Tony Stark
Pompeii,America,Pompeii
Palm Tree,Missile,Coconut
Piggy,Tomb,Mummy
Exile,Lily Shark,Lily Shark
Aeolus,Tablet,Wind
Axe,Christmas,Tree
Space Plant,Crescent,Moon
Sea,Catholic Church,Pope
Michelangelo,Iced Tea,David
Party,Mower,Lawn Party
Dandelion Wine,Genie,Wish
Date,Titanic,Iceberg
Head,Human,Body
Water,Thorn,Rose
Love,Bread,Sandwich
Krakatoa,Piggyback,Volcano
Rain,Jaws,Shark
Camera,Sneeze,Photo
Glacier,Seagull,Penguin
Hurricane,Helicopter,Tornado
Lightning,Time Paradox,Time Travel
Surfer,Steam Rocket,Surfing
Moonflower,Flower,Moon
Mercury,Fire Tornado,Fire Tornado
Ice Cream,Sea Dragon,Sea Monster
Ghost,Pinecone,Christmas
Tuxedo,Corn,Cornelius
Drawing,Genie,Artist
Popsicle,Tomb,Mummy
Diamond Block,Fertilizer,Diamond
Stench,Brontosaurus,Dinosaur
Subway,Rhea,Rhea Perlman
Monster Truck,Steamwolf,Steamwolf
Fisherman,Ring,Lord of the Rings
Pirate,Fog,Ghost
Dustbin,Dust Devil,Dust
Piggy Bank,Dryad,Money Tree
Glacier,Ashes,Ice
Choo Choo,Milky Way,Milky Way
Astronaut,Lost,Alien
Flamethrower,Choo Choo,Train
Whale,Steam Egg,Sperm Whale
Fire Dance,Surf,Fire Surf
Fertilizer,Pizza,Plant
Snow Plow,Ice,Snow Cone
Hurricane,Vaporizer,Bong
Eden,Rings,Garden
Big Dipper,Devil,Satan
Sun,Elf,Vampire
Pigpen,Energy,Pig
Spirit,Steampunk,Ghost
Amber,Starfish,Fossil
Fragrance,Village,Perfume
Nessie,Cotton Candy,Loch Ness Monster
Iron,Honey,Steel
Exhaust,Dust,Pollution
Mole,Periscope,Spy
Zombie,Steam Robot,Steam Zombie
Toadstool,Dynamite,Mushroom
Solar Wind,Fan,Solar Sail
Meteor Shower,Monk,Buddha
Cannon,Smore,S’more
Cactus,Gem,Opal
Ashes,Perfume,Cologne
Space Farm,Solar Flare,Sunflower
Lunar Eclipse,Rain,Blood Moon
Dutch,Broken Window,Tulip
Dust Devil,Color,Rainbow
Cinder,Vine,Wine
Crescent,Wind Farm,Moon
Crayfish,Supervolcano,Cthulhu
Tunnel,Statue of Liberty,Lincoln Tunnel
Sandbox,Bait,Trap
Fireworks,Cinder,Fire
Snowboard,Planet,Pluto
Mead,Galileo,Hangover
Milkshake,Starship,Milky Way
Hot Spring,Titan,Titanic
Djinn,Campfire,Genie
Fighter,Tea Bag,Tea Bag
Treehouse,Kite,Tree
Mud Station,Tar,Pitch
Vase,Carnivore,Venus
Chai,Chai,Tea
Universe,Blowhole,Black Hole
Swamp Thing,Emperor,Swamp Emperor
Acid Rain,Thorn,Rose
Plantation,Fridge,Plant
Vacation,America,Canada
Pill,Amber,Medicine
Planet,Gas,Sun
Trump,Palm Tree,Trump
Snowpiercer,Comet,Snowpiercer
Blind,Smell,Nose
Big Bang,Statue of Liberty,God
Nautilus,Meteor Shower,Ammonite
Steam Turbine,Brandy,Steam Engine
Amoeba,Saturn,Amoeba
Chimney,Avalanche,Santa
USA,Pickle,Pickle Rick
Snowball,Odin,Snowman
Brine,Launch,Salt
Tux,Solar Flare,Prom
Flower,Rainforest,Amazon
Clean,Solar Wind,Solar Panel
Vaporizer,Hay Fever,Steam
Prometheus,Clay,Man
Kiln,Toadstool,Mushroom
Star,Rust,Iron
Stew,Dandelion,Soup
Pencil,Sandboarding,Sand Art
Aeolus,Tomato,Ketchup
Fireplace,Statue Of Liberty,Torch
Venus,Hoover Dam,Aphrodite
Glass,Mud Station,Glass Station
Swamp,Vampire,Mosquito
Greenhouse,Nessie,Plant
Bong,Battery,Vaporizer
Hammerhead,Scotland,Shark
Paper,Solar,Sun
Satyr,Windshield,Satyr
Vape,Wet,Vapor
T-Rex,Glass,Dinosaur
Paper Boat,Landslide,Tsunami
Well,Steampunk,Time Machine
Universe,Multiverse,Multiverse
Steam Rocket,Chariot,Steam Locomotive
Kettle,Dwarf,Tea
Japan,Archipelago,Tokyo
Steam Turbine,Lighthouse,Electricity
Computer,Flying Ice Cream Cone,Hacker
Fire Swamp,Pudding,Fireball
Temple,Sail,Ship
Smoker,Kale,Nothing
Dust Bowl,Phoenix,Dust
Junk,Pluto,Trash
Ring,High,Tower
Choo Choo,Destruction,Train
Nile,Ski,Sphinx
Lotus,Super Volcano,Super Lotus
Cyborg,Crab,Robot
Galaxy,Cyclone,Black Hole
Beach,Bacon,Bacon
Fireball,Avalanche,Volcano
Soup,Crash,Carrot
Stew,Underground,Mole
Muddy Pig,Space Pig,Muddy Space Pig
Pigasus,Adobe,Pig
Lost,Coral Reef,Atlantis
Titanic,Garlic,Vampire
Hobo,Cinder,Ash
Blind,Mjolnir,Thor
Cigar,Log,Fire
Tornadozilla,Pharaoh,Tornadozilla
Paper,Hops,Beer
Lake,Vine,Wine
Torch,Seed,Jack-o-Lantern
Chili,Fire Storm,Chili Storm
Future,Lawn,Mower
Moon Dust,Treasure,Moon
Tumbleweed,Genie,Sand
Submarine,Beacon,Lighthouse
Electric Engine,Bullet,Train
Chip,Crop,Potato
Coal,Spaceship,Asteroid
Drone,Sperm,Bee
Dead Sea,North America,Salt Lake City
Calamari,Hot Air Balloon,Squidward
Smoker,Zeus,Thunder
Scent,Mushroom,Truffle
Smoker,TARDIS,Doctor
Rebirth,Vortex,Phoenix
Grave,Double Axe,Zombie
Galaxy,Field,Farm
Cactus,Tea Plant,Coffee Plant
Crystal Ball,Wave,Tsunami
Reef,Snow Cone,Coral
Pluto,Dynamite,Explosion
Fire,Wet,Dry
Swarm,Electricity,Lightning
Ink,Sea Star,Squid
Destruction,Kali,Shiva
Mars,Shore,Venus
Juice,Junk,Fruit
Idol,Fire Breath,Dragon
Christmas Tree,Surfing,Surfing Santa
Piggyback,Mud Station,Muddy Pig
Drawing,Mech,Robot
Zeus,Boiling Frog,Frogger
Gem,9/11,Diamond
Eraser,Smog,Air
Wood,Vinegar,Pickle
Furnace,Blade,Sword
Bridge,Black Hole,Wormhole
Spore,Pollution,Mushroom
Snake,Pasta,Spaghetti
Shark,Splash,Sharknado
Meteorite,Carnivorous Plant,Venus Flytrap
Plesiosaur,Fishing Pole,Loch Ness Monster
Emulsion,Drain,Drainage
Volcano,Tornadon,Volcanodon
Christmas,Vacation,Holiday
Duck,Jaws,Duckbill
House,Exhaust,Smoke
Flying Frog,Cough Syrup,Kermit
Mountain Bush,Breeze,Wind
Trawler,Lizard,Dragon
Bonsai,Tea Bag,Tea
Loch Ness Monster,Pirate Ship,Nessie
Glasser,Island,Glass Island
Whale,Balloon,Hindenburg
Honeycomb,Locomotive,Bee Train
Smoker,Flying Frog,Flying Monkey
Desert,Stew,Sandwich
Carbon,Grand Canyon,Coal
Vodka,Vodka,Vodka
Turtle,Funnel Cake,Turtle Cake
Love,Cough,Coughing
Tiamat,Knife,Tiamat
Glowworm,Air Force,Firefly
Comet,Vaporizer,Vapor
SpongeBob,Nymph,Mermaid
Fire Plant,Troll,Dragon
Cat,Dwarf,Gnome
Longboat,Beach House,Viking
Sky,Eclipse,Sun
Drunk,Bullet,Shooting
Kaleidoscope,Dandelion Wine,Flower
Whiskey,Knife,Cutthroat
Smell,Flowerpot,Flower
Power,Tadpole,Frog
Honey,Marsh,Swamp
Jack,Lily,Jack and the Beanstalk
Dandelion Wine,Hammerhead,Nothing
Teabag,Flat,Tea
Scent,Paper,Perfume
Time Ship,Astronaut,Time Traveler
Meade,Fireplace,Hearth
Mississippi,Dragon Egg,Mud
Prison,Glass,Prisoner
Corn,Snow Rocket,Popcorn
Fire Trap,Water,Steam
Hole,Potion,Portal
Dragon Egg,Ice Fishing,Ice Dragon
Matcha,Mars,Nothing
Zeppelin,Match,Fire
Fence,Ostrich,Nothing
Wood,Alcohol,Barrel
Locomotive,Broken Window,Train
Ozymandias,Moat,Sand
Rain,Moat,Puddle
Broken Window,Teapot,Tea
Junk,Supernova,Black Hole
Troll,Rally,Mob
Greenhouse,Mountain Range,Oxygen
Window,Message,Post
Mountain Tornado,Honey,Bee
Burger,Idol,Baal
Paper Boat,Stoner,Paper Plane
Refrigerator,Direction,Freezer
Antlantis,Acid Rain,Nothing
Meade,Grape,Wine
Oil Drum,Nessie,Loch Ness Monster
Pelican,Religion,Jesus
Bat,Allergy,Vampire
Tears,Bottle,Wine
Holy Spirit,Wind,Angel
Plesiosaurus,Titanado,Plesiosaurus
Valkyrie,T-Rex,Nothing
Prayer,Knife,Sacrifice
Supernova,Multiverse,Big Bang
Turtle,Clog,Tortoise
UFO,Fire Station,Alien
Fire Dance,Stegosaurus,Fire Stegosaurus
Lily Pad,Swamp Thing,Frog
Captain Nemo,Diamond Block,Nautilus
Ice Fishing,Fire Balloon,Ice Cream
Sandstone,Fire Trap,Fire
Bread,Christmas,Gingerbread
Sand Castle,Sunburn,Sand
Fire Breath,River,Steam
Koi,Titan,Leviathan
Dandelion Patch,Painting,Van Gogh
Tesla,Tea Plant,Tea
Apocalypse,Swampnado,Swampocalypse
Olympus,Tsunami,Poseidon
Flying,Mud,Bird
Hearth,Supervolcano,Eruption
Stegosaurus,Mistletoe,Christmas
Pearl,Date,Oyster
Salmon,Hourglass,Time
Chai,Blood,Vampire
Beach,Oil,Tar
Palm Tree,T-Rex,Coconut
Marshmallow,Mountain Range,Mount Rushmore
Dragonfly,Dragonfly,Dragon
Hydroelectricity,Heaven,Lightning
Cactus,Water Rocket,Cactus Rocket
Dandelion Patch,Dandelion,Dandelion
Geysir,Snowpocalypse,Ice
Hot Fudge,Genie,Sundae
Steam,Pencil Sharpener,Steam Engine
Salt,Octopus,Squid
Archipelago,Ship,Pirate
Periscope,Coffee,Spy
Boom,Rainbow Trout,Fishing
Road,Farmer,Toll
Puddle,Hanglider,Puddle
Wind Farm,Star,Solar Panel
Iceland,Snowpunk,Iceland
Swamp Thing,Wax,Candle
Continent,Delta,River
Berserker,Pine,Pineapple
Trash,Sailor,Pirate
Bee,Tree,Honey
Altar,Camera,Selfie
Fishing,Seed,Fish
Dragon Egg,Boulder,Dragon
Crispy,Sand Dunes,Desert
Solar System,Tornado,Black Hole
Jaws,Catholic Church,Shark Week
Bob Marley,Chess,Checkmate
Santa Claus,Devil,Satan Claus
Kraken,Kelp,Seaweed
Water,Cruise Ship,Titanic
Shark,Plantea,Seaweed
Fire Whirl,Landslide,Volcano
Vacation,Solar Wind,Solar Eclipse
Illusion,Hawaii,Hula
Space Fish,Ariel,Mermaid
Mercury,Continent,Europe
Pyramid,Marijuana,Sphinx
Flat,Laser,CD
System,Berserker,Hack
Statue of Liberty,Rubber,Eraser
Mine,Beacon,Lighthouse
Food,Longboat,Viking
Geysers,Spore,Mushroom
Big Bang,Dark Matter,Universe
Troll,Eden,Garden
Magma,Mordor,Mount Doom
Time Ship,Nymph,Nympho
Shatter,Race Car,Crash
Marsh,Firework,Swamp
Frog,Party,Prince
Mermaid,Space Ship,Ariel
Sphinx,Shard,Pyramid
Clockwork,Geothermal,Clockwork
Money,Time Ship,Time Machine
Chai,Steampunk,Nothing
Fairy,Tsunami,Mermaid
Moby Dick,Sarcophagus,Coffin
Condor,Fishing,Pelican
Swordfish,Water,Sword
Crab,Mud Station,Mud Crab
Devil,Tablet,Computer
Sand Dunes,Brick,Pyramid
Fart,Fire Balloon,Explosion
Bread,Geysir,Volcano
Smaug,Fjord,Dragon
Rubber,Lunar Eclipse,Moon Bounce
Cannabis,Boat,Pirate
Cure,Sun,Sunshine
Locomotive,Onyx,Train
Windsurfer,Cave,Bat
Alien,Seeds,Crop Circle
Kaleidoscope,Water Lily,Lotus
Ice Cream,Jungle,Monkey
Atlas,Fossil,Dinosaur
Viking,Sandal,Thor
