first,second,result
Mr. Potato Head,Lupus,Were-Potato
Treehouse,Steam Engine,Steam Treehouse
Haystack,Brick Tea,Camel
Titan,Poison Ivy,Poison Titan
UFO,Globe,Alien
Race Car,Hotdog,Hot Rod
Flying Sushi,Hula-tsunami,Tsunami
Pickleback,Fire Water,Fireball
Dill Pickle,Zombie Plant,Zombie Pickle
Sperm Venus,Colored Pencil,Art
Photograph,Mortar,Camera
Flying Dust Devil,Pigeon,Pigeon
Space Cruise,Rice Krispies,"Snap, Crackle, Pop"
Cart,Air Conditioner,Shopping Cart
Funnel,Space Car,Space Ship
Survivor,Frost,Snowman
Snowcar,Flu,Sneeze
Healthy,Fire Balloon,Hot Air Balloon
Light,Dragon Fruit,Dragon
Steam Tree,Spoon,Tea
Snow Storm,Peanut Butter,Avalanche
Fire Swamp,Garden of Eden,Fire Garden
Fog Cream Sandwich,Empire State Building,Empire State Building
Sandtown,Moredon,Moredon Sandstone
Torpedo,Ultra,Tornado
Chai Tea,Orca Pod,Whale
Bone,Money Tree,Rich
Electric Bulldozer,Haunted House,Ghost
Hay Fever,Farmville,Farmville 2
Flower Shark,Pisces,Flower Shark
Banana Split,Crash,Banana
Steam Plant,Groot,Tree
Barn,Mount Vesuvius,Pompeii
Nautilus,Sultana,Pearl
Yogi,Joint,Yoga
Sandbot,Hipster,Sandbot
Margarita,Stinky Volcano,Tequila
Wash,Tea Party,Tea Wash
Carrot Juice,Peat Bog,Carrot Cake
Tea Quixote,Alchemy,Alchemy Tea
Titanado,Jam,Titanado
Desk,Ghost Ship,Pirate Ship
Crack,Carpet,Rug
Star Wars,Smokefish,Jabba the Hutt
Loch,Mountain House,Nessie
Paper Plane,Lily Flytrap,Origami
Sewage,Wolf Pack,Werewolf
Fire King,Road Trip,Fire King
Muddy Wasabi,Sultana,Muddy Wasabi
Tornado Phoenix,Dewback,Dragon
Dolly Parton,Philosopher’s Stone,Dolly the Sheep
China House,Rock Tea,Tea House
Fire Hula,Rocket Fuel,Fire Hula
Tractor Nemo,Dustopus,Dustopus
Snowplow,Microwave,Snowcone
Flytrap,Tortilla,Taco
Sawfish,Earth,Saw
Syrup,Rice Pudding,Rice Krispies
Thanos,Steam Cyborg,Thanos
Holy Water,Jane,Mary
Sandblast,Jade,Sand
Moon Lander,Dragonborn,Dragon
Mount Rushmore,Gosling,Ryan Rushmore
Laser,Honeydew,Honey
Ice Road Truckers,Bacon Mountain,Bacon Mountain
Dutch Oven,Funnel Cake,Funnel Cake
Swampasabi,Steam Dew,Swampasabi
Lake Rushmore,Wookie,Chewbacca
Celebrity,Corn,Popcorn
Tempest,Iguana,Hurricane
Software,Acid Rain,Bug
King Kong,Coconut Tea,Monkey
Dracula,Space Monkey,Vampire Monkey
Elon Musk,Pteranodon Egg,Pteranodon
Plow,Finnish Tea,Sauna
Muddy Wine Glass,Cabbage,Salad
Spare Tire,Steam Solar System,Universe
American Revolution,Colored Pencil,Flag
Muddy Wasabi,Flying Car,Flying Car
Radiohead,Audrey Iii,Nothing
Passover,Mud Ski,Mud Passover
Crayonado,Dead Sea,Salt
Sand Dragon,Tornado Siren,Sandstorm
Cheesecake,Chalet,Swiss
Rapunzel,Dogwood,Flower
Jedi,Mansion,Skywalker
Steam Plant,Cauldron,Steam Engine
Ammonoid,Space Invader,Ammonite
Hangtsunami,Snowzilla,Snowpocalypse
Limburger,Brine,Stink
Finland,Ice Station,Santa
Steam Breath,Katy Perry,Firework
Sinking,Chef,Nothing
Mud Dragon,Vapen,Mud Dragon
Uber,Netherite Longsword,Netherite Uber Sword
Photon,Muddy Car,Clean Car
Sodium Chloride,Sandalwood,Incense
Voltron,Egg,Omelette
Space Captain,Sand Lizard,Sandman
Blowjob,Mirror,Blowjob
Sugar,Mechanic,Candy
Dustbin,Shooting,Sniper
Teapot,Earthquake,Teacup
Cannabis,Money Tree,Money
Geyser,Brandy,Volcano
Rooster,Rotten Egg,Stinky
Scream,Moisture,Scream
Geysir,Yellow Steam Car,Yellow Steam Car
Lofoten,Giant Mushroom,Troll
Himalayas,Fireweed,Yeti
SpongeBob,Rainbow Tree,Rainbow
Phlegm,Wind Turbine,Snot
Snowboard,Broom,Snowbroom
Wizard,Constellation,Star
Shroom,Flame,Mushroom
Volcano,Switzerland,Chocolate
Rocky Mountain Water,Snowy Owl,Snowy Mountain
Raindeer,Dandelion Patch,Reindeer
Earth,Chicken Teriyaki,Chicken Teriyaki Rice
Tears,Drunken Dragon,Hiccup
Moonstone,Brick Ski,Moon
Smoking Train,Chlorophyll,Smoking Plant
Star Whale,Paper Cup,Paper Cup Whale
Jester,Squidward,Spongebob
Loch,Fire Breath,Nessie
Swine,Oasis Station,Pig
Tire,Double Rainbow,Rainbow Tire
Slime,Patron,Slime
Ice Cream Cone,Secret,Spy
Killer Whale,Wolf,Orca
Roll,Coconut Palm,Coconut Roll
Tornado Train,Steam Station,Steam Train
Steam Trap,Olive,Olive Oil
Communion,Hammer,Nail
Whale,Silicon,Computer
Tempest,Aquavit,Tsunami
Global Warming,Chocolate Sword,Chocolate
Bee,National Park,Honey
Ammonoid,Fish,Ammonite
Grape,Flying Lawnmower,Wine
Mudskipper,Carnivorous Plant,Venus Flytrap
Jack Daniels,Mercury,Whiskey
Hourglass,Drunklider,Time Travel
Sharktopus Mountain,Milk Tanker,Milkshake
Borscht,Fire Station,Fire
Moses,Tea Plant,Tea
Dry Erase,Muddy River,Clean River
Flying Trap,Dinosaur,Pterodactyl
Irrigation,Mr. Potato Car,Nothing
Fire Tree,Laugh,Fireworks
Teddy Bear,Abode,Home
Checkmate,Shower,Chess
Swan Boat,Flying Shark,Swan Ship
Sos,Baked,Baked Beans
Sand Truck,Canyon,Sand Canyon
Grey,Joint,Pain
Lost,Cyber Swamp,Cyber Swamp
Mount Fuji,Steampunk,Steam Fuji
Subway,Teavillage,Tea
Sand Dandelion,Oasis,Cactus
Snow Lily,Gin,Gin and Tonic
Archaeologist,Crop Circle,Alien
Milky Way,Steamwine,Milky Way
Were-fruit,Arrowhead,Were-apple
Sandalstorm,Space Bird,Space Bird
Bulldozer,Red,Fire Truck
Prickly Pear,Steam Lizard,Cactus
Sailboat,Flying Tea,Pirate
Poinsettia,Barbecue,Grill
Dragon Roll,Treasure Map,Dragon
Vinyl,Moisture,Record
Allergy,Dust Thing,Sneeze
Ape,Rime,Monkey
Supernova,Fire Breath,Big Bang
South America,Fire Submarine,Atlantis
Eye Patch,Mtn Dew,Pirate
Sand Monster,Rat,Rat Monster
Mustard,Stegosaurus,Dino-Mite
Diamond Ring,Ape,King Kong
Treasure,James Bond,Goldfinger
Pencil Tree,Doll,Pinocchio
Yosemite,Kelp,Sequoia
Fire Venus,Formula 1,Fire Venus
Angel,Rusty Train,Hobo
Galaxy,Lunatic,Alien
Platform,Knowledge,Podium
Tomb,Suez Canal,Pyramid
Bigfoot,Miracle,Yeti
SteamPunk,Car,Steam Car
Hangstoner,Sand Castle,Sand Castle
Day,Wind Turbine,Wind
SpaceX,Bilbo Baggins,Space Hobbit
Daffy,Werehouse,WereDaffy
Lemonade,Vaccine,Cure
Stick,Illusion,Magic
Moon Dust,Ultra,Moon Dust
Thunderfish,Naked,Zeus
Ruins,Diamond Blade,Tomb Raider
Fire Venus Flytrap,Dusticane,Fire Venus Flytrap
Hangry,Geysunflower,Geyser
Koi,Spermushi,Nothing
Lion,Dill,Pickle
Slow,Bomb,Turtle
Fire Hula,Mould,Nothing
Cart,Jellyfish,Jelly Cart
Shield,Continents,Nothing
Sand Art,Rattlesnake,Sand Snake
Money,Space Alien,Tax
Hay,Subphoenix,Phoenix
Crystal Ball,Mordor,Palantir
Gnomish,Venus Flytrap,Gnome
Mistletoe,Methane,Christmas
Stoned,Darkness,High
Seadragon,Hermione,Mermaid
Super Storm,Avalanche,Snowpocalypse
Sun,Mud House,Adobe
Tornadozilla,Stingray,Stingrayzilla
Limburger,Muscle Car,Stinky Cheese
Religion,Eye Patch,Pirate
Subway,Gondor,Middle Earth
Shamu,Dictator,Sea World
Styx,Luke,Skywalker
Calamity,Jewel,Curse
Jonah and the Whale,USA,Jonah And The Whale
Kite,Flying Whale,Flying Whale
Dam,Coke,Hoover
Sandalstorm,Satyr,Pan
Alicorn,Steam Dragon,Unicorn
Relationship,Bucks Fizz,Divorce
Flip Flop,Sculpture,Statue
Jelly,Oktoberfest,Beer
Tractor,Mountain Temple,Tractor
Zoo,Paper Mountain,Paper Tiger
Bouillon,Potatotank,Potatotank
Tsunami Sword,Tea Cup,Tea Cup Sword
Burn,Chocolate Milk,Hot Chocolate
Mountain Genie,Viper,Snake
Luna,Limo,Moon
Umbrella,Vitamin,Parasol
Execution,Baptism,Baptiside
Space Cactus,Stoned,Alien
Eiffel Tower,Sticky,Sticky Tower
Protest,Steam Troll,Steam Protest
Gun,Fjord,Viking
Sodium Chloride,Firewall,Salt
Patrick,Grass,Spongebob
Poem,Dead Sea,Dead Poet
Space Wine,Sprite,Space Sprite
Winter,Holy Communion,Christmas
Wishing Well,Egg,Genie
Autumn,Rings,Fall
Nose,Nessie,Loch Ness Monster
Magnifying Glass,Sea Turtle,Turtle Shell
Troll 2,Werewolf Surfer,Troll 2: Part 2
Club,Slush,Ice
Peasoup,Pot of Gold,Leprechaun
Skiing,Ogre,Shogun
Pop Tart,Moon Dust,Moon Pop Tart
Mountain Dewshine,Campfire,Moonshine
Duck Goose,Colour,Rainbow
Ambergris,Sodium,Soap
Valkyrie,Bubble Rocket,Bubble Valkyrie
Vampire Dandelion,Rover,Dandelion
Wipers,Desert,Mirage
Engineer,Toast,Pop Tart
Sturgeon,Sushi,Caviar
Rainbow Whale,Trainwreck,Rainbow Trainwreck
Raft,Sticky,Glue
Toga Party,Fart,Toga Party
Dead Tree,Surfing Venus Flytrap,Nothing
Asphalt,Carship,Car
Cell,Hot Air Balloon,Cell Phone
Firekraken,Space Punk,Space Kraken
Dandelight,Lost,Dandelost
Ring,Nimbus,Rainbow
Mountain Doobie,Eggbeater,Mountain Dew
Ferryman,Frog King,Frog Prince
Flat Obsidian,Portal,Portal
Space Station,Pandora,Pandora’s Box
Antnado,Fridge,Antarctic
SwampShop,Midas,Nothing
Tornado,Peak,Volcano
