first,second,result
Foggy Ghost,Tractorbeam,Ghost Ship
Fountain,Tractorbeam,Tractor
Food,Tractorbeam,Food Truck
Flying Car,Tractorbeam,UFO
Flying Sushi,Tractorbeam,UFO
Flying Dust,Tractorbeam,UFO
Garlic,Tractorbeam,Vampire
Geothermal Plant,Tractorbeam,Tractorbeam
Fruit,Tractorbeam,Fruitcake
Google,Tractorbeam,Nothing
Funnel Cake,Tractorbeam,Black Hole
Gnome,Tractorbeam,Gnomekraft
Gem,Tractorbeam,Diamond
Fungus,Tractorbeam,Mushroom
Grave,Tractorbeam,Tractor
Grand Canyon,Tractorbeam,Tractorbeam
Goat,Tractorbeam,Goatse
Grapevine,Tractorbeam,Wine
Flint,Tractorbeam,Stone
Head,Tractorbeam,Alien
Great Wall of China,Tractorbeam,Moon
Greenhouse,Tractorbeam,UFO
Grill,Tractorbeam,Tractor
Greenland,Tractorbeam,Greenland
Hermit,Tractorbeam,Traveler
Himalayas,Tractorbeam,Yeti
Hellhound,Tractorbeam,Dog
Hobbit,Tractorbeam,Bilbo
Hay,Tractorbeam,Haybale
Hive,Tractorbeam,Beekeeper
Hole,Tractorbeam,Black Hole
Fuel,Tractorbeam,Tractor
Hanglider,Tractorbeam,Grappling Hook
Home,Tractorbeam,UFO
Hula,Tractorbeam,Hula Hoop
Ice Cream Cone,Tractorbeam,Black Hole
Human,Tractorbeam,Alien
Ivy,Tractorbeam,Plant
Hydroelectricity,Tractorbeam,Tractorbeam
Iron,Tractorbeam,Magnet
Inquisition,Tractorbeam,Tractor Inquisition
Holy Grail,Tractorbeam,Star Wars
Illusion,Tractorbeam,Tractorbeam
Goose,Tractorbeam,Goosebeam
Hops,Tractorbeam,Beer
Hydroelectric,Tractorbeam,Tractorbeam
Holy Spirit,Tractorbeam,Tractorbeam
Kraken,Tractorbeam,Tractor
Lagoon,Tractorbeam,UFO
Jonah,Tractorbeam,Jonah
Krakken,Tractorbeam,Tractor
Jupiter,Tractorbeam,UFO
Jet Ski,Tractorbeam,UFO
Lamp,Tractorbeam,UFO
Jesus,Tractorbeam,Rapture
Krill,Tractorbeam,Tractor
Joint,Tractorbeam,Traction
Kale,Tractorbeam,Kalebeam
Kaleidoscope,Tractorbeam,Tractorbeam
Ketchup,Tractorbeam,Tomato
Knight,Tractorbeam,Jedi
Lava Monster,Tractorbeam,Magma Man
Lawnmower,Tractorbeam,Tractor
Landship,Tractorbeam,Tractorbeam
Landfill,Tractorbeam,Trash
Lily Flytrap,Tractorbeam,Plant
Library,Tractorbeam,Starship
Loch Ness,Tractorbeam,Nessie
Longboat,Tractorbeam,Starship
Laser,Tractorbeam,Tractorbeam
Log,Tractorbeam,Tree
Lava Cake,Tractorbeam,Black Hole
Landing,Tractorbeam,UFO
Lawn,Tractorbeam,Mower
Light,Tractorbeam,UFO
Hot Fudge,Tractorbeam,Hot Fudge Sundae
Magma,Tractorbeam,Black Hole
Meteorite,Tractorbeam,UFO
Lung,Tractorbeam,Vacuum
Lost,Tractorbeam,Star Trek
Love,Tractorbeam,Gravity
Mad Hatter,Tractorbeam,Tractor Hat
Medicine,Tractorbeam,Doctor
Meteor Shower,Tractorbeam,UFO
Mead,Tractorbeam,Honey
Matcha,Tractorbeam,Green Lantern
Metal,Tractorbeam,Magnet
Mangrove Forest,Tractorbeam,Treebeard
Megalodon,Tractorbeam,Sharknado
