first,second,result
Landslide,Farmer,Mudslide
Glacier,Snowman,Yeti
Delta,Treasure,Pyramid
Fuel,Thunder,Lightning
Iron Man,Reverb,Iron Man
Europe,Airship,Zeppelin
Fire Swamp,Fireworks,Fire Swamp
Flying Saucer,Tide,UFO
Wave,Tumbleweed,Surf
Megalodon,Landslide,Tsunami
Meteorite,Unicorn,Pegasus
Water,Midas,Gold
Space Flower,Lava,Volcano
Thunder,Eden,Adam
Wine,Curtain,Drapes
Combine,Protest,Riot
Fanboy,Airplane,Fan
Reflection,Dust,Mirror
Narwhal,River,Unicorn
Lily,Venus Flytrap,Lily Flytrap
Prayer,Time,Eternity
Storm,Volcano,Eruption
Tea,Temple,Buddha
Space Weed,Triton,Seaweed
Glacier,Petrified Wood,Fossil
Fjord,Tinkerbell,Pixie
Vulcan,Chicken,Phoenix
Seaweed,Microscope,Algae
Firetruck,Book,Library
Drunk,Fossil,Dinosaur
Pirate,Piggy,Piggyback
Quagmire,Sandstorm,Desert
Tuxedo,Supernova,James Bond
Car,Garden,Carrot
Electricity,Bullet Train,Lightning
Solar Panel,Snowplow,Snowman
Fire Engine,Battlefield,Tank
Solar Power,Christmas,Solar Christmas
Steam Turbine,Continent,Power Plant
Window,Reflection,Mirror
Wave,Destruction,Tsunami
Pteranodon,Clay,Pterodactyl
Double Axe,Alligator,Crocodile
Stink,House,Garbage
Temple,Sun,God
House,Oyster,Pearl
Ash,Yin Yang,Phoenix
Church,Snowball,Snowman
Jetstream,Microscope,Tornado
Airship,Space Weed,Spaceship
Flower,Fire Truck,Fire Hydrant
River,Mountain Dew,Nothing
Cannon,Thunderstorm,Tornado
Leaf,Lotus,Buddha
Home,Tequila,Party
Space Shuttle,Surfboard,Space Surfer
Palm,Swamp,Mangrove
Refrigerator,Mud,Mud Pie
Solar Panel,Sinking,Sunken Solar Panel
Boulder,Dwarf,Golem
Paradise,Tesla,Elon Musk
Puddle,Toast,Bread
Sashimi,Tornado,Tsunami
Steam Turbine,Sinking,Titanic
Dead Sea,Cigar,Smoke
Dracula,Iceland,Vlad the Impaler
Camera,Aphrodite,Selfie
Ocean,Flying Dust,Sea Monster
Solar Wind,Everest,Solar System
Mine,Kelp,Gold
Head,Oxygen,Brain
Rainbow Rock,Burn,Volcano
Solar System,Dust Devil,Black Hole
Leaf,Time Machine,Dinosaur
Coral Reef,Thor,Poseidon
Time Travel,City,Future
Mermaid,Sharknado,Sharktopus
Stink,Ice,Skunk
Devil,Solar Wind,Satan
Wave,Rice,Surf
Dirt,Fan,Dust
Pearl,Sandstorm,Oyster
Plant,Racecar,Tree
Battery,Fire Flower,Fireball
Chip,Jade,Jadeite
Solar Eclipse,Demon,Vampire
Condor,Fire Engine,Firebird
Phoenix,Vape,Vape
Delta,Oxygen,Water
Cannon,Wave,Tsunami
Phoenix,Twister,Tornado
Space Ship,Space Station,Space
Volcano,Bacon,Baconator
Nymph,Fruit,Pomegranate
Soggy,Pangaea,Earth
Whiskey,Steam,Scotch
Christmas Tree,River,Log
Earth,Yin Yang,Tao
Monastery,Sea Horse,Hippocampus
Gold,Space Flower,Sun
Bird,Ceramic,Vase
Marijuana,Lens,Contact
