first,second,result
March,Poplar,Poplar
Malaria,Poplar,Quinine
Los Angeles,Poplar,LAPD
Marriage,Poplar,Poplar
Mangrove Swamp,Poplar,Paper
Luau,Poplar,Tiki
Lobster,Poplar,Loblolly
Marshmallow,Poplar,Poplar
Mangrove Flytrap,Poplar,Nothing
Martini,Poplar,Pop Art
Madder Hatter,Poplar,Madder Poplar
Margarita,Poplar,Tequila
Mayonnaise,Poplar,Nothing
Mass,Poplar,Popular
Matterhorn,Poplar,Swiss
Mecha Dragon,Poplar,Dragon
Mega Mushroom,Poplar,Nothing
Meal,Poplar,Poplar
Poplar,Mark Twain,Poplar Twain
Magic,Poplar,Wand
Mansion,Poplar,House
Mess,Poplar,Poplar
Mech,Poplar,Nothing
Luxury,Poplar,Money
Metropolis,Poplar,Superman
Moby Dick,Poplar,Whale
Mjolnir,Poplar,Thor
Message,Poplar,Paper
Microwave,Poplar,Popcorn
Minecraft,Poplar,Pixel
Money Tree,Poplar,Paper
Mole,Poplar,Poplar
Poplar,Molehill,Nothing
Moon Dust,Poplar,Poplar
Poplar,Moonflower,Moon
Monsoon,Poplar,Banyan
Mario,Poplar,Toad
Mordor,Poplar,Poplar
Miracle,Poplar,Poplar
Mine,Poplar,Poplar
Moonwalk,Poplar,Michael Jackson
Mount Venus,Poplar,Nothing
Monkey King,Poplar,Sun Wukong
Mothman,Poplar,Mothman
Poplar,Molotov,Nothing
Mount Everest,Poplar,Poplar
Mountain Dew Code Red,Poplar,Poplar
Mount Olympus,Poplar,Zeus
Masterpiece,Poplar,Painting
Mosaic,Poplar,Moses
Moon Buggy,Poplar,Moon Buggy
Milestone,Poplar,Pole
Lava Lamp,Poplar,Tree
Mountain Dude,Poplar,Poplar Dude
Mountain Dew Ocean Blast,Poplar,Poplar Dew
Mountain Goat,Poplar,Nothing
Lunar Dust,Poplar,Moon
Mouse,Poplar,Hamster
Mountain Shark,Poplar,Nothing
Mountain Dew Wine,Poplar,Mountain Dew
Mountain Thing,Poplar,Poplar
Mountain Bush,Poplar,Nothing
Mountain Zinfandel,Poplar,Nothing
Mower,Poplar,Poplar
Moisture,Poplar,Nothing
Mud Bath,Poplar,Nothing
Mt. Fuji,Poplar,Bonsai
Poplar,Mountain Dew Tea,Mountain Dew
Poplar,Mud Volcano,Nothing
Muddy Sushi,Poplar,Bonsai
Poplar,Mr. Potato Head,Nothing
Poplar,Muddy Teacup,Poplar
Poplar,Mountain Dew Tornado,Nothing
Muddy Helicopter,Poplar,Poplar
Mudman,Poplar,Mudman
Mud Devil,Poplar,Mud Devil
Mud Dragon,Poplar,Nothing
Movie,Poplar,Popcorn
Nemo,Poplar,Poplar
Netherite Sword,Poplar,Wooden Sword
Poplar,Muddy Piggy Bank,Piggy Bank
Mountain Vine,Poplar,Tree
Newfie,Poplar,Poplar
Night,Poplar,Moon
Noah,Poplar,Ark
Mountain High,Poplar,Mt. Fuji
Muddy Train,Poplar,Nothing
Mountain Tsunami,Poplar,Mt. Fuji
North Pole,Poplar,Santa Claus
Odor,Poplar,Pine
Nimbus,Poplar,Cloud
Nirvana,Poplar,Buddha
Mountain Dew Baja Blast,Poplar,Nothing
Mud Castle,Poplar,Nothing
Oil Spill,Poplar,Pine
Orca,Poplar,Nothing
Nixie,Poplar,Nymph
Orchid,Poplar,Paper
Oil Rig,Poplar,Pipeline
Poplar,Mudway,Nothing
Paddle,Poplar,Canoe
Oktoberfest,Poplar,Nothing
Poplar,Mudnado,Nothing
Poplar,Omelette,Poplar
Oread,Poplar,Dryad
Poplar,Pangea,Poplar
Paper Plane,Poplar,Paper
Poplar,Paper Airplane,Paper Airplane Tree
Parking Lot,Poplar,Parking Lot
Oil Barrel,Poplar,Poplar
Poplar,Nuclear Submarine,Nothing
Mustard,Poplar,Yellow Poplar
Paper Mache,Poplar,Paper
Paint,Poplar,Painting
Paperboard,Poplar,Paper
Paramecium,Poplar,Poplar
Peak,Poplar,Nothing
Mutant,Poplar,Poplar
Pane,Poplar,Pine
Peacock,Poplar,Nothing
Pasta Factory,Poplar,Pasta
Pegasus,Poplar,Unicorn
Pearl Diver,Poplar,Nothing
Noodle,Poplar,Ramen
Pesto,Poplar,Nothing
