first,second,result
Cottonseed,Appalachian Mountains,Appalachian Cotton
Couch,Appalachian Mountains,Appalachian Sofa
Cybernetic,Appalachian Mountains,Nothing
Appalachian Mountains,Cygnus,Nothing
Appalachian Mountains,Cruise Ship,Titanic
Crab King,Appalachian Mountains,Appalachian Crab
Cough Syrup,Appalachian Mountains,Appalachian Cough Syrup
Appalachian Mountains,Cowboy,Appalachian Cowboy
Appalachian Mountains,Crop Duster,Appalachian Tra
Cross,Appalachian Mountains,Appalachian Cross
Appalachian Mountains,Crane,Appalachian Crane
Appalachian Mountains,Crabgrass,Appalachian Crabgrass
Crumb,Appalachian Mountains,Appalachian Crumbs
Appalachian Mountains,Crayfish,Appalachian Crayfish
Cybertron,Appalachian Mountains,Appalachian
Appalachian Mountains,Dandelion Soup,Nothing
Appalachian Mountains,Cucumber,Appalachian Pickle
Dark Side,Appalachian Mountains,Nothing
Dandylion,Appalachian Mountains,Nothing
Appalachian Mountains,Cut,Appalachian Trail
Curse,Appalachian Mountains,Appalachian Curse
Appalachian Mountains,Demon,Appalachian Demon
Appalachian Mountains,DNA,Appalachian Mountains
Appalachian Mountains,Diamond Sword,Nothing
Dill,Appalachian Mountains,Nothing
Daddy,Appalachian Mountains,Appalachian Daddy
Dinner,Appalachian Mountains,Nothing
Daffy,Appalachian Mountains,Appalachian Duck
Dionysus,Appalachian Mountains,Nothing
Dark Matter,Appalachian Mountains,Black Hole
Appalachian Mountains,Dagger,Appalachian Dagger
Dalai Lama,Appalachian Mountains,Appalachian Lama
Appalachian Mountains,Damn,Appalachian Damn
Appalachian Mountains,Dragon Fruit,Nothing
Appalachian Mountains,Dragon Roll,Nothing
Appalachian Mountains,Dragon Tornado,Nothing
Appalachian Mountains,Daffodil,Appalachian Daffodil
Appalachian Mountains,Dandelight,Appalachian Dandelight
Darkness,Appalachian Mountains,Appalachian Darkness
Appalachian Mountains,Day,Appalachian Trail
Appalachian Mountains,Dandelion Weed,Appalachian Dandelion
Dry,Appalachian Mountains,Nothing
Appalachian Mountains,Djinn,Genie
Appalachian Mountains,Duck And Cover,Appalachian Duck
Appalachian Mountains,Dandelion Roll,Appalachian Dandelion Roll
Appalachian Mountains,Derail,Appalachian Derail
Appalachian Mountains,Date Palm,Appalachian Date Palm
Appalachian Mountains,Dump,Nothing
Dustnado,Appalachian Mountains,Nothing
Appalachian Mountains,Dust Weed,Nothing
Dustover,Appalachian Mountains,Nothing
Appalachian Mountains,Easter,Nothing
Discovery,Appalachian Mountains,Appalachian Tra
Dirt Bike,Appalachian Mountains,Appalachian Tra
Appalachian Mountains,Edelweiss,Appalachian Edelweiss
Electric Car,Appalachian Mountains,Nothing
Appalachian Mountains,Double Rainbow,Double Rainbow All The Way
Appalachian Mountains,Dragon Trap,Appalachian Dragon
Drunken Dragon,Appalachian Mountains,Appalachian Dragon
Elon Musk,Appalachian Mountains,Nothing
Dustbuster,Appalachian Mountains,Vacuum
Appalachian Mountains,Drunken,Appalachian Drunk
Appalachian Mountains,Dyson,Vacuum
Electric Train,Appalachian Mountains,Nothing
Appalachian Mountains,Europe,Appalachian Mountains
Excalibur,Appalachian Mountains,King Arthur
Evil,Appalachian Mountains,Appalachian Evil
Appalachian Mountains,Factory,Coal
Appalachian Mountains,Driving,Appalachian Driving
Electric Engine,Appalachian Mountains,Amtrak
Family,Appalachian Mountains,Nothing
Appalachian Mountains,Fanatic,Nothing
Duck Sauce,Appalachian Mountains,Appalachian Duck Sau
Dusty,Appalachian Mountains,Appalachian Dust
Appalachian Mountains,Dust Allergy,Appalachian Dust
Appalachian Mountains,Drunken Master,Appalachian Drunken Master
Appalachian Mountains,Dune Buggy,Appalachian Dune Buggy
Echo,Appalachian Mountains,Appalachian Echoes
Fire Dance,Appalachian Mountains,Nothing
Feather,Appalachian Mountains,Bald Eagle
Ecosystem,Appalachian Mountains,Appalachian Ecosystem
Appalachian Mountains,Emperor,Appalachian Emperor
Appalachian Mountains,Electric Teapot,Appalachian Teapot
Fire Engine,Appalachian Mountains,Nothing
Appalachian Mountains,Ent,Appalachian Ent
Fire Ghost,Appalachian Mountains,Nothing
Fairy Tale,Appalachian Mountains,Jack and the Beanstalk
Fire Storm,Appalachian Mountains,Nothing
Fire Tree,Appalachian Mountains,Nothing
Appalachian Mountains,Fertile,Appalachian Mountains
Appalachian Mountains,Eye,Appalachian Eyes
Feed,Appalachian Mountains,Appalachian Trail
Appalachian Mountains,Finland,Appalachian Mountains
Appalachian Mountains,Fault,Appalachian Fault
Appalachian Mountains,Fireplane,Nothing
Appalachian Mountains,Ferry,Appalachian Ferry
Firetruck,Appalachian Mountains,Nothing
Appalachian Mountains,Fire Dragon,Smokey Dragon
Appalachian Mountains,Fighter,Appalachian Fighter
Appalachian Mountains,Fire Axe,Appalachian Axe
Flambé,Appalachian Mountains,Nothing
Appalachian Mountains,Fire Fire Trap,Appalachian Mountains
Appalachian Mountains,Fire Duck,Appalachian Duck
Appalachian Mountains,Fishing Pole,Catfish
Appalachian Mountains,Fire Ski,Appalachian Mountains
Fire Water,Appalachian Mountains,Appalachian Mountains
Fire Lily,Appalachian Mountains,Appalachian Fire Lily
Fire Whirl,Appalachian Mountains,Appalachian Mountains
Fish Soup,Appalachian Mountains,Appalachian Mountains
Appalachian Mountains,FireFox,Appalachian Firefox
Appalachian Mountains,Flying Fisherman,Nothing
Fire Weed,Appalachian Mountains,Appalachian Fire Weed
Appalachian Mountains,Firekraken,Appalachian Firekraken
Fishstick,Appalachian Mountains,Appalachian Fishstick
Appalachian Mountains,Flying Pelican,Nothing
Flying Plant,Appalachian Mountains,Nothing
Appalachian Mountains,Flat,Appalachian Plateau
Appalachian Mountains,Flying Cow,Appalachian Mountains
Flat Road,Appalachian Mountains,Appalachian Trail
Flowerpot,Appalachian Mountains,Appalachian Trail
Appalachian Mountains,Flat Rock,Appalachian Flat Rock
Flypaper,Appalachian Mountains,Nothing
Appalachian Mountains,Flying Machine,Wright Brothers
Appalachian Mountains,Flu,Appalachian Flu
Flame Sword,Appalachian Mountains,Appalachian Flame Sword
Fondue,Appalachian Mountains,Nothing
Forest Fire,Appalachian Mountains,Nothing
Fjord Flytrap,Appalachian Mountains,Appalachian Fjord Flytrap
Appalachian Mountains,Frank Herbert,Nothing
Appalachian Mountains,Freedom,Appalachian Freedom
Appalachian Mountains,Flip Flop,Appalachian Flip Flop
Appalachian Mountains,Flying Fish Sushi,Appalachian Sushi
Flying Ice Cream Cone,Appalachian Mountains,Appalachian Mountains
Frozen,Appalachian Mountains,Nothing
Flying Frog,Appalachian Mountains,Appalachian Flying Frog
Future,Appalachian Mountains,Appalachian Mountains
GPS,Appalachian Mountains,Nothing
Appalachian Mountains,Fruit Tree,Apple
Flying Fjord,Appalachian Mountains,Appalachian Flying Fjord
Flying Roast Duck,Appalachian Mountains,Appalachian Duck
Appalachian Mountains,Gale,Nothing
Appalachian Mountains,Garbage Truck,Nothing
Appalachian Mountains,Gargoyle,Mothman
Flytrap,Appalachian Mountains,Venus Flytrap
Appalachian Mountains,Garnet,Nothing
Gas,Appalachian Mountains,Appalachian Gas
Flying Sand,Appalachian Mountains,Appalachian Desert
Gate,Appalachian Mountains,Nothing
Flying Whale,Appalachian Mountains,Appalachian Whale
Fridge,Appalachian Mountains,Appalachian Mountains
Freezer,Appalachian Mountains,Appalachian Freeze
Appalachian Mountains,Frankenstein,Appalachian Frankenstein
