first,second,result
Solar Sail,Longsword,Spaceship
Tea Flower,Dust,Tea
Wet,Knife,Sword
Steamboat Willie,Mothra,Mickey Mouse
Moses,Corn,Popcorn
Space Plant,Stonehenge,Crop Circle
Burnt Burger,Saint,Burnt Saint
Plantation,Chocolate Milk,Chocolate
Zen,Space Surfer,Nothing
Quicksand,Mire,Swamp
Solar Power,Global Warming,Sun
Skeleton,Crop Duster,Scarecrow
Leda,Warmth,Swan
Malaria,Spin,Malspin
Newspaper,Fertilizer,Plant
Pigweed,Crater,Nothing
Sharknado,Superplant,Super Sharknado
Tenochtitlan,Slingshot,Aztec
Day,Jack,Night
Underground,Tumbleweed,Mole
Mead,Shroom,Beer
Steam Train,Steam Car,Steam Engine
Monster Truck,Sunrise,Sun
Blood,Space Fish,Vampire
Atlas,Mountain Tea,Tea
Garlic,Acid,Vampire
Audrey Iii,Park,Little Shop Of Horrors
Steam Egg,Mudslide,Omelette
Horse,Fanboy,Centaur
Snowboarder,Potus,Shaun White
Clock,Landscape,Time
Sushi,Swamp Venus,Sushi Venus
Space Weed,Ice Wine,Ice Weed
Caviar,Mudpot,Fish
Patrick,Geothermal Power,Spongebob
Sandstone,Pot,Clay
Dust Weed,Yeti,Abominable Snowman
Laser,Cocktail,Nothing
Ski,Swordfish,Swordfish
Present,Fresh,Gift
Gobi,Fire Submarine,Desert
War Machine,Empire State Building,King Kong
Poinsettia,Ashes,Christmas
Fruit Tree,Vodka,Fruit Vodka
SpaceX,Pudding,Elon Musk
Hydroelectric,Destruction,Dam
Fire Ski,Plane,Fire Plane
Piggy Bank,Coughing,Piggy
Prison Break,SpaceX,Elon Musk
Demon,Space Storm,Meteor
Fragrance,Factory,Perfume
Sand Shark,Lunar Dust,Moon Shark
Wooden Submarine,Aquarium,Piranha
Carrot,Smaug,Dragon
Coconut Milk,Roast Duck,Coq Au Vin
Reincarnation,Bank,Banker
Fire Axe,Holy Dandelion,Fire Flower
Hamster,Mickey Mouse,Hamster
Quagmire,Valley,Swamp
Tomb,Egg,Mummy
Periscope,Lawrence,Submarine
Smoke Detector,Vulcan,Spock
Typhoon,Aeolus,Wind
Chip,Kelp,Potato
Harvest,Coral Reef,Coral
Mountain,Australia,Uluru
Bullet Train,Bowie,Bullet Train
Monorail,Flame,Train
Potassium,Mudskipper,Potassium
Fertilizer,Combine,Plant
Brew,Flip Flop,Nothing
Polly,Tremor,Earthquake
Ghost Train,Surf Shop,Nothing
Zephyr,Princess,Butterfly
Piggy,Pigpen,Pigsty
Garage,Carnation,Carnage
Geothermal Power Plant,Sea Kale,Nothing
Mist,Lens,Rainbow
Dew,Unicorn,Rainbow
Disaster,Gollum,Ring
Sharknado,Gorilla,King Kong
Head,Zeppelin,Led Zeppelin
Witch,Spritzer,Wizard
Snow Shark,Rice Paddy,Sushi
Hot Spring,Tractor Nemo,Tractor Nemo
Calendar,Olympus Mons,Mars
Bookshelf,Fishing Pole,Library
Santa Claus,Terrorist,Osama Bin Laden
V8,Bunny,Rabbit
Bubbles,Tiger,Tigger
Snowpunk,Horse,Snowman
Snow Tea,Santa,Hot Chocolate
Soda,Snow Storm,Slushie
Paddle,Chess,Checkers
Cigarette,Smoky Mountains,Smog
Snow Storm,Camera,Blizzard
Sandboard,Space,Moon
Steamboat,Worship,Religion
Hack,Universe,God
Dragonfly,Vaporizer,Vape
Sake,Sultana,Saki
Pond Skater,Fireball,Dragon
Malaria,Clownfish,Nemo
Mount Doom,Fire Ski,Nothing
Suck,Tanker,Vacuum
Light,Firebird,Phoenix
Rhea,Raft,Poseidon
Ariel,Snowbird,Snowman
Cactaur,Fire Submarine,Cactus
James Bond,Yoga,Yogi
Spirit,Colored Pencil,Artist
Poke,Everest,Pikachu
Sunami,Space Palm,Space Palm
Flambé,Farmville,Nothing
Aeolus,Rose,Wind
Witch,Drawing,Spell
Riddle,Surfer,Wave
Bookshelf,Food,Cookbook
Religion,Sunburn,Sunstroke
Tiamat,Money,Dragon
Continents,Drink,Cocktail
Zeus,Lo Pan,God
Engineer,Magnifying Glass,Inventor
Lava Monster,Smoker,Volcano
Tractor Beam,Landship,Tractor
Hot Spring,Meteor,Meteorite
Cider,Newton,Apple
Mount Rushmore,Amber,Fossil
Mountain Tsunami,Plantea,Poseidon
Coral Flytrap,Lightning,Coral Flytrap
Leaf,Crayonado,Leaf
Archangel,Smurfette,Smurf
Platform,Rainbow Whale,Noah’s Ark
Sandblaster,Meteor,Sand
Sand,Flytrap,Cactus
Smore,Ashes,Campfire
Life,Snowboard,Snowman
North,Telescope,North Star
Fall,Dolly Parton,Dolly Parton
Seaplane,Kale,Salad
Racism,Milky Way,Black Hole
Katana,Marijuana,Samurai
Mop,Piranha,Floor
Flying Fish Sushi,Amber,Amberjack
Ghost Pepper,Kangaroo,Nothing
Carrot,Holy Lake,Rabbit
Capsaicin,Electric Eel,Chili
Sea Dragon,Iron,Titan
Delta,Salad,Dressing
Tumbleweed,Rainbow Whale,Unicorn
Gingerbread Man,Slingshot,Gingerbread Man
Racetruck,Thunderstorm,Lightning
Frog,Wyvern,Dragon
Sand Shark,Marsh,Sand
Barley,Prayer,Beer
Steam Tide,Aeon,Time
Inquisition,Sword,Executioner
Kraken,Lich,Cthulhu
Gem,Sandpunk,Sand
Shrine,Fruit Tree,Apple
Seedpod,Cardinal,Sunflower
Tea,Blood Moon,Vampire
Led Zeppelin,Sharknado,Shark Zeppelin
Salsa,Space Shuttle,Disaster
Switzerland,Airship,Zeppelin
Hashish,Volcano,Lava
Bone,Tornado Fish,Shark
Faith,David,Goliath
Hangrover,Sword,Knight
Meteorite,Krakken,Moon
Seaplane,Snowlily,Seaplane
Meteor Shower,Pegasus,Unicorn
Underworld,Potash,Cerberus
Blueprint,Space,Rocket
Scotch,Crash Landing,Whiskey
Zephyr Train,Big Dipper,Zephyr
Smell,Lei,Flower
Caduceus,Palm Tree,Oasis
Avalanche,Wyvern,Yeti
Archangel,Sancho Panza,Don Quixote
Popcorn,SpaceX,Popcorn
Plesiosaurus,Stoned,Nothing
Ivy,Cthulhu,Ivy
Submarine,Mudnado,Mudnado
Muddy Pig,Monk,Pigpen
Heart,Wind,Love
Oasis,Jadeite,Jade
Steel,Drunken,Sword
Dust Dragon,Absinthe,Green Fairy
Fishbowl,Shards,Aquarium
Joey,Solar Flare,Sun
Canyon,Anarchy,Chaos
Toga,Knight,Gladiator
Biofuel,Dinosaur,Fossil
Solar Eclipse,Spark,Sun
SpongeBob,Pacific,Squarepants
Fireboat,Referee,Firefighter
Atlas,Solar Flare,Sun
Drogon,Cleaner,Drogon
Tile,Snowfish,Snowman
Moon Buggy,Tornado Fish,Moon Fish
Rocky Mountains,Holy Lake,Rocky Mountain National Park
Mass,Jetea,Jetsam
Soda,Astronomer,Pop
Birthday,Electric Eel,Shock
Tea Train,Guillotine,Tea Party
Jesus,Yeti,Abominable Snowman
Battery,Coconut Milk,Coconut Battery
Shaman,Africa,Witch Doctor
Sail,Moonstone,Moon
Swordfish,Food Truck,Sushi
Elon Musk,Black Pearl,Tesla
Beehive,Allergy,Sneeze
Meteor,Steam Monster,Steam
Fire Plant,Snowdrop,Snowflake
Paperboard,Ape,Monkey
Gnome,Squid,Gnome
Honey,Mirage,Oasis
Pizza,Wrinkle,Pizza Face
Hermes,Lava Cone,Volcano
Big Dipper,Parachute,Santa Claus
Diamond,Blast,Explosion
Junk,Cthulhu,Cthulhu
Mangrove Forest,Mountain Vine,Tarzan
Wood,Grave,Coffin
Zephyr Train,Clean Teapot,Tea
Moon Buggy,Magnifying Glass,Alien
Tornadate,Pompeii,Vesuvius
Fire Swamp,Michigan,Nothing
Pokemon,Pig,Pikachu
Warmth,Piranha,Hot Dog
Burning Monster Truck,Ichthyosaurus,Poseidon
Pen,Tank,Tank
Starfish,Ice Bear,Polar Bear
Ammonite,Lilytopus,Ammonitepus
High,Selfie,Selfie
Rice,Aphrodite,Sushi
Farmer,Lightning,Zeus
Surf,Haunted House,Ghost
Molotov,Water,Fire
Green Tea,Zeppelin,Led Zeppelin
Lunar,Nimbus,Moon
Fire Axe,Mine,Fireworks
Telescope,Cup,Galileo
Zeus,Viper,Medusa
Flying Frog,Hippie,Flying Hippie
Truck,Itch,Scratch
Slushie,Pencil Sharpener,Slushie Pencil
Mountain Man,Fire Tornado,Volcano
Time Travel,Sphinx,Sphinx
Swasabi,Drunk,Sushi
Fireweed,Tea Tsunami,Nothing
Funnel Cake,Hearth,Nothing
War Pig,Fuel,Tank
Space Barbecue,Cooking,Nothing
Fire Submarine,Pluto,Fire Submarine
Tea Serpent,Dragon Fruit,Dragon
Anemone,Crab,Hermit
Martini,Iceberg,Cocktail
Adobe,Inca,Machu Picchu
Satan,Flour,Cake
Metal,Were-tree,Tin-man
Fault,Champagne,Earthquake
Harvest,Tire,Rubber
Pizza,Rainbow Trout,Rainbow Pizza
Lily,Hot Fudge,Lily Pond
Coffeeshop,Eruption,Volcano
Tree of Life,Baked,Bread
Fire Trap,Spongecar,Nothing
Beef Bourguignon,TNT,Beef Bourguignon
Crescent,Swamp Shark,Moon Shark
Pina Colada,Wreck,Nothing
Zoo,Wish,Genie
Venice,Prayer,Gondola
Ebb,Cod,Fish
Periscope,Bottle,Submarine
Wet Dandelion Patch,Moonfish,Moon
Mustard,Monkey King,Monkey Mustard
Dill,Train,Pickle
420,Confused,420
Slush,Fondue,Cheese
Elon Musk,Rainbow Rock,Unicorn
Lava Monster,Grave,Volcano
Space Tsunami,Crayfish,Crayfish
Ark,Tardis,Titanic
Fuel,Scotland,Whisky
Delorean,Squid,Squiddorean
Anchor,Bait,Fishing
Motocross,Coconut Milk,Coconut Motocross
Cybertron,Mummy,Optimus Prime
Mount Gay,Grape,Rum
Space Junk,March,Meteor
Motocross,Mud Station,Muddy Motocross
Tiger,Mudweed,Tiger Lily
Tsunamic,Excalibur,King Arthur
Candy,Hell,Diabetes
Trawler,Ore,Ship
Venus,Eye,Telescope
Weed,Jetpack,Bong
Tumbleweed,Kali,Dust
Paradise,Cross,Crucifix
Evil,Ant,Devil
Mudpot,Toadstool,Nothing
Shrub,Air Conditioner,Nothing
Forest,Heidi,Goat
Laser Cannon,Oxygen,Fire
Tea Party,Hot Dog,Tea Bag
Inquisition,Tornadroll,Nothing
Asia,Platypus,Asiaplatypus
Eskimo,Onyx,Igloo
Flypaper,Oil,Fly
Pencil,Hammerhead,Shark
Potato,Dragon Fruit,Dragon
Bush,Iron Man,War Machine
Stew,Junk,Soup
Tornadon,Moonshine,Tornado
Asteroid,King,Meteor
Sunbather,Hell,Suntan
Blowgun,Hops,Nothing
Piggy,Drunken,Pig
Irrigation,Mud Dragon,Nothing
Smokefly,Allergies,Sneeze
Cybernetic,Lens,Cyclops
Lunar,Farmville,Moon
Mountain Dew Ocean Blast,Tunnel,Nothing
Firetruck,Mississippi,River
Mark Twain,Nebula,Halley’s Comet
Magma,Lawn,Volcano
Food,Coconut,Coconut Milk
Antimatter,Yoga,Antimatter
Jewelry,Solar Panel,Solar Panel
Fjord,Space Fish,Narwhal
Ice,Ice King,Ice Cube
Bullet,Bullet,Gun
Yacht,Doom,Titanic
Dam,Sunflower,Sun
Sailor,Skateboard,Pirate
Tempest,Dragon Egg,Dragon
Wolf,Chimney,Santa
Katana,Camel,Samurai
Mayan,Swamp,Temple
Hack,Doom,Hack and Slash
Food,Ocean,Fish
Pangea,Rebirth,Earth
T-rex,Dune,Sand
Ghost Train,Supernova,Big Bang
Lichen,Engineer,Biofuel
Christianity,Carrot,Easter
Car Wash,Broom,Car
Poseidon,Tea Train,Tea Train
Drunk,Hellhound,Hangover
Surfing,Lego,Surfing
Seeds,Flying Flower,Dandelion
Bonsai,Carnation,Flower
Spice,Ninja,Wasabi
Inquisition,Evil,Witch
System,Sodium Chloride,Salt
Tomb,Fire Venus,Phoenix
Fishbowl,Bong Flytrap,Venus Flytrap
Hot Chocolate,Gondola,Venice
Coffee,St. Patrick,Irish Coffee
Solar Tea,Field,Sunflower
Wolf,Muddy Piggy Bank,Piggy Bank
Loch Ness,Flying Fish Sushi,Monster
Martini,Christmas,Santa
Space Ship,Steak,Alien
Love,Mansion,Wedding
Magma,Oxygen,Lava
Solar Eclipse,Sandman,Sandman
Cinder,Reef,Coral
Gnome,Mud,Dwarf
Steam,Eskimo,Sauna
Monkey King,Garlic,Sun Wukong
Compass,Ammonite Surfer,Nothing
Oz,Steam Train,Wizard
Chlorophyll,Battle Axe,Nothing
Supernova,Flying Fence,Black Hole
Ice Lily,Thunderstorm,Snow
Ecosystem,Fire Tornado,Fire Tornado
Robocloud,Space Station,Robot
Flat Earth,Wheel,Car
Enlightenment,Cup,Buddha
Genie,Darth Vader,Darth Vader
Alphabet,Duckling,Alphabet Soup
Rainforest,Iceland,Greenland
Bee,Re-Tea,Tea
Junk,Farm,Scrap
Ugly Duckling,Tibet,Dalai Lama
Landing,Smoke Signal,Fire
Old Faithful,Meteor,Meteorite
Swamp Venus Flytrap,Barrel,Nothing
Subway,Hula Hoop,Hula Hoop Girl
Venom,Moonshine,Poison
Biofuel,Pie,Pizza
Smog,Wasabi,Sushi
Pop Tart,Wind,Flying Pop Tart
Shelley,Tractor,Shelley Duvall
Flamethrower,Rubber,Fireproof
Hula,Nautilus,Nothing
Holy Water,Goblin,Goblin
Captain,Radiation,Superman
Traffic,House,Garage
Dusttopus,Dragonfish,Dragon
Crystal,Swamp,Diamond
School,Headlight,Student
Devil,Ice Flower,Snowman
Flamethrower,Foggy,Smoke
Greek,Color,Chroma
Communion,Zephyr,Zephyr
Aspirin,Jewel,Diamond
Pond,Curiosity,Frog
Bubbles,Photoshop,Art
Windmill,Lichen,Energy
Gator,Muddy Train,Swamp
Krill,Hula Hoop,Whale
Beach House,Piston,Piston House
Were-tree,Engine,Were-car
Arrowhead,Snot,Booger
Netherite Sword,Beer,Beer Sword
Tumbleweed,Space Shuttle,Space Cowboy
Hourglass,Crystal Ball,Time
Medusa,Sperm,Sperm
420,Fruit,Weed
Lion,Jewel,Crown
Mead,Ice Dragon,Viking
Rhea,Referee,Zeus
Archipelago,Steampunk Fish,Steampunk Island
Tidal,Black Hole,Tidal Wave
Abduction,Water Lily,Nymph
Fire Stone,China,Fireworks
Apple,Gasoline,Explosion
Ruin,Power,War
Krill,T-Shirt,Hipster
Luxury,Whale,Yacht
Cactus Roll,Burnout,Sushi
Fire Storm,Cross,Lightning
Tornado Truck,Sandboarding,Sandstorm
Railroad,Steam Car,Train
Venus Fly Trap,Shower,Plant
Kiln,Anarchy,Pottery
Tomb,Toxic Waste,Mummy
Eve,Gnome,Adam
Sea Horse,Swampnado,Sea Monster
Voltron,Yeti,Abominable Snowman
Zephyr Train,Poison,Poison Gas
Riddle,iPad,Ipad
Bubble,Marshmallow,Bubblegum
Grass,Cannon,Lawnmower
Sacrifice,Sea Serpent,Poseidon
Umbrella,Milestone,Nothing
Tasmania,Werewolf,Tasmanian Werewolf
Don Quixote,Power,Superhero
Rich,Ash,Cinderella
Knife,Drawing,Stab
Alien,Castle,UFO
Pterodactyl,Ketchup,Pterodactyl
Broken Window,Milky Way,Black Hole
Wrinkle,Tent,Tentacle
Fall,Sea Anemone,Jellyfish
Lunar Eclipse,Constellation,Supernova
Tesla Tower,Dune Buggy,Electric Car
Assassin,Field,Farmer
Dustnado,Fire Breath,Fire Tornado
Sprite,Niagara Falls,Nothing
System,Dragon Roll,Dragon Ball Z
Time Machine,Arsonist,Fireman
Computer,Sperm Whale,Herman Melville
Flying Saucer,Firewall,UFO
Wooden Space Ship,Dam,Noah’s Ark
Potato Gun,Sea Monkey,Pirate
Toga,Wormhole,Time Travel
Foghorn,Candy,Leghorn
Ant Smoker,Glass Slipper,Cinderella
Checkmate,Wipers,Chess
Albatross,Pirate,Parrot
Marathon,Dog,Race
Duck,Tar,Duck Tape
Mirage,Rapunzel,Oasis
Super Avalanche,Tobacco,Cigarette
Stink,Double Axe,Skunk
Drunk,Troll,Dwarf
Forest,Venus Mosquito Trap,Venus Fly Trap
Meade,Rabbit,Drunk
Honeymoon,Ale,Babymoon
History,Dust Bunny,Dust Bunny
Grass,Winter,Snow
Snowcone,Dutch Oven,Snowball
Curiosity,Bulldozer,Cat
Plesiosaurus,Dwarf,Loch Ness Monster
Pizza,Nessie,Loch Ness Monster
March,Loch Ness Monster,Parade
Radio,Robot,Transformer
Offering,Prayer,Sacrifice
Grass,Well,Lawn
Elf,Emulsion,Nothing
Mud Castle,Seaweed,Nothing
Acid Rain,Skate,Skateboard
Underground,Ketchup,Cave
Submarine,Pillow,Sleep
Sandy Claus,Moses,Santa Moses
Forest Fire,Pork,Bacon
Ursa Major,Bat,Batman
Mad Hatter,Orca,Octopus
Lego,Star,Death Star
Pitch,Morning,Nothing
Muddy Pig,Jupiter,Pigasus
Planet,Dengue,Earth
Tree,Nest,Bird
Science,Sasquatch,Bigfoot
Dust Trap,Emulsion,Dust Bunny
Flying,Cinderella,Carriage
Mud Dragon,Sick,Mud
Rebirth,Spider,Spider-Man
Mount Fuji,Chaos,Volcano
Opera,Rings,Wagner
Alicorn,Skateboard,Unicorn
Amoeba,Treasure Map,Pirate
Limburger,Treant,Nothing
Canyon,Lawrence,Nothing
Sharktopus,Ruin,Sharktopus
Snow Tire,Field,Snowmobile
Beacon,Garlic,Vampire
Religion,Io,Zeus
Blueprint,Flour,Bread
Miracle,Parking,Parking Lot
Tesla Tower,Goblin,Tesla
Pearl,Exorcist,Oyster
Audrey II,Mount Everest,Audrey Iii
Dutch,Swan,Hans
Absinthe,Bullet,Tears
Bush,Banana,Monkey
Steam,Fire Monster,Steam Monster
Coconut Water,Sinking,Coconut
Leaf,Village,Tree
Mud Devil,Heat,Volcano
Vandalism,Fruit,Graffiti
Swamp,Cloth,Mummy
Cleaning,Sandalwood,Incense
Krakken,Holy Smoke,Nothing
Peking Duck,Dandelion Tea,Dandelion Duck
Holy Water,Sandstorm,Mirage
Wet Dandelion Patch,Hippie,Flower Child
Tempest,Cthulhu,Tentacle
Tank,Tidal,Tsunami
Snowmageddon,Space,Snowpocalypse
Smog,Rice Cooker,Air Pollution
Sperm,Storm,Tornado
Fjord Flytrap,Eruption,Volcano
Slate,Knight,Chalk
Life,Rum,Pirate
Vapor,Skateboard,Skateboarder
Cardinal,Flying Sushi,Nothing
Sashimi,Time Station,Sushi
Steam Ship,Viking,Pirate
Hops,Surf Station,Nothing
Flying Fjord,Cheeseburger,Nothing
Slavery,Frost,Ice Cream
Cereal,Katrina,Katrina and the Waves
Winter,Echo,Snow
Fondue,Gorilla,Cheese
Fjord,Papyrus,Paper
Laser,Direction,Beam
North America,Truck,Canada
Ketchup,Holy Lake,Holy Ketchup
Blowgun,Piña Colada,Piña Colada
Albatross,Super Volcano,Nothing
Siberia,Party,Snow
Sand Hook,Ammonia,Nothing
Skydiver,Lemonade,Parachute
Cedar,Muddy Water,Swamp
Helicopter,Dustover,Dustbuster
Rainforest,Fulgurite,Lightning
Zephyr Train,Mire,Mire Zephyr
Marshmallow,Tidal Power,S’more
Time Travel,Castle in the Sky,Back To The Future
Meteor Shower,Monocle,Astronomer
Solar Power,Clean,Sun
Vacation,Rice Pudding,Holiday
Wine Cellar,Compass,Nothing
Hair,Perfume,Wig
Sweat,Saturn,Ring
House,Landfill,Garbage
Universe,Sandblast,Big Bang
Cemetery,Paper,Ghost
Steam Surf,Fire Breath,Dragon
Space Bread,Pumice,Nothing
Rum,Valhalla,Viking
Toast,Flying Starfish,Flying Toast
Cauldron,Greatsword,Excalibur
Raisin,Rock,Raisin
Velociraptor,Pillow,Pillowfort
Prometheus,Tanker,Oil
Hot Chocolate,Pluto,Hot Pluto
Aloe,Jellyfish,Sunscreen
Yggdrasil,Pressure,World
Pig,Bubbles,Piggy Bank
Ruins,Ashes,Phoenix
Monocle,Thermometer,Nothing
Seaweed,Cloud Station,Sushi
Mud Devil,Piglet,Pig
Muddy Wine,Holland,Gouda
Swim,Venus,Mermaid
Cigar Box,Knowledge,Wisdom
Dragonfly,Taj Mahal,Taj Mahal
Atlantis,Rainbow Rock,Rainbow
Pond,Crack,Duck
Dwarf,Werebear,Werebear
Gem,Swamp Thing,Emerald
Dustpan,Radiation,Nothing
Peat,Robin Hood,Sherwood
Duckweed,Hydroelectric Dam,Nothing
Bear,Pluto,Winnie the Pooh
Wolfsbane,Winter,Werewolf
Furnace,Skate,Skateboard
Jailbreak,Castle,Prison
Acid Rain,Swordfish,Piranha
Hellhound,Toxic,Nothing
Splash,Sasquatch,Yeti
Rainforest,Pork Chop Express,Indiana Jones
Loki,Bait,Fish
Flying Ghost,Trawler,Ghost Ship
Drunken Dragon,Funnel Cake,Drunken Dragon
Lichen,Eden,Adam
Solar,Bridge,Sun
Swim,Dragon Egg,Dragon
Firework,Smurf Village,Nothing
Drunk Driver,Pine,DUI
Wet Dandelion Patch,Niagara Falls,Wet Dandelion Patch
Jewelry,Moonstone,Moon
Tornado Bird,Antfly,Nothing
Skull,Warrior,Skeleton
Cereal,Herd,Herd of Cereal
Cyborg,Gravity,Robot
