first,second,result
Molehill,Destruction,Mountain
Smores,Fishing Boat,Campfire
Race,Fridge,Marathon
Guillotine,Pollution,Smog
Piglet,Dark Matter,Pig
Golem,Lawnmower,Garden Gnome
Vase,Steam Tank,Steam Engine
Coconut,Tinkerbell,Peter Pan
Mangrove,Movie,Avatar
Hot Air Balloon,Ketchup,Tomato
Reggae,Elf,Elvis
Hanglider,Tiamat,Dragon
Sake,Crab,Sushi
Blizzard,Rock Tea,Snow
Magma,Time,Lava
Milestone,Mountain Dirt,Nothing
Amazon,Shipwreck,Pirate
Sky,Krakatoa,Volcano
Palm,Space Plant,Tree
Sarcophagus,Water Lily,Cleopatra
Skull,Mountain Dew,Mountain Dew Code Red
Constellation,Milkshake,Milky Way
Pelican,Coffee,Nothing
Surf,Necklace,Mermaid
Lily Pad,Sandboarding,Frog
Guillotine,Smoky Mountains,Nothing
Tree,Cupid,Cherry
Hawaii,Rust,Hawaii
Coconut Milkshake,Miracle,Coconut Milkshake
Sundae,Discovery,Ice Cream
Road,Paper,Map
Eden,Chicken,Egg
Sand Art,Amber,Fossil
Flood,Solar System,Noah
Photographer,Exhaust,Smoke
Snow Cone,Cow,Ice Cream
Fishing Rod,Pompeii,Fish
Milky Way,Grape,Wine
Asia,Sea Turtle,Tortoise
Solar Panel,Mudslide,Mud
Snowman,Jupiter,Snowball
Drunk,Pancake,Waffle
Surf,Firewood,Surfboard
Wax,Tiamat,Candle
Venus Flytrap,Sandboard,Sandtrap
SpongeBob,Amphora,Sponge
Planet,Splash,Ocean
Day,Marsh,Swamp
Atlantis,Bandage,Mummy
Surf,Mushroom Soup,Surf and Turf
Cloud Station,Light,Lightning
Paper Boat,Fishing Rod,Fishing Boat
Saint,Wish,Genie
Fan,Matcha,Matcha Latte
Poop,Satyr,Centaur
Little Shop Of Horrors,Rover,Mars
Tadpole,Fire Storm,Dragon
Lighthouse,Carrot,Lighthouse
Whale,Pirate Ship,Moby Dick
Wish,Snowpocalypse,Snowman
Combine,Mech,Robot
Dust Storm,Crane,Sandstorm
Amphicar,Tomato,Ketchup
Steamnado,Time,Time Machine
Fire Balloon,Mudweed,Fireball
Eruption,Chimney,Volcano
Snowball,Miracle,Snowman
Tunnel,Mountain Dirt,Mine
Constellation,Field,Star
Australia,Microscope,Kangaroo
Tuxedo,Space Shuttle,Astronaut
Crayon,Snowbird,Snowman
Carnation,Samurai,Warrior
Yellowstone,Mole,Volcano
Trainwreck,Monkey,Monkeywrench
Confetti,Salt,Tequila
Winter,Vase,Snowman
Eagle,Old Faithful,Phoenix
Fan,Greenland,Iceberg
Cerberus,Tree,Wood
Illusion,Wax,Candle
Light,Bottle,Lantern
Food,Eyjafjallajökull,Volcano
North Pole,Ice Lily,Snowflake
Rover,Tutankhamun,Curiosity
Derail,Jet,Crash
Pepper,Marshmallow,S’more
Fairy,Bonsai,Tree
Poseidon,Eden,Atlantis
Firework,Dandelion,Fire
Grand Canyon,Whistle,Echo
Whistle,Racecar,Pitstop
Fire Plant,Smoking,Weed
Moby Dick,Dust,Whale
Tobacco,Elon Musk,Elon Musk
Captain Nemo,Bride,Mermaid
Hops,Vacation,Beer
Pinecone,Kite,Pine Tree
Bomb,Mosquito,Explosion
Steamroller,Underground,Mole
Pop,Lemon,Lemonade
Wine,Steam Trap,Steam
Olympus Mons,Elf,Elf
Noah,Egg,Ark
Mountain Range,Tulip,Mountain Tulip
Ant,Saturn V,Astronaut
Tsunamic,Pencil,Nothing
Electricity,Steamroller,Steampunk
Clay,Crane,Vase
Bacteria,Riddle,Virus
Hydra,Gear,Clockwork
Sandman,Golem,Sandman
Ark,Wind,Sail
Rain,Duckweed,Pond
Dune Buggy,City,Las Vegas
Vacuum,Lily Shark,Dyson
Black,Swamp,Mud
Desert,Factory,Oil
Tea Pot,Hurricane,Tea
Wind Farm,King,Windmill
Port,Drink,Wine
Stegosaurus,Vinegar,Stegosaurass
Snail,Hawaii,Turtle
Fanatic,Space Ship,Alien
Motorcycle,Knight,Biker
Absinthe,Sharkcano,Sharknado
Mudpot,Planet,Volcano
Tardis,Pond,Doctor
Baby,Pawn,Chess
Stoner,Drain,Bong
Aquarium,Night,Fish
Tuxedo,Mountain Dew,Mountain Man
Compost,Volcano,Fertile
Stone,Ice Tea,Iceberg
Teacup,Daffy,Mad Hatter
Balloon,Garage,Car
Liberty Bell,Catnip,Cat
Resin,Magic,Wand
Dustbuster,Nile,Vacuum
Ninja,Jesus,Nothing
Giant Dandelion,Dragon Slayer,Dragon
Wedding,Egypt,Pharaoh
Algae,Blade,Sword
Swan,Aztec,Quetzalcoatl
