first,second,result
Newspaper,Explosion,Fake News
Stone,Monsoon,Statue
Bread,Christmas Tree,Gingerbread Man
Flying Dust,Submarine,Flying Submarine
Popcorn,Squid,Octopus
Dessert,Acid Rain,Lemon
Wind Turbine,Swan,Windmill
Grill,Galaxy,BBQ
Wiper,Volcano,Lava
Hole,Moon Buggy,Lunar Rover
Lake,Eve,Adam
Carpathian,Thunderstorm,Dracula
Monkey,Eclipse,Sun
Fireworks,Camera,Photographer
Sharknado,Zeppelin,Sharknado
Storm,Message,Thunder
Hogwarts Express,Bog,Platform 9 3/4
Date,Snow Cone,Ice Cream
Window,Jungle,Monkey
Jet,Rainbow,Nothing
Ocean,Tunnel of Fudge,Tunnel Of Fudge
Solar Flare,Burn,Sun
Planet,Fireball,Sun
Crystal,Steam,Glass
Ship,Fortress,Pirate
Wash,Desert,Mummy
Werewolf,Geyser,Werewolf
Town,Metal,City
Geyser,Pudding,Volcano
Australia,Mud Geyser,Mudgee
Weed,Astronaut,Space Weed
Time Machine,Plantea,Dinosaur
Planet,Exhaust,Venus
Mountain Range,Frosting,Cake
Delta,Stoner,Nothing
Flower,Captain Nemo,Nemo
Sandbox,Pelican,Sandcastle
Ninja,Electricity,Sparky
Comet,Sea Star,Meteor
Chimney,Cloud,Smoke
Space,Incense,Universe
Art,Space,Gallery
Broken Window,Nymph,Glass
Avalanche,Steam Dragon,Snow Dragon
Coral Reef,Fire Trap,Fire Coral
Kiln,Pirate,Pottery
Mushroom,Sonar,Mario
Tobacco,Tanker,Smoke
Table,Surf,Surfboard
Mole,Goldfish,Gold
Hermit,Blind,Cave
Space Shuttle,Fireball,Fireworks
Ghost,Haunted House,Ghostbusters
Party,Crop,Harvest
Allergy,Pork,Porky
Plane,Letter,Mail
Grass,Lily Pad,Frog
Sperm,Volcano,Egg
Chia,Boat,Chia Pet
Fruit,Apocalypse,Apple
Lizard,Water Rocket,Dragon
Burn,Bat,Vampire
Moat,Greenhouse,Castle
Stonehenge,Spore,Druid
Wheat,Mud Geyser,Bread
Batter,Tank,Battery
Teacup,Whale,Teapot
Microscope,Time Ship,Time Machine
Tsunami,Gold,Treasure
Yeti,Cloud,Abominable Snowman
Day,Snowstorm,Blizzard
Quagmire,Captain Nemo,Nemo
Ship,Jetea,Pirate
Field,Bong,Farmer
Alicorn,Continent,Equestria
Steam Dragon,Ice,Ice Dragon
Firewood,Flying,Firebird
Time Train,Dwarf,Time Machine
Solar,Hoover Dam,Solar Dam
Devil,Boat,Pirate
Cheese,Muddy Wine,Fondue
Jungle,Photoshop,Tiger
Toast,Garage,Pop Tart
Train,Krill,Nothing
Loch Ness,Salamander,Nessie
Kali,Dust Devil,Shiva
Geysers,Moses,Parting of the Red Sea
Oasis,Burn,Desert
Crab,Avalanche,Snow Crab
Waterfall,Jesus,Baptism
Swamp Thing,Excalibur,King Arthur
Temple,Fondue,Cheese
Aurora,Meade,Aurora Borealis
Diamond,Pulp,Paper
Rainbow,Pane,Window
Cyborg,Big Dipper,Robot
Lava Cone,Soup,Volcano
